spec,scenario,period,bucket,start_equity,end_equity,return_pct,peak_equity,min_equity,max_drawdown_pct,marks
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2019-12,99.99633108560754,99.96392281746405,-0.032409457218729454,100.05123753625381,99.90137683732058,-0.14978395332583272,3203
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2020-01,99.98973959671889,98.73572340056162,-1.254144876479324,100.02809274633466,98.6934277888011,-1.3342901187951228,5773
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2020-02,98.73397363505032,99.16254699338602,0.4340687835778123,99.44887397102882,97.62550720377239,-1.1820633733002794,7624
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2020-03,99.16447179920826,102.13953130042279,3.000126403374126,103.85554871930557,98.83835370246035,-3.251201485914701,8465
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2020-04,102.14502387400363,100.44095046818796,-1.6682882251000786,102.46078137517125,99.95943589079127,-2.441271138877066,8558
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2020-05,100.4416007656086,98.75980576717554,-1.6744008315416226,100.73087649112989,98.34945524013723,-2.364142290772542,8474
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2020-06,98.68614447508283,98.67216266569092,-0.014167955862776083,99.23846805104561,98.0340453695932,-1.0585306302915543,8457
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2020-07,98.67002415297328,95.65442911236596,-3.056242325361236,98.73598617583828,95.53994494424971,-3.236956813189429,8843
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2020-08,95.67224724053354,89.82522922738022,-6.11150901311337,95.75383555454408,88.83737872731452,-7.223164259869009,8791
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2020-09,89.8211724660231,92.48148053355213,2.9617828341478747,94.61042597352039,89.41625023718001,-2.6035661935729926,8640
