spec,scenario,period,bucket,start_equity,end_equity,return_pct,peak_equity,min_equity,max_drawdown_pct,marks
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2019Q4,99.99633108560754,99.96392281746405,-0.032409457218729454,100.05123753625381,99.90137683732058,-0.14978395332583272,3203
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2020Q1,99.98973959671889,102.13953130042279,2.15001230363685,103.85554871930557,97.62550720377239,-3.251201485914701,21862
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2020Q2,102.14502387400363,98.67216266569092,-3.3999318582533133,102.46078137517125,98.0340453695932,-4.320419916932972,25489
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2020Q3,98.67002415297328,92.48148053355213,-6.2719591614031955,98.73598617583828,88.83737872731452,-10.025328992911863,26274
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2020Q4,92.46109693504843,91.33314619535805,-1.219919271001868,94.0815556671428,87.17426653981131,-7.341810069307552,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2021Q1,91.24709467551946,57.880568978344556,-36.567219828563765,91.26198109201985,57.83662996998055,-36.625712834719614,25920
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2021Q2,57.85727848187879,58.43989358378347,1.0069867045114478,61.432212682036436,49.89697103376367,-13.758523831376424,26208
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2021Q3,58.53552241931687,52.310346631178945,-10.63486841980179,60.42965663360877,48.91053163840777,-19.062039463574386,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2021Q4,52.326382130881534,53.22928980143258,1.7255304757983092,55.48787073524655,47.18860965121716,-10.04206971346192,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2022Q1,53.23042793801557,58.11752074572041,9.181013561257934,64.73542803019025,52.678688980917954,-11.071478084091524,25920
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2022Q2,58.28799932329376,71.00353991949082,21.815023236036033,73.24052919517771,57.82183715511667,-14.845086228891557,26208
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2022Q3,71.01244002786234,73.27116460331426,3.1807449153496092,73.76047788981002,64.78964830657247,-9.477201232337384,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2022Q4,73.23124319080536,80.96483733968482,10.560511896171754,81.06822554372258,68.75478484121204,-8.76840645023471,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2023Q1,80.9465025376942,73.68531420092079,-8.970354628221411,81.24266635716377,70.36490852832814,-13.389218149259396,25920
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,BASE,2023Q2,73.61959732346382,78.407898911469,6.504112711954568,82.43704681906071,70.12493349053963,-6.887817397384222,26208
