strategy,trades,wins,losses,win_rate_pct,avg_net_ret_pct,med_net_ret_pct,final_asset,final_return_pct,max_return_pct,max_drawdown_pct,profit_factor,official_cd_value,take_profit_count,timeout_count,opposite_stop_count
D20_LONG_oppstop_rr0.5_t3,438,187,251,42.69406392694064,-0.05695309082399441,-0.08,99.75077524732498,-0.24922475267501465,0.07223647908618513,0.3256771281651831,0.7784506983904695,99.74632409323043,97,329,12
D20_LONG_oppstop_rr0.25_t3,438,236,202,53.88127853881278,-0.05691115856864658,0.06959504135050316,99.75098640531564,-0.24901359468435524,0.03813940001635707,0.29234994110015555,0.7339122681762772,99.74567795840272,213,216,9
D20_LONG_oppstop_rr0.75_t3,438,179,259,40.8675799086758,-0.0557852099848056,-0.09350739568604653,99.7558675425017,-0.2441324574982917,0.056026663027175516,0.31312159820987084,0.7884711908895375,99.7427296332346,42,383,13
D20_LONG_oppstop_rr1_t3,438,175,263,39.95433789954338,-0.06350320540218023,-0.09612532267206701,99.72214823612364,-0.2778517638763578,0.05912276377264547,0.33927236772249625,0.7608499008527333,99.71964980884962,20,405,13
D20_LONG_oppstop_notp_t3,438,175,263,39.95433789954338,-0.06415713228462509,-0.09612532267206701,99.71928880303071,-0.2807111969692966,0.06904503034512732,0.35201153647635397,0.7583872428218306,99.71679044739659,0,425,13
D20_LONG_oppstop_rr0.5_t6,438,200,238,45.662100456621005,-0.06703279531746215,-0.06539007946254387,99.70667394582415,-0.29332605417584645,0.14112406750077522,0.43383787202527235,0.8142875339447136,99.70667394582414,160,235,43
D20_LONG_oppstop_rr1_t6,438,174,264,39.726027397260275,-0.06785335394941858,-0.1495282665452823,99.70303969419118,-0.2969603058088244,0.177558531530142,0.47367778202502836,0.8258193837438459,99.70303969419118,47,343,48
D20_LONG_timeout_t3,438,175,263,39.95433789954338,-0.06867402358543473,-0.09612532267206701,99.69955961709631,-0.30044038290368835,0.0671954852240031,0.36988518332533893,0.7457025433709134,99.69706175575496,0,438,0
D20_LONG_oppstop_notp_t6,438,171,267,39.04109589041096,-0.06173539329903741,-0.16342546533551264,99.72973180958707,-0.2702681904129367,0.15732482573251882,0.46448832370095283,0.8427777613881353,99.69210574658577,0,390,48
D20_LONG_timeout_t6,438,173,265,39.49771689497717,-0.06457088696169087,-0.1534461222252347,99.7173369733626,-0.2826630266373975,0.1512557184854879,0.47082797755641714,0.8377442282277929,99.67971558668879,0,438,0
D20_LONG_oppstop_rr0.75_t6,438,178,260,40.63926940639269,-0.0742785395559511,-0.13567317535025705,99.67500922904453,-0.3249907709554689,0.15111750736584995,0.4762916263352341,0.8059636482736983,99.6741061209971,89,303,46
D20_LONG_oppstop_rr0.25_t6,438,262,176,59.817351598173516,-0.10218995275257647,0.12338343500966306,99.55331513777074,-0.44668486222926296,0.05873323627429983,0.5051214243439365,0.6433502904721279,99.55331513777072,259,143,36
D20_LONG_oppstop_rr0.5_t12,438,234,204,53.42465753424658,-0.09735003673431365,0.13095267433545174,99.57428752355267,-0.42571247644732635,0.18492210311960022,0.6355975925498752,0.7887620290186892,99.54814915013421,213,132,93
D20_LONG_oppstop_rr0.25_t12,438,301,137,68.72146118721462,-0.11331236258877685,0.17084318141718188,99.5047856478523,-0.49521435214769927,0.04686535538165337,0.5518783936325207,0.6549090751719985,99.49472832197868,306,61,71
