strategy,trades,wins,losses,win_rate_pct,avg_net_ret_pct,med_net_ret_pct,final_asset,final_return_pct,max_return_pct,max_drawdown_pct,profit_factor,official_cd_value,take_profit_count,timeout_count,opposite_stop_count
D20_LONG_oppstop_rr1_t12,438,178,260,40.63926940639269,-0.14447061074526574,-0.23931063835653568,99.36890544909467,-0.6310945509053312,0.20652408885784013,0.8374662958346735,0.7384603217385463,99.36732822338621,95,238,105
D20_SHORT_oppstop_rr0.5_t6,551,258,293,46.82395644283122,-0.11645451129021647,-0.05468995191090002,99.36016080020411,-0.6398391997958885,0.0029527274345797494,0.6557772178975965,0.6883079873805041,99.34715614622314,182,332,37
D20_LONG_oppstop_rr0.75_t12,438,193,245,44.06392694063927,-0.15073371555247025,-0.13522792316475232,99.34168593102763,-0.6583140689723765,0.16271179383577916,0.833641904591032,0.7174535336254055,99.32771345554762,142,195,101
D20_LONG_timeout_t12,438,169,269,38.58447488584475,-0.138809862855043,-0.22571545593114464,99.39343405168167,-0.6065659483183383,0.19704736774330822,0.8718392551303324,0.7501634999362375,99.32349017630978,0,438,0
D20_SHORT_oppstop_rr0.25_t6,551,326,225,59.16515426497278,-0.12943568616491757,0.10253726802557325,99.28917328069852,-0.7108267193014828,0.025656369066862084,0.741969016481373,0.5917403531717266,99.28349699027626,319,200,32
D20_SHORT_oppstop_rr0.25_t72,551,421,130,76.40653357531761,-0.1360057315661788,0.19783714468903044,99.25310974503424,-0.7468902549657597,0.02789795929907246,0.7802447705922356,0.6512771192429171,99.2474355163383,431,2,118
D20_SHORT_oppstop_rr0.25_t36,551,418,133,75.86206896551724,-0.13671423320221085,0.19392084632094084,99.24924770823154,-0.7507522917684639,0.02789795929907246,0.7841055095376995,0.6471992811774854,99.24357370032547,428,7,116
D20_SHORT_timeout_t72,551,249,302,45.19056261343013,0.0423713283982498,-0.13802707930365746,100.23002021282463,0.23002021282463314,0.2545612308247014,1.022177166457443,1.0359217869020767,99.22978199759112,0,551,0
D20_LONG_oppstop_notp_t12,438,163,275,37.21461187214612,-0.16342616973590787,-0.3070308810533417,99.28634732412014,-0.7136526758798611,0.1916279022043721,0.9601083894082701,0.7130308756661449,99.22967967723059,0,328,110
D20_SHORT_oppstop_rr1_t6,551,224,327,40.653357531760435,-0.1436183116474368,-0.1403773584905709,99.21150859187254,-0.7884914081274563,0.0059943174799181875,0.8069206325116827,0.6403660576380349,99.1990253155837,55,454,42
D20_SHORT_oppstop_notp_t6,551,221,330,40.10889292196007,-0.14519042741161892,-0.14045949214026346,99.20289892786012,-0.797101072139883,0.010366253101734557,0.8294392883796409,0.6382052169963732,99.18084098294612,0,508,43
D20_SHORT_oppstop_rr0.75_t6,551,228,323,41.37931034482759,-0.1502082218291766,-0.1364759036144613,99.17551646306273,-0.8244835369372705,0.004287097271471474,0.8328716788686421,0.6226006360375085,99.17137971238381,90,419,42
D20_SHORT_oppstop_rr0.25_t12,551,373,178,67.69509981851179,-0.15070775006420378,0.1528756123022524,99.17280754300272,-0.8271924569972833,0.02789795929907246,0.860519986657674,0.5897076269233885,99.16713790512577,377,105,69
D20_SHORT_timeout_t6,551,222,329,40.29038112522686,-0.14962859284409477,-0.1403773584905709,99.17860833454294,-0.8213916654570608,0.010366253101734557,0.8553417388507589,0.6314156107943382,99.15493584736144,0,551,0
D20_SHORT_oppstop_rr1_t72,551,265,286,48.09437386569873,-0.14351734433283428,-0.44223681231604134,99.2113557862515,-0.7886442137485017,0.0059943174799181875,0.8718989349014244,0.8322807789227936,99.13404311818823,250,31,270
D20_SHORT_oppstop_rr0.5_t12,551,290,261,52.63157894736842,-0.15801702429807166,0.049278848856162474,99.13277293583134,-0.867227064168663,0.00963657269392737,0.8897527877390954,0.6745306217152024,99.11979804328064,249,217,85
D20_SHORT_oppstop_rr0.5_t72,551,354,197,64.24682395644284,-0.16280514005909436,0.3408962614508538,99.106414334213,-0.893585665787,0.0025856571252758087,0.9091192588372105,0.7368311852983286,99.09344289158118,351,13,187
D20_SHORT_oppstop_rr0.5_t36,551,345,206,62.613430127041745,-0.16527790375374202,0.3120537924086087,99.09295961014136,-0.9070403898586377,0.0025856571252758087,0.9225718740624195,0.7223042907797995,99.07998992851746,332,44,175
D20_SHORT_oppstop_notp_t72,551,166,385,30.127041742286753,-0.15935672278850962,-0.9554512635378964,99.12358001522588,-0.8764199847741128,0.0660828227709187,1.055444913291767,0.8477259224608024,99.00994044168766,0,205,346
D20_SHORT_oppstop_rr0.75_t72,551,295,256,53.53901996370236,-0.1803205513609699,0.26514078110807754,99.0105943892079,-0.9894056107921045,0.004287097271471474,1.04699743266726,0.7663569182838026,98.95724477880583,285,25,241
D20_SHORT_oppstop_rr1_t12,551,225,326,40.83484573502722,-0.19013993360546438,-0.19062494840253788,98.95735810230681,-1.0426418976931862,0.0059943174799181875,1.0568364840570303,0.6535388197685204,98.94909448328879,106,346,99
D20_SHORT_oppstop_rr0.75_t12,551,239,312,43.37568058076225,-0.19767647188645407,-0.1581541800217944,98.91632282719381,-1.0836771728061856,0.004287097271471474,1.098882996411794,0.6316554577485832,98.90535699067671,149,306,96
D20_SHORT_timeout_t12,551,219,332,39.7459165154265,-0.19243602530709472,-0.189965635738829,98.94465634523232,-1.055343654767682,0.030652178192891455,1.1268836833357074,0.664365171271717,98.90342308046255,0,551,0
D20_SHORT_oppstop_notp_t12,551,213,338,38.65698729582577,-0.19111228604607,-0.21855441559726954,98.95197714485988,-1.0480228551401183,0.007239579468154567,1.1155079431970767,0.6573803156316285,98.89165087818705,0,450,101
D20_SHORT_oppstop_rr1_t36,551,247,304,44.827586206896555,-0.2182424001138713,-0.2726520110952734,98.80387360442991,-1.1961263955700852,0.0059943174799181875,1.2237541517022312,0.7276629301005998,98.78216681006867,199,117,235
D20_SHORT_oppstop_rr0.75_t36,551,279,272,50.635208711433755,-0.21761079826682772,0.051865902520655885,98.80745361050033,-1.1925463894996713,0.004287097271471474,1.2656101012056074,0.7056539254633896,98.73862273812975,251,83,217
D20_SHORT_oppstop_notp_t36,551,188,363,34.11978221415608,-0.21965126163920826,-0.6957325961296701,98.79549954927761,-1.20450045072239,0.010366253101734557,1.3841586988258123,0.7569337861186637,98.62606406888187,0,280,271
D20_SHORT_timeout_t36,551,230,321,41.74228675136116,-0.22116923479458808,-0.23032570569567526,98.78644865791401,-1.2135513420859945,0.010366253101734557,1.5341660005400097,0.7807335980310521,98.47604121703111,0,551,0
