name,duration,side,timeout,exit_mode,rr
D20_LONG_timeout_t3,20,long,3,timeout_only,0.0
D20_LONG_oppstop_notp_t3,20,long,3,opposite_stop_no_tp,0.0
D20_LONG_oppstop_rr0.25_t3,20,long,3,opposite_stop_rr,0.25
D20_LONG_oppstop_rr0.5_t3,20,long,3,opposite_stop_rr,0.5
D20_LONG_oppstop_rr0.75_t3,20,long,3,opposite_stop_rr,0.75
D20_LONG_oppstop_rr1_t3,20,long,3,opposite_stop_rr,1.0
D20_LONG_timeout_t6,20,long,6,timeout_only,0.0
D20_LONG_oppstop_notp_t6,20,long,6,opposite_stop_no_tp,0.0
D20_LONG_oppstop_rr0.25_t6,20,long,6,opposite_stop_rr,0.25
D20_LONG_oppstop_rr0.5_t6,20,long,6,opposite_stop_rr,0.5
D20_LONG_oppstop_rr0.75_t6,20,long,6,opposite_stop_rr,0.75
D20_LONG_oppstop_rr1_t6,20,long,6,opposite_stop_rr,1.0
D20_LONG_timeout_t12,20,long,12,timeout_only,0.0
D20_LONG_oppstop_notp_t12,20,long,12,opposite_stop_no_tp,0.0
D20_LONG_oppstop_rr0.25_t12,20,long,12,opposite_stop_rr,0.25
D20_LONG_oppstop_rr0.5_t12,20,long,12,opposite_stop_rr,0.5
D20_LONG_oppstop_rr0.75_t12,20,long,12,opposite_stop_rr,0.75
D20_LONG_oppstop_rr1_t12,20,long,12,opposite_stop_rr,1.0
D20_SHORT_timeout_t6,20,short,6,timeout_only,0.0
D20_SHORT_oppstop_notp_t6,20,short,6,opposite_stop_no_tp,0.0
D20_SHORT_oppstop_rr0.25_t6,20,short,6,opposite_stop_rr,0.25
D20_SHORT_oppstop_rr0.5_t6,20,short,6,opposite_stop_rr,0.5
D20_SHORT_oppstop_rr0.75_t6,20,short,6,opposite_stop_rr,0.75
D20_SHORT_oppstop_rr1_t6,20,short,6,opposite_stop_rr,1.0
D20_SHORT_timeout_t12,20,short,12,timeout_only,0.0
D20_SHORT_oppstop_notp_t12,20,short,12,opposite_stop_no_tp,0.0
D20_SHORT_oppstop_rr0.25_t12,20,short,12,opposite_stop_rr,0.25
D20_SHORT_oppstop_rr0.5_t12,20,short,12,opposite_stop_rr,0.5
D20_SHORT_oppstop_rr0.75_t12,20,short,12,opposite_stop_rr,0.75
D20_SHORT_oppstop_rr1_t12,20,short,12,opposite_stop_rr,1.0
D20_SHORT_timeout_t36,20,short,36,timeout_only,0.0
D20_SHORT_oppstop_notp_t36,20,short,36,opposite_stop_no_tp,0.0
D20_SHORT_oppstop_rr0.25_t36,20,short,36,opposite_stop_rr,0.25
D20_SHORT_oppstop_rr0.5_t36,20,short,36,opposite_stop_rr,0.5
D20_SHORT_oppstop_rr0.75_t36,20,short,36,opposite_stop_rr,0.75
D20_SHORT_oppstop_rr1_t36,20,short,36,opposite_stop_rr,1.0
D20_SHORT_timeout_t72,20,short,72,timeout_only,0.0
D20_SHORT_oppstop_notp_t72,20,short,72,opposite_stop_no_tp,0.0
D20_SHORT_oppstop_rr0.25_t72,20,short,72,opposite_stop_rr,0.25
D20_SHORT_oppstop_rr0.5_t72,20,short,72,opposite_stop_rr,0.5
D20_SHORT_oppstop_rr0.75_t72,20,short,72,opposite_stop_rr,0.75
D20_SHORT_oppstop_rr1_t72,20,short,72,opposite_stop_rr,1.0
