duration_threshold,horizon,events,up_rate_pct,avg_ret_pct,med_ret_pct,avg_abs_ret_pct,med_abs_ret_pct,avg_mfe_pct,avg_mae_pct,avg_max_abs_excursion_pct,avg_realized_vol_pct,p75_max_abs_excursion_pct,p90_max_abs_excursion_pct,up_first_break_rate_pct,down_first_break_rate_pct,both_same_bar_rate_pct,none_rate_pct,avg_first_break_bars,med_first_break_bars,avg_box_width_pct,med_box_width_pct,avg_dir_ret_follow_first_break_pct,med_dir_ret_follow_first_break_pct,win_rate_follow_first_break_pct
5,12,186057,48.77483781851798,-0.004736625940249854,0.0,0.6319250166014926,0.42302740481883205,0.6623714770008564,-0.6682689629705647,1.0625781542544326,0.790390176899697,1.2943632567849694,1.9910488416788419,50.066914977668134,47.86221426767066,1.5215767211123472,0.5492940335488586,2.015694328100089,1.0,0.5345580030462564,0.467726847521055,0.2111413164871679,0.15753208863107937,60.3790257074488
5,36,186057,48.39215939201428,-0.02446108487413906,-0.02564102564103221,1.1943697054602587,0.7764456617229021,1.2897946067809314,-1.3001674847115987,2.0578642699324226,1.6041088281524782,2.489347387306573,3.8891118087756467,50.29533960023004,48.12772429954261,1.5248015393132213,0.05213456091412847,2.088857818885782,1.0,0.5345580030462564,0.467726847521055,0.21989489952223926,0.14641288433383526,55.337123135815816
5,72,186057,47.507484265574526,-0.05894665440462678,-0.07575757575758457,1.8092950835264754,1.1614666363015225,1.9746232148779816,-1.9891535786909142,3.1484109771159354,2.4726336508197675,3.8162167734840713,5.986909923323538,50.31038875183411,48.143848390546985,1.5248015393132213,0.020961318305680515,2.104032943048522,1.0,0.5345580030462564,0.467726847521055,0.21446237351648673,0.1309328968903456,53.348327610396275
5,288,186057,46.66526924544629,-0.17183000847216842,-0.2724358021092943,4.1061752359821115,2.725315588609467,4.503661269377089,-4.488142522972342,7.17566429356083,5.675385529299886,8.551554828150575,13.130757295617531,50.319525736736594,48.148685617848294,1.5248015393132213,0.006987106101893506,2.1206166283244823,1.0,0.5345580030462564,0.467726847521055,0.1972966817246951,0.14430014430014682,51.6857980317346
10,12,19417,48.36483493845599,-0.013984205470785433,-0.010932546190001169,0.7103695052205217,0.48094050587815795,0.7421460832214666,-0.7426122329609127,1.1847170845971902,0.877746804291288,1.457366163248519,2.2158209797992616,49.42576093114282,47.700468661482205,0.4326105989596745,2.441159808415306,2.7671435358707703,2.0,0.8273868698896001,0.7198033707865203,0.30013834647338095,0.228907782864618,63.730844689538145
10,36,19417,47.63351702116702,-0.028339758834165205,-0.054547933996995646,1.3428395750578106,0.8617176128093207,1.4828837799743135,-1.4629858770192634,2.336479356483514,1.8131654097069743,2.8642590286425906,4.469010070021865,50.36308389555544,49.06010197249833,0.4326105989596745,0.14420353298655816,3.0876785806385065,2.0,0.8273868698896001,0.7198033707865203,0.30667286345200756,0.1952489424015491,56.669256669256676
10,72,19417,46.20178194365762,-0.07817350169510646,-0.1386001386001312,2.0533724913993487,1.3185002060156714,2.2829846821231916,-2.25437516632348,3.5937604993825483,2.80908523578093,4.387926215762983,6.775522543887553,50.41973528351444,49.10645310810115,0.4326105989596745,0.04120100942473091,3.1342676078108096,2.0,0.8273868698896001,0.7198033707865203,0.29002983501382956,0.16233766233766378,54.064683053040106
10,288,19417,45.76402121851985,-0.1618108583150451,-0.3860205418074081,4.50219648392913,2.9685796411933696,5.0951189226484965,-4.989952051351738,7.9985192120304704,6.360696731276113,9.579678064625362,14.58238816974562,50.41973528351444,49.11160323427924,0.4326105989596745,0.03605088324663954,3.1400824317362184,2.0,0.8273868698896001,0.7198033707865203,0.24008241665284707,0.19406530041129466,52.0852737245162
20,12,1053,45.489078822412154,-0.020720999783675746,-0.09263547938860306,0.863367761628697,0.5609492988133846,0.8935950272974879,-0.9042715281006644,1.4592513642384664,1.0497473795022019,1.8096514745308268,2.789594336390853,43.39981006647673,47.10351377018044,0.0,9.49667616334283,3.6002098635886672,2.0,1.3728044151430838,1.1715615471031837,0.4773399871201373,0.3783517025826466,70.72402938090241
20,36,1053,46.34377967711301,-0.02941727064879798,-0.06873585285785966,1.6799895199837924,1.0579504184430766,1.810374795977226,-1.7803228199594119,2.85179315824934,2.195746097073506,3.6367210536662142,5.539668267389443,46.628679962013294,52.80151946818613,0.0,0.5698005698005698,4.890162368672398,3.0,1.3728044151430838,1.1715615471031837,0.34120521679805255,0.19176817358569354,56.35148042024832
20,72,1053,45.2991452991453,-0.22068371473602336,-0.2169197396963196,2.5374458383032428,1.6091954022988575,2.7553783800810714,-2.8499744233406,4.449032521682941,3.4128420037056735,5.725794849661914,8.52732637046042,46.72364672364672,53.086419753086425,0.0,0.1899335232668566,5.058039961941009,3.0,1.3728044151430838,1.1715615471031837,0.3684200413418223,0.10525207872855713,52.80685061845861
20,288,1053,42.54510921177588,-0.2899960871681489,-0.5524861878452914,5.422845090031345,3.644494130799325,6.0871413753310915,-6.121625937459106,9.586549396379214,7.531953412145286,11.852926947266562,18.239697185580933,46.72364672364672,53.181386514719854,0.0,0.0949667616334283,5.153992395437262,3.0,1.3728044151430838,1.1715615471031837,0.7207762042305633,0.22458616492495587,52.75665399239544
40,12,20,50.0,0.197463782444125,0.00980776775205694,1.1216636851194342,0.8422580558237691,1.191329084547338,-0.8287706443491576,1.6975906908458218,1.2511643912522388,2.6866796871046983,2.856768678500513,45.0,40.0,0.0,15.0,4.823529411764706,5.0,2.2435774020651897,2.0692605156273136,0.8834623166182259,0.5096525096525029,76.47058823529412
40,36,20,65.0,0.5553566800261195,0.33280702185111144,1.4229659637085585,0.9407311861829415,2.315305600386952,-1.2569272939652647,2.8773274691850905,2.4271577176363928,3.5453614402581435,4.5667486866041855,55.00000000000001,40.0,0.0,5.0,6.842105263157895,5.0,2.2435774020651897,2.0692605156273136,0.7659020034837959,0.5420619201500942,57.89473684210527
40,72,20,45.0,1.5051900336847637,-0.11330527678860558,3.638126243206158,1.5421763639452968,4.797481305001638,-1.9615664004082116,5.594323242008322,4.020660727529991,5.313979792963091,10.24576779065624,55.00000000000001,40.0,0.0,5.0,6.842105263157895,5.0,2.2435774020651897,2.0692605156273136,0.24670478835122642,-0.22661055357721116,47.368421052631575
40,288,20,35.0,0.49156828294728444,-0.6757420252908819,4.949480249029964,4.179458088416466,7.269963998656332,-6.2765351838765175,10.414405721593962,8.134361128495547,11.019857970958064,19.22447523829314,55.00000000000001,40.0,0.0,5.0,6.842105263157895,5.0,2.2435774020651897,2.0692605156273136,2.111456174647421,0.6458191706322225,57.89473684210527
