duration_threshold,horizon,first_break_dir,events,up_rate_pct,avg_ret_pct,med_ret_pct,avg_abs_ret_pct,med_abs_ret_pct,avg_mfe_pct,avg_mae_pct,avg_max_abs_excursion_pct,avg_realized_vol_pct,p75_max_abs_excursion_pct,p90_max_abs_excursion_pct,up_first_break_rate_pct,down_first_break_rate_pct,both_same_bar_rate_pct,none_rate_pct,avg_first_break_bars,med_first_break_bars,avg_box_width_pct,med_box_width_pct,avg_dir_ret_follow_first_break_pct,med_dir_ret_follow_first_break_pct,win_rate_follow_first_break_pct
5,12,both_same_bar,2831,46.06146238078417,-0.017464909875374447,-0.03836415253586356,0.7186208637453471,0.4606573705179251,0.7666037188184026,-0.7874496260246471,1.207462198545552,0.8862404558546385,1.4709533282202147,2.2508851795649876,0.0,0.0,100.0,0.0,1.597668668315083,1.0,0.40779402324187847,0.3610108303249149,,,
5,12,down,89051,37.487507158819106,-0.2205315450933582,-0.1680672268907557,0.640428535573461,0.43062200956935914,0.4729763615263825,-0.8730245199500138,1.0768520639938963,0.7988040385151463,1.3178469206172883,2.0173453996983337,0.0,100.0,0.0,0.0,2.042559881416267,1.0,0.5384738747180272,0.4699738903394257,0.2205315450933582,0.1680672268907557,61.020089611570896
5,12,none,1022,37.96477495107632,-0.024973031035746072,0.0,0.1859678292902684,0.1183666568903452,0.22850978026718244,-0.264993736479517,0.38777993604104377,0.44023845159202746,0.5499961857601848,0.7699800185728445,0.0,0.0,0.0,100.0,,,0.599484289495265,0.5681357070133286,,,
5,12,up,93153,59.76619110495637,0.20216458736830042,0.14695077149156077,0.6260538737955185,0.41934215699122035,0.8450188378544384,-0.4733322429485669,1.0519329910650232,0.7832754316185533,1.2746930058729289,1.9663163853975378,100.0,0.0,0.0,0.0,2.002715961912123,1.0,0.5339547146264787,0.4683840749414525,0.20216458736830042,0.14695077149156077,59.76619110495637
5,36,both_same_bar,2837,47.40923510750793,-0.031371039729272625,-0.05467966827669146,1.3168304558617796,0.8234809717075353,1.3805191120667537,-1.4178852269572586,2.215148179548052,1.6949391399406606,2.681388012618302,4.206907006065181,0.0,0.0,100.0,0.0,1.62460345435319,1.0,0.4078172898831553,0.3610108303249149,,,
5,36,down,89545,42.46244904796471,-0.2497649385198408,-0.1800451878118503,1.2058969451700952,0.7838283828382808,1.0816769309686949,-1.528278054303855,2.0760141514966373,1.617004588407069,2.519379844961245,3.9276783945445923,0.0,100.0,0.0,0.0,2.1241833714891953,1.0,0.5392384592944544,0.4708599857853546,0.2497649385198408,0.1800451878118503,56.603942151990616
5,36,none,97,20.618556701030926,0.004461088572488338,0.0,0.018745026327537252,9.998850132308945e-05,0.028420376878868225,-0.018125218536484092,0.04266506404125619,0.1574526198254928,0.0001001098204778117,0.0010006223949132753,0.0,0.0,0.0,100.0,,,0.05503250713577266,0.0001000739546563878,,,
5,36,up,93578,54.12490115198017,0.19131219159900692,0.11403834024269477,1.1808452420732392,0.7694653907299065,1.4874998917775262,-1.0796480454302453,2.0378171298645045,1.5905147056628688,2.4522268620638945,3.842949954558366,100.0,0.0,0.0,0.0,2.0691294962491185,1.0,0.5344187173338255,0.4687059262689419,0.19131219159900692,0.11403834024269477,54.12490115198017
5,72,both_same_bar,2837,46.38702855128657,-0.03438584792439708,-0.11120758352463067,1.8825571954882159,1.2144846796657283,2.050452594748203,-2.0349710301646136,3.224321673992002,2.527796525444219,4.011741682974557,5.976101579403785,0.0,0.0,100.0,0.0,1.62460345435319,1.0,0.4078172898831553,0.3610108303249149,,,
5,72,down,89575,43.78007256488976,-0.27996269869351925,-0.21924482338612217,1.8322982774013343,1.1734918851258103,1.7675802832401437,-2.227619669953514,3.176475595044806,2.4965315126355545,3.851852791339594,6.054387994337161,0.0,100.0,0.0,0.0,2.1401395478649174,1.0,0.539100645461882,0.47078371642204075,0.27996269869351925,0.21924482338612217,55.67401618755233
