baseline_reproduction_pass,run_label,fee_tag,round_trip_cost_bps,position_fraction,axis,strategy,side,entry_key,filter_name,description,atr_stop,rr_target,max_hold_bars,cooldown_bars,use_tp03_gate,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,cd_value,max_conc,symbol_files,errors,ruined,evaluation_status
True,LONG_MAIN_LM23_RANK1_RETEST_LOW_RESOURCE,fee_008_rt_bps,8.0,0.01,long_main_lm21_rank1_dev,LM23R_001_RETEST_S121_RR505_B022_H17,long,child::orig_V09_extreme_vol18::tp03,retest LM23 rank1: body_atr >= 0.22,"single retest for v23 rank1: entry source child::orig_V09_extreme_vol18::tp03, TP03 source atr_stop 1.10 rr_target 3.80; final filter body_atr >= 0.22; final exit atr_stop 1.21 rr_target 5.05 max_hold 17, 2025 data only.",1.21,5.05,17,31,True,56551,21969,34582,38.84811939665081,454.0898854634718,455.0171719748199,1.3974597812998368,547.2610302171641,547.2610302171641,445,597,0,False,VALID
True,LONG_MAIN_LM23_RANK1_RETEST_LOW_RESOURCE,fee_008_rt_bps,8.0,0.01,long_main_lm21_rank1_dev,LM23R_000_LM22R_068_EXACT_REFERENCE,long,child::orig_V09_extreme_vol18::tp03,reference LM22R_068: body_atr >= 0.20,"reference exact for LM22R_068: entry source child::orig_V09_extreme_vol18::tp03, TP03 source atr_stop 1.10 rr_target 3.80; final filter body_atr >= 0.20; final exit atr_stop 1.20 rr_target 5.00 max_hold 17, 2025 data only.",1.2,5.0,17,31,True,56591,21871,34720,38.64748811648495,446.12552394206125,447.0278919263715,1.4424051244910419,539.1375335808302,539.1375335808302,444,597,0,False,VALID
