strategy,axis,engine,trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,blocked_by_guard,generated_entry_candidates,executed_entries,fee_per_side,position_fraction,score_dev_weight,timeout_bars,use_rsi_gate,score_min_short,dd_brake_trigger_pct,dd_brake_freeze_steps,dd_brake_mode,old_engine_strategy,old_engine_trades,old_engine_max_return_pct,old_engine_max_drawdown_pct,old_engine_official_cd_value,delta_cd_vs_old_engine,delta_mdd_vs_old_engine,delta_trades_vs_old_engine,load_errors
short_main_v6_timeout210_actual_bar_engine,short_main,actual_bar_engine_no_same_timestamp_reentry,35857,5089,30768,14.192486822656663,1291.8481528825873,1191.8481528825873,1292.478395508283,1192.478395508283,4.607649926423363,1232.9255156686077,1.58581324121574,284,284,3243,2,0,39,35898,35859,0.0004,0.01,1.0,210,False,2.35,0.03,5,edge_current,short_main_v6_timeout210,33989,931.6464095007982,4.506694290977831,985.153259660748,247.7722560078597,0.10095563544553254,1868,0
short_max_v7_devw120_actual_bar_engine,short_max,actual_bar_engine_no_same_timestamp_reentry,46128,6365,39763,13.798560527228581,1619.882224975272,1519.882224975272,1620.672502706063,1520.672502706063,6.104584306764704,1521.7371834418177,1.5072019263721947,299,299,3849,3,0,205,46336,46131,0.0004,0.01,1.2,200,False,2.35,0.03,5,edge_current,short_max_v7_devw120,43681,1221.9746135454966,5.6636954922983485,1247.1019969487918,274.6351864930259,0.44088881446635586,2447,0
