profile,role,scenario,initial_capital,final_equity,final_return_pct,peak_equity,min_equity,max_drawdown_pct,entries,exits,wins,losses,flats,win_rate_pct,avg_trade_net_return_pct,profit_factor_contribution,max_concurrent_positions,max_gross_exposure_pct,bankrupt,position_fraction,leverage,fee_per_side,slippage_bps,hold_bars
bear_range25_body08_vol15_cp20,primary,BASE,100.0,25.057461099297726,-74.94253890070229,314.459189244003,-124.12006076529465,-139.4709599880652,176631,176631,90644,85987,0,51.31828501225719,0.0464107866278586,0.9797608407767049,464,inf,True,0.01,1.0,0.0004,1.0,72
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,100.0,221.42275569245973,121.42275569245973,314.459189244003,91.40756685307475,-55.7353475981206,157517,157517,80785,76732,0,51.286527803348214,0.08601760828207156,1.0350583986142663,380,457.69319359326425,False,0.01,1.0,0.0004,1.0,72
bear_range25_body08_vol15_cp20,primary,ONLY_2025Q4,100.0,11.31684816049386,-88.68315183950614,107.11801294095038,-61.63796967454523,-157.54211451674672,19114,19114,9859,9255,0,51.57999372187925,-0.27998597629495436,0.3354910958347025,464,inf,True,0.01,1.0,0.0004,1.0,72
bear_range25_body08_vol15_cp20,primary,PRE_2025Q4,100.0,201.37341341928362,101.37341341928364,314.459189244003,91.40756685307475,-55.7353475981206,155146,155146,79426,75720,0,51.194358861975175,0.08109741501657766,1.029551782781254,380,457.69319359326425,False,0.01,1.0,0.0004,1.0,72
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,100.0,109.95630055266166,9.956300552661656,111.19519023018172,99.66698811792146,-4.310058421604868,2371,2371,1359,1012,0,57.317587515816115,0.4079696556748544,1.606135668496133,244,245.39281273860155,False,0.01,1.0,0.0004,1.0,72
bear_range25_body08_vol15_cp20,primary,EXCL_TOP1_SYMBOL,100.0,24.448604061739193,-75.55139593826081,304.95666106092784,-120.28862023612133,-139.44449674181362,175723,175723,90129,85594,0,51.29038315985955,0.04449474466900009,0.9790006081598466,463,inf,True,0.01,1.0,0.0004,1.0,72
bear_range25_body08_vol15_cp20,primary,EXCL_TOP5_SYMBOLS,100.0,23.830681423970862,-76.16931857602913,281.9578655715442,-110.17235653437173,-139.07404970279737,172303,172303,88237,84066,0,51.21036778233693,0.039858510879870204,0.9770271945848419,459,inf,True,0.01,1.0,0.0004,1.0,72
bear_range25_body08_vol15_cp20,primary,EXCL_TOP10_SYMBOLS,100.0,24.440281928269172,-75.55971807173083,260.3920555554923,-98.62765177847153,-137.87659787395202,168643,168643,86253,82390,0,51.14531880955629,0.034766471864223034,0.9753676421484901,454,inf,True,0.01,1.0,0.0004,1.0,72
bear_range25_body08_vol15_cp20,primary,EXCL_TOP_0_1PCT_WIN_TRADES,100.0,14.565279683861032,-85.43472031613896,257.610477590011,-93.27381925363053,-136.20730807466478,176525,176525,90538,85987,0,51.28905254213284,0.01615244434148599,0.9732828477386185,464,inf,True,0.01,1.0,0.0004,1.0,72
bear_range25_body08_vol15_cp20,primary,EXCL_BOTH_0_1PCT_TAILS,100.0,128.15450121211686,28.154501212116845,266.5577907223552,-4.043341472318013,-101.51687236803726,176375,176375,90563,85812,0,51.34684620836286,0.06015709152956969,1.008129505231463,464,inf,True,0.01,1.0,0.0004,1.0,72
bear_body20_range22_vol20_cp20,secondary,BASE,100.0,16.42837640785692,-83.57162359214307,258.58576782352975,-72.57103486410311,-128.06458973938146,175114,175114,89587,85527,0,51.15924483479334,0.018732914860841634,0.971778499525806,471,inf,True,0.01,1.0,0.0004,1.0,72
bear_body20_range22_vol20_cp20,secondary,EX_2025Q4,100.0,137.68408843007882,37.68408843007882,258.58576782352975,78.41818008575882,-69.67420877576107,156438,156438,79932,76506,0,51.09500249300042,0.05792026290254181,1.0133838456102382,379,456.3548214149983,False,0.01,1.0,0.0004,1.0,72
