profile,role,trade_count,net_return_q0_1_pct,net_return_q99_9_pct,top1_symbols,top5_symbols,top10_symbols
bear_range25_body08_vol15_cp20,primary,176730,-29.502999607248306,27.873766321058707,DOGE,"DOGE,NKN,PEOPLE,XMR,SAND","DOGE,NKN,PEOPLE,XMR,SAND,1000PEPE,XTZ,ALGO,MASK,ZIL"
bear_body20_range22_vol20_cp20,secondary,175223,-29.542995902342795,28.224733999680268,KSM,"KSM,DOGE,XMR,VET,CHZ","KSM,DOGE,XMR,VET,CHZ,LINK,NKN,ADA,PENDLE,AVAX"
