profile,symbol,rows,raw_events,selected_trades,first_entry,last_exit
bear_body20_range22_vol20_cp20,SOPH,64023,103,96,2025-06-01 09:05:00,2026-01-12 06:35:00
bear_body20_range22_vol20_cp20,SPELL,352387,592,520,2022-09-10 16:50:00,2026-01-12 07:00:00
bear_body20_range22_vol20_cp20,SPK,58310,64,62,2025-06-18 19:55:00,2026-01-12 06:25:00
bear_body20_range22_vol20_cp20,SPX,112709,129,124,2024-12-12 23:20:00,2026-01-10 21:15:00
bear_body20_range22_vol20_cp20,SQD,59993,108,97,2025-06-13 09:05:00,2026-01-09 00:50:00
bear_body20_range22_vol20_cp20,SSV,303133,432,379,2023-02-28 11:50:00,2026-01-09 16:30:00
bear_body20_range22_vol20_cp20,STABLE,15649,26,22,2025-11-20 18:05:00,2026-01-10 17:35:00
bear_body20_range22_vol20_cp20,STBL,31851,61,50,2025-09-23 10:15:00,2026-01-09 19:45:00
bear_body20_range22_vol20_cp20,STEEM,227346,437,381,2023-11-10 20:25:00,2026-01-11 13:50:00
bear_body20_range22_vol20_cp20,STG,355843,597,517,2022-08-27 22:25:00,2026-01-07 08:45:00
bear_body20_range22_vol20_cp20,STMX,505969,673,604,2021-03-25 21:10:00,2025-02-19 19:15:00
bear_body20_range22_vol20_cp20,STO,77253,122,107,2025-04-17 23:20:00,2026-01-11 15:00:00
bear_body20_range22_vol20_cp20,STORJ,559842,1070,926,2020-09-19 02:35:00,2026-01-11 15:05:00
bear_body20_range22_vol20_cp20,STPT,233400,120,105,2023-10-20 09:05:00,2024-05-13 16:15:00
bear_body20_range22_vol20_cp20,STRAX,235562,67,60,2023-10-13 12:40:00,2024-03-11 13:15:00
bear_body20_range22_vol20_cp20,STRK,197352,226,205,2024-02-25 05:25:00,2026-01-11 05:00:00
bear_body20_range22_vol20_cp20,STX,303968,390,346,2023-02-25 09:05:00,2026-01-08 05:00:00
bear_body20_range22_vol20_cp20,SUI,281780,352,322,2023-05-05 12:55:00,2026-01-12 06:40:00
bear_body20_range22_vol20_cp20,SUN,144397,218,194,2024-08-26 00:35:00,2026-01-09 16:30:00
bear_body20_range22_vol20_cp20,SUPER,222176,288,265,2023-11-29 22:25:00,2026-01-11 13:50:00
bear_body20_range22_vol20_cp20,SUSHI,563299,889,779,2020-09-05 17:25:00,2026-01-12 02:05:00
bear_body20_range22_vol20_cp20,SWARMS,104649,139,130,2025-01-10 22:35:00,2026-01-11 13:50:00
bear_body20_range22_vol20_cp20,SWELL,121890,216,181,2024-11-11 06:05:00,2025-11-24 21:05:00
bear_body20_range22_vol20_cp20,SXP,576242,1155,990,2020-07-23 16:55:00,2025-12-05 23:00:00
bear_body20_range22_vol20_cp20,SXT,71567,114,99,2025-05-05 09:05:00,2026-01-12 06:10:00
bear_body20_range22_vol20_cp20,SYN,146133,209,188,2024-08-25 06:10:00,2026-01-11 08:50:00
bear_body20_range22_vol20_cp20,SYRUP,70127,97,90,2025-05-13 03:50:00,2026-01-10 18:50:00
bear_body20_range22_vol20_cp20,SYS,145269,194,178,2024-08-28 05:15:00,2025-12-31 22:15:00
bear_body20_range22_vol20_cp20,T,309748,591,516,2023-02-03 09:00:00,2026-01-05 23:55:00
bear_body20_range22_vol20_cp20,TA,48536,62,58,2025-07-23 21:05:00,2026-01-10 18:50:00
bear_body20_range22_vol20_cp20,TAC,50228,80,67,2025-07-16 22:35:00,2026-01-12 05:10:00
bear_body20_range22_vol20_cp20,TAG,47338,92,78,2025-08-10 15:25:00,2026-01-11 07:10:00
bear_body20_range22_vol20_cp20,TAIKO,59997,136,114,2025-06-16 09:05:00,2026-01-10 15:00:00
bear_body20_range22_vol20_cp20,TAKE,35817,101,81,2025-09-11 16:20:00,2026-01-11 13:45:00
bear_body20_range22_vol20_cp20,TANSSI,51943,84,78,2025-07-11 06:45:00,2026-01-09 03:00:00
bear_body20_range22_vol20_cp20,TAO,182689,253,221,2024-04-14 05:10:00,2026-01-08 14:00:00
bear_body20_range22_vol20_cp20,THE,116461,175,155,2024-11-29 01:10:00,2026-01-12 05:30:00
bear_body20_range22_vol20_cp20,THETA,592099,1042,905,2020-05-29 09:10:00,2026-01-10 21:15:00
bear_body20_range22_vol20_cp20,TIA,229610,294,275,2023-11-02 20:10:00,2026-01-11 08:50:00
bear_body20_range22_vol20_cp20,TLM,291619,393,354,2023-04-03 23:50:00,2026-01-09 23:45:00
bear_body20_range22_vol20_cp20,TNSR,183524,227,204,2024-04-10 07:10:00,2026-01-11 08:50:00
bear_body20_range22_vol20_cp20,TOKEN,228780,340,301,2023-11-05 22:55:00,2025-12-04 05:00:00
bear_body20_range22_vol20_cp20,TON,194525,349,311,2024-03-04 09:50:00,2026-01-09 15:15:00
bear_body20_range22_vol20_cp20,TOSHI,31854,52,47,2025-09-21 18:35:00,2026-01-10 17:35:00
bear_body20_range22_vol20_cp20,TOWNS,44130,65,57,2025-08-07 02:05:00,2026-01-08 06:00:00
bear_body20_range22_vol20_cp20,TRADOOR,31194,43,37,2025-09-30 07:10:00,2026-01-09 16:15:00
bear_body20_range22_vol20_cp20,TRB,563588,978,843,2020-09-05 19:25:00,2026-01-11 08:50:00
bear_body20_range22_vol20_cp20,TREE,46153,53,49,2025-07-31 01:40:00,2026-01-11 15:35:00
bear_body20_range22_vol20_cp20,TROY,124231,64,60,2024-11-02 23:30:00,2025-04-12 14:45:00
bear_body20_range22_vol20_cp20,TRU,298252,393,353,2023-03-08 22:30:00,2026-01-11 08:50:00
bear_body20_range22_vol20_cp20,TRUMP,101470,161,142,2025-01-20 06:25:00,2026-01-09 16:30:00
bear_body20_range22_vol20_cp20,TRUST,15649,21,20,2025-11-20 01:20:00,2026-01-11 13:50:00
bear_body20_range22_vol20_cp20,TRUTH,27744,46,42,2025-10-06 02:15:00,2026-01-11 19:10:00
bear_body20_range22_vol20_cp20,TRX,630413,1467,1232,2020-01-19 20:10:00,2026-01-11 21:45:00
bear_body20_range22_vol20_cp20,TST,95133,147,132,2025-02-11 22:20:00,2026-01-10 14:05:00
bear_body20_range22_vol20_cp20,TURBO,168564,210,190,2024-06-01 22:05:00,2026-01-12 06:45:00
bear_body20_range22_vol20_cp20,TURTLE,21659,28,26,2025-10-25 00:55:00,2026-01-10 19:55:00
bear_body20_range22_vol20_cp20,TUT,83947,144,130,2025-04-08 18:15:00,2026-01-12 04:50:00
bear_body20_range22_vol20_cp20,TWT,228787,454,398,2023-11-05 15:10:00,2026-01-12 06:45:00
bear_body20_range22_vol20_cp20,UAI,15649,28,28,2025-11-20 04:35:00,2026-01-09 10:45:00
bear_body20_range22_vol20_cp20,UB,33234,88,64,2025-09-19 12:30:00,2026-01-11 19:40:00
bear_body20_range22_vol20_cp20,UMA,279805,424,381,2023-05-12 08:10:00,2026-01-10 17:35:00
bear_body20_range22_vol20_cp20,UNFI,514902,728,623,2021-02-22 23:10:00,2024-10-26 14:10:00
bear_body20_range22_vol20_cp20,UNI,559265,970,832,2020-09-20 03:05:00,2026-01-09 16:30:00
bear_body20_range22_vol20_cp20,USDC,296751,2522,1466,2023-03-14 21:55:00,2026-01-11 16:35:00
bear_body20_range22_vol20_cp20,USELESS,41278,49,48,2025-08-20 03:45:00,2026-01-11 07:10:00
bear_body20_range22_vol20_cp20,USTC,221894,322,286,2023-11-30 22:05:00,2026-01-12 06:45:00
bear_body20_range22_vol20_cp20,USUAL,110401,149,136,2024-12-22 08:05:00,2026-01-09 23:45:00
bear_body20_range22_vol20_cp20,UXLINK,137458,216,189,2024-09-21 09:05:00,2025-09-25 03:00:00
bear_body20_range22_vol20_cp20,VANA,110972,194,174,2024-12-18 07:30:00,2026-01-12 06:45:00
bear_body20_range22_vol20_cp20,VANRY,191007,268,246,2024-03-15 18:10:00,2026-01-10 01:00:00
bear_body20_range22_vol20_cp20,VELODROME,111803,159,138,2024-12-16 15:50:00,2026-01-01 17:50:00
bear_body20_range22_vol20_cp20,VELVET,50243,112,89,2025-07-17 03:40:00,2026-01-09 23:25:00
bear_body20_range22_vol20_cp20,VET,621765,1091,951,2020-02-15 20:20:00,2026-01-09 23:45:00
bear_body20_range22_vol20_cp20,VFY,28033,54,46,2025-10-02 06:05:00,2026-01-11 08:50:00
bear_body20_range22_vol20_cp20,VIC,86156,135,120,2025-03-18 17:10:00,2026-01-07 08:45:00
bear_body20_range22_vol20_cp20,VIDT,144151,101,90,2024-08-29 09:40:00,2025-04-14 10:15:00
bear_body20_range22_vol20_cp20,VINE,99778,127,114,2025-01-27 19:45:00,2026-01-11 23:00:00
bear_body20_range22_vol20_cp20,VIRTUAL,112712,131,120,2024-12-15 10:00:00,2026-01-09 16:30:00
bear_body20_range22_vol20_cp20,VOXEL,145004,180,160,2024-08-28 07:15:00,2025-12-09 19:30:00
bear_body20_range22_vol20_cp20,VTHO,100360,159,143,2025-01-24 09:05:00,2026-01-10 15:10:00
bear_body20_range22_vol20_cp20,VVV,98359,161,147,2025-01-31 11:40:00,2026-01-09 04:55:00
bear_body20_range22_vol20_cp20,W,184982,238,216,2024-04-07 21:50:00,2026-01-12 06:45:00
bear_body20_range22_vol20_cp20,WAL,81852,126,116,2025-04-04 01:50:00,2026-01-10 15:00:00
bear_body20_range22_vol20_cp20,WAVES,569928,758,653,2020-08-16 20:10:00,2024-06-10 15:05:00
bear_body20_range22_vol20_cp20,WAXP,233395,410,359,2023-10-20 09:05:00,2026-01-12 02:45:00
bear_body20_range22_vol20_cp20,WCT,76434,100,95,2025-04-22 08:05:00,2026-01-09 23:45:00
bear_body20_range22_vol20_cp20,WIF,206893,241,223,2024-01-20 01:45:00,2026-01-12 06:45:00
bear_body20_range22_vol20_cp20,WLD,258206,287,261,2023-08-04 02:20:00,2026-01-11 08:50:00
bear_body20_range22_vol20_cp20,WLFI,39019,52,47,2025-08-30 03:05:00,2026-01-07 06:35:00
bear_body20_range22_vol20_cp20,WOO,395980,589,524,2022-04-10 13:05:00,2026-01-10 21:15:00
bear_body20_range22_vol20_cp20,XAI,209488,280,242,2024-01-12 00:20:00,2026-01-11 08:50:00
bear_body20_range22_vol20_cp20,XAN,28339,48,41,2025-09-30 22:10:00,2026-01-08 08:50:00
bear_body20_range22_vol20_cp20,XCN,77532,110,97,2025-04-16 14:25:00,2025-11-20 11:10:00
bear_body20_range22_vol20_cp20,XEM,511445,463,412,2021-03-08 11:10:00,2024-12-09 23:00:00
bear_body20_range22_vol20_cp20,XLM,628972,1180,1016,2020-01-23 08:20:00,2026-01-09 16:30:00
bear_body20_range22_vol20_cp20,XMR,624939,1396,1182,2020-02-06 09:20:00,2026-01-10 18:05:00
bear_body20_range22_vol20_cp20,XNY,41860,69,55,2025-08-20 07:50:00,2026-01-08 00:35:00
bear_body20_range22_vol20_cp20,XPIN,33264,49,41,2025-09-21 18:30:00,2026-01-12 01:45:00
bear_body20_range22_vol20_cp20,XPL,39295,60,54,2025-08-24 02:30:00,2026-01-07 16:15:00
bear_body20_range22_vol20_cp20,XRP,633003,1085,974,2020-01-08 20:00:00,2026-01-12 06:40:00
bear_body20_range22_vol20_cp20,XTZ,624073,924,823,2020-02-08 11:30:00,2025-12-27 02:35:00
bear_body20_range22_vol20_cp20,XVG,263678,355,320,2023-07-07 09:35:00,2026-01-10 17:35:00
bear_body20_range22_vol20_cp20,XVS,287704,548,475,2023-04-15 18:50:00,2026-01-09 16:30:00
bear_body20_range22_vol20_cp20,YALA,43531,74,66,2025-08-09 15:05:00,2026-01-11 12:25:00
bear_body20_range22_vol20_cp20,YB,25118,40,34,2025-10-12 01:05:00,2026-01-09 11:00:00
bear_body20_range22_vol20_cp20,YFI,564453,988,862,2020-09-02 20:25:00,2026-01-11 13:55:00
bear_body20_range22_vol20_cp20,YGG,254850,327,297,2023-08-18 06:45:00,2026-01-12 06:45:00
bear_body20_range22_vol20_cp20,ZBT,23141,31,28,2025-10-19 23:35:00,2026-01-04 13:15:00
bear_body20_range22_vol20_cp20,ZEC,624361,1219,1048,2020-02-06 22:50:00,2026-01-10 15:10:00
bear_body20_range22_vol20_cp20,ZEN,539962,1028,890,2020-11-26 03:25:00,2026-01-09 23:25:00
bear_body20_range22_vol20_cp20,ZEREBRO,106067,152,139,2025-01-05 10:10:00,2026-01-10 10:30:00
bear_body20_range22_vol20_cp20,ZETA,202640,312,283,2024-02-04 02:20:00,2026-01-11 13:05:00
bear_body20_range22_vol20_cp20,ZIL,585749,1015,892,2020-06-26 08:20:00,2026-01-05 10:05:00
bear_body20_range22_vol20_cp20,ZK,163432,188,172,2024-06-21 09:10:00,2026-01-11 08:50:00
bear_body20_range22_vol20_cp20,ZKC,32328,40,36,2025-09-30 09:10:00,2026-01-09 16:20:00
bear_body20_range22_vol20_cp20,ZKJ,68385,110,94,2025-05-15 10:30:00,2026-01-09 23:45:00
bear_body20_range22_vol20_cp20,ZORA,47341,62,59,2025-08-06 12:15:00,2026-01-11 10:45:00
bear_body20_range22_vol20_cp20,ZRC,46204,104,84,2025-08-12 06:35:00,2026-01-12 06:05:00
bear_body20_range22_vol20_cp20,ZRO,162526,191,173,2024-06-22 09:05:00,2026-01-07 08:45:00
bear_body20_range22_vol20_cp20,ZRX,584020,1172,1007,2020-06-27 20:15:00,2026-01-09 16:30:00
bear_body20_range22_vol20_cp20,币安人生,22283,44,40,2025-10-22 22:50:00,2026-01-12 03:25:00
