profile,role,rank,symbol,net_pnl,contribution_pct_of_total_pnl,cumulative_contribution_pct,positive
bear_range25_body08_vol15_cp20,primary,1,DOGE,5.4894048170411525,-7.324818317556711,-7.324818317556711,True
bear_range25_body08_vol15_cp20,primary,2,NKN,3.9450046522919733,-5.264039236138933,-12.588857553695643,True
bear_range25_body08_vol15_cp20,primary,3,PEOPLE,3.86117214820013,-5.152176860882454,-17.741034414578095,True
bear_range25_body08_vol15_cp20,primary,4,XMR,3.5213348065001964,-4.698712984845128,-22.439747399423222,True
bear_range25_body08_vol15_cp20,primary,5,SAND,3.1698011578068503,-4.229642075519392,-26.66938947494262,True
bear_range25_body08_vol15_cp20,primary,6,1000PEPE,3.1530199956034197,-4.207250036966142,-30.87663951190876,True
bear_range25_body08_vol15_cp20,primary,7,XTZ,2.89901458537201,-3.868316483396597,-34.74495599530536,True
bear_range25_body08_vol15_cp20,primary,8,ALGO,2.8268299185055987,-3.7719964655199023,-38.51695246082526,True
bear_range25_body08_vol15_cp20,primary,9,MASK,2.8036340707692036,-3.7410449551005294,-42.25799741592579,True
bear_range25_body08_vol15_cp20,primary,10,ZIL,2.7302189896069833,-3.6430831269597883,-45.90108054288557,True
bear_range25_body08_vol15_cp20,primary,11,CHZ,2.6934188450979892,-3.59397864631529,-49.495059189200866,True
bear_range25_body08_vol15_cp20,primary,12,BEL,2.61993819298088,-3.495929323200598,-52.99098851240146,True
bear_range25_body08_vol15_cp20,primary,13,VET,2.616330816089629,-3.491115799474066,-56.482104311875524,True
bear_range25_body08_vol15_cp20,primary,14,GRT,2.5901021746899584,-3.456117463703215,-59.93822177557875,True
bear_range25_body08_vol15_cp20,primary,15,OMG,2.5817251645890815,-3.444939552968197,-63.38316132854695,True
bear_range25_body08_vol15_cp20,primary,16,LINK,2.5755148101361613,-3.4366527314326363,-66.81981405997959,True
bear_range25_body08_vol15_cp20,primary,17,BLUR,2.46995823620208,-3.2958027209013236,-70.11561678088091,True
bear_range25_body08_vol15_cp20,primary,18,RSR,2.4570787919109094,-3.2786169616782006,-73.39423374255911,True
bear_range25_body08_vol15_cp20,primary,19,KOMA,2.2383046144027356,-2.9866944024518203,-76.38092814501093,True
bear_range25_body08_vol15_cp20,primary,20,IOTX,2.198691964598545,-2.933837039483809,-79.31476518449475,True
bear_range25_body08_vol15_cp20,primary,21,OCEAN,2.177657301254799,-2.905769317663475,-82.22053450215822,True
bear_range25_body08_vol15_cp20,primary,22,ALPHA,2.138202234602448,-2.8531222266640293,-85.07365672882223,True
bear_range25_body08_vol15_cp20,primary,23,SPX,2.081983153794051,-2.778105978705201,-87.85176270752744,True
bear_range25_body08_vol15_cp20,primary,24,COTI,2.0666936865693,-2.757704391770699,-90.60946709929813,True
bear_range25_body08_vol15_cp20,primary,25,LIT,2.048810608469227,-2.7338420055179906,-93.34330910481611,True
bear_range25_body08_vol15_cp20,primary,26,SUI,2.0197990754107287,-2.6951303025465507,-96.03843940736266,True
bear_range25_body08_vol15_cp20,primary,27,ENS,2.0003161260365867,-2.669133119024446,-98.70757252638711,True
bear_range25_body08_vol15_cp20,primary,28,ZEN,1.9655738274943104,-2.622774536766769,-101.33034706315387,True
bear_range25_body08_vol15_cp20,primary,29,ESPORTS,1.9520815579203268,-2.604771050666759,-103.93511811382064,True
bear_range25_body08_vol15_cp20,primary,30,BEAMX,1.9038663873698303,-2.540434865560491,-106.47555297938112,True
bear_range25_body08_vol15_cp20,primary,31,XLM,1.8794951961870972,-2.5079150289760612,-108.98346800835719,True
bear_range25_body08_vol15_cp20,primary,32,SSV,1.8563005135478219,-2.4769650732106103,-111.46043308156779,True
bear_range25_body08_vol15_cp20,primary,33,BCH,1.851928587998196,-2.471131369664193,-113.93156445123198,True
bear_range25_body08_vol15_cp20,primary,34,BNT,1.8236811129960013,-2.4334391918749936,-116.36500364310697,True
bear_range25_body08_vol15_cp20,primary,35,ONDO,1.8109069366791926,-2.4163938975679335,-118.78139754067492,True
bear_range25_body08_vol15_cp20,primary,36,SEI,1.797596947516205,-2.398633638363716,-121.18003117903864,True
bear_range25_body08_vol15_cp20,primary,37,POWR,1.793110980651812,-2.3926477631449212,-123.57267894218356,True
bear_range25_body08_vol15_cp20,primary,38,XRP,1.7923259093118176,-2.3916001987689204,-125.96427914095247,True
bear_range25_body08_vol15_cp20,primary,39,DGB,1.7502158391456963,-2.335410388837457,-128.29968952978993,True
bear_range25_body08_vol15_cp20,primary,40,YGG,1.7478086814331457,-2.332198384349939,-130.63188791413987,True
bear_range25_body08_vol15_cp20,primary,41,TRU,1.7473911404602187,-2.331641236194763,-132.96352915033464,True
bear_range25_body08_vol15_cp20,primary,42,BAND,1.7010246383267116,-2.269771832230563,-135.2333009825652,True
bear_range25_body08_vol15_cp20,primary,43,KSM,1.6664665455825831,-2.2236590460198977,-137.4569600285851,True
bear_range25_body08_vol15_cp20,primary,44,COMP,1.6034320922370884,-2.1395486672282087,-139.5965086958133,True
bear_range25_body08_vol15_cp20,primary,45,1000SATS,1.573357113427986,-2.099417949413926,-141.69592664522725,True
bear_range25_body08_vol15_cp20,primary,46,SOLV,1.5593527995019854,-2.080731214041169,-143.7766578592684,True
bear_range25_body08_vol15_cp20,primary,47,XVS,1.5461053710608348,-2.0630544330894294,-145.8397122923578,True
bear_range25_body08_vol15_cp20,primary,48,BAT,1.5439375390440462,-2.060161774195579,-147.8998740665534,True
bear_range25_body08_vol15_cp20,primary,49,AVAX,1.5370149256738388,-2.050924545951445,-149.95079861250485,True
bear_range25_body08_vol15_cp20,primary,50,VELVET,1.5223368916170037,-2.0313388283174563,-151.98213744082233,True
bear_range25_body08_vol15_cp20,primary,51,RUNE,1.50070604478421,-2.002475585691726,-153.98461302651404,True
bear_range25_body08_vol15_cp20,primary,52,HOOK,1.4943766583966347,-1.9940299332219569,-155.978642959736,True
bear_range25_body08_vol15_cp20,primary,53,KAVA,1.4508447127095927,-1.9359428356594928,-157.91458579539548,True
bear_range25_body08_vol15_cp20,primary,54,POPCAT,1.4348683372067552,-1.9146246687849964,-159.82921046418048,True
bear_range25_body08_vol15_cp20,primary,55,ZORA,1.4310163906500541,-1.9094848021442297,-161.73869526632473,True
bear_range25_body08_vol15_cp20,primary,56,ARKM,1.3790698213031307,-1.8401696039818782,-163.5788648703066,True
bear_range25_body08_vol15_cp20,primary,57,SUSHI,1.3509212047707475,-1.8026093385501485,-165.38147420885673,True
bear_range25_body08_vol15_cp20,primary,58,ETHW,1.3450443066005722,-1.7947674662885729,-167.17624167514532,True
bear_range25_body08_vol15_cp20,primary,59,AMB,1.3411074629774637,-1.789514316767812,-168.9657559919131,True
bear_range25_body08_vol15_cp20,primary,60,PENDLE,1.328706052033797,-1.7729664240414962,-170.7387224159546,True
bear_range25_body08_vol15_cp20,primary,61,0G,1.3203861812398958,-1.761864757463421,-172.500587173418,True
bear_range25_body08_vol15_cp20,primary,62,JTO,1.31522259401581,-1.7549746956909913,-174.255561869109,True
bear_range25_body08_vol15_cp20,primary,63,DODOX,1.2700703265657523,-1.6947255126337157,-175.95028738174273,True
bear_range25_body08_vol15_cp20,primary,64,SOL,1.2628518350324776,-1.6850934776918003,-177.63538085943452,True
bear_range25_body08_vol15_cp20,primary,65,TROY,1.2511006347956728,-1.669413197294076,-179.3047940567286,True
bear_range25_body08_vol15_cp20,primary,66,TIA,1.2504160830699993,-1.668499761833102,-180.9732938185617,True
bear_range25_body08_vol15_cp20,primary,67,1000LUNC,1.2437024493468605,-1.65954138676119,-182.63283520532292,True
bear_range25_body08_vol15_cp20,primary,68,HBAR,1.227631693052547,-1.6380972823445976,-184.27093248766752,True
bear_range25_body08_vol15_cp20,primary,69,ZEC,1.2255258705076464,-1.6352873661397427,-185.90621985380727,True
bear_range25_body08_vol15_cp20,primary,70,ADA,1.2142373412851282,-1.6202244534227417,-187.52644430723,True
bear_range25_body08_vol15_cp20,primary,71,MEME,1.1955265751372874,-1.5952576369493492,-189.12170194417936,True
bear_range25_body08_vol15_cp20,primary,72,FET,1.1933997868337602,-1.5924197449660722,-190.71412168914543,True
bear_range25_body08_vol15_cp20,primary,73,TST,1.177452399603175,-1.571140258756359,-192.28526194790177,True
bear_range25_body08_vol15_cp20,primary,74,FARTCOIN,1.166003229573442,-1.555862994071075,-193.84112494197288,True
bear_range25_body08_vol15_cp20,primary,75,RLC,1.1286415237872676,-1.5060091909651048,-195.347134132938,True
bear_range25_body08_vol15_cp20,primary,76,JASMY,1.121966795036437,-1.497102728962698,-196.8442368619007,True
bear_range25_body08_vol15_cp20,primary,77,AAVE,1.1198570582149439,-1.4942875897207673,-198.33852445162142,True
bear_range25_body08_vol15_cp20,primary,78,ANKR,1.0986998085641912,-1.4660562941694064,-199.80458074579084,True
bear_range25_body08_vol15_cp20,primary,79,ETHFI,1.0928066201987856,-1.4581926849938305,-201.26277343078468,True
bear_range25_body08_vol15_cp20,primary,80,ORDI,1.0718104929932464,-1.4301763840871355,-202.69294981487184,True
bear_range25_body08_vol15_cp20,primary,81,XPL,1.0715075878707396,-1.4297722009263434,-204.12272201579816,True
bear_range25_body08_vol15_cp20,primary,82,1000FLOKI,1.0652820118309598,-1.4214650683803964,-205.54418708417853,True
bear_range25_body08_vol15_cp20,primary,83,H,1.0605289750417748,-1.41512282689925,-206.9593099110778,True
bear_range25_body08_vol15_cp20,primary,84,WIF,1.0501384273781686,-1.4012581409464926,-208.36056805202426,True
bear_range25_body08_vol15_cp20,primary,85,Q,1.0309148607448382,-1.375607066249384,-209.73617511827368,True
bear_range25_body08_vol15_cp20,primary,86,STG,1.0158488340418574,-1.3555036284369264,-211.09167874671058,True
bear_range25_body08_vol15_cp20,primary,87,1000BONK,1.0104036159662269,-1.3482377709473037,-212.4399165176579,True
bear_range25_body08_vol15_cp20,primary,88,XVG,0.9907238406484747,-1.321977951615821,-213.76189446927373,True
bear_range25_body08_vol15_cp20,primary,89,OGN,0.9815134425201162,-1.3096880048599986,-215.07158247413375,True
