profile,role,scenario,date,equity
bear_range25_body08_vol15_cp20,primary,BASE,2019-09-14,100.005743282938
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-09-14,100.005743282938
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-09-14,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-09-16,100.0035061393079
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-09-16,100.0035061393079
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-09-16,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-09-17,100.00366753873853
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-09-17,100.00366753873853
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-09-17,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-09-21,100.00920143119689
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-09-21,100.00920143119689
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-09-21,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-09-22,100.0086322735391
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-09-22,100.0086322735391
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-09-22,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-09-23,100.02045558411058
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-09-23,100.02045558411058
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-09-23,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-09-24,100.00998504471337
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-09-24,100.00998504471337
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-09-24,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-09-25,99.96733125813628
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-09-25,99.96733125813628
bear_range25_body08_vol15_cp20,primary,2026_ENTRY_ONLY,2019-09-25,100.0
bear_range25_body08_vol15_cp20,primary,BASE,2019-09-30,99.97943048034557
bear_range25_body08_vol15_cp20,primary,EX_2025Q4,2019-09-30,99.97943048034557
