run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,compress_n,pre_range_atr_max,pre_body_atr_max,pre_volr_max,pre_ret_abs_max,expand_range_atr_min,expand_body_atr_min,expand_volr_min,close_pos_min,upper_wick_max,ret1_min,ret5_min,ret20_min,ret60_min,ret20_max,ret60_max,atrp_min,atrp_max,rsi_min,rsi_max,ema20_pos_min,ema50_pos_min,ema100_pos_min,fail_bars,fail_pnl,verdict,note
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_B_024_PV95_EV200,volume_contraction_expansion,volume_contraction_then_expansion_release,long,479506,155183,324323,32.3630986890675,-99.06123272913149,0.0,99.99994465861573,5.534138426410706e-05,597,0,0.01,0.0004,0.08,CEM_B_024_PV95_EV200,0.9,2.0,12,20,12,0.9,0.55,0.95,0.006,1.05,0.35,2.0,0.6,0.55,0.0,-0.03,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_B_025_PV114_EV114,volume_contraction_expansion,volume_contraction_then_expansion_release,long,1326015,434191,891824,32.74404889839104,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,CEM_B_025_PV114_EV114,0.9,2.0,12,20,12,0.9,0.55,1.15,0.006,1.05,0.35,1.15,0.6,0.55,0.0,-0.03,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,5,-0.42,invalid_ruin,MDD >= 100
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_B_026_PV114_EV150,volume_contraction_expansion,volume_contraction_then_expansion_release,long,948179,308850,639329,32.57296354380344,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,CEM_B_026_PV114_EV150,0.9,2.0,12,20,12,0.9,0.55,1.15,0.006,1.05,0.35,1.5,0.6,0.55,0.0,-0.03,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,5,-0.42,invalid_ruin,MDD >= 100
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_B_027_PV114_EV200,volume_contraction_expansion,volume_contraction_then_expansion_release,long,561437,181351,380086,32.301219905350024,-99.57710683487285,0.0,99.99999456174848,5.438251515776926e-06,597,0,0.01,0.0004,0.08,CEM_B_027_PV114_EV200,0.9,2.0,12,20,12,0.9,0.55,1.15,0.006,1.05,0.35,2.0,0.6,0.55,0.0,-0.03,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_C_028_PB35_EB35,body_compression_directional_expansion,small_body_compression_then_directional_body_expansion,long,525494,179346,346148,34.12902906598363,-99.46206733712387,0.0,99.99996026653037,3.9733469636704655e-05,597,0,0.01,0.0004,0.08,CEM_C_028_PB35_EB35,0.8,1.8,8,20,12,0.95,0.35,0.95,0.006,0.95,0.35,1.1,0.62,0.45,0.0,-0.03,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,4,-0.36,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_C_029_PB35_EB55,body_compression_directional_expansion,small_body_compression_then_directional_body_expansion,long,477258,162541,314717,34.057260433560046,-99.1541744719372,0.0,99.99985686737948,0.00014313262052256803,597,0,0.01,0.0004,0.08,CEM_C_029_PB35_EB55,0.8,1.8,8,20,12,0.95,0.35,0.95,0.006,0.95,0.55,1.1,0.62,0.45,0.0,-0.03,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,4,-0.36,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_C_030_PB35_EB80,body_compression_directional_expansion,small_body_compression_then_directional_body_expansion,long,376081,127657,248424,33.94401737923479,-97.73190093342656,0.0,99.99772736290356,0.0022726370964343268,597,0,0.01,0.0004,0.08,CEM_C_030_PB35_EB80,0.8,1.8,8,20,12,0.95,0.35,0.95,0.006,0.95,0.8,1.1,0.62,0.45,0.0,-0.03,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,4,-0.36,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_C_031_PB50_EB35,body_compression_directional_expansion,small_body_compression_then_directional_body_expansion,long,1428329,493077,935252,34.521248255829015,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,CEM_C_031_PB50_EB35,0.8,1.8,8,20,12,0.95,0.5,0.95,0.006,0.95,0.35,1.1,0.62,0.45,0.0,-0.03,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,4,-0.36,invalid_ruin,MDD >= 100
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_C_032_PB50_EB55,body_compression_directional_expansion,small_body_compression_then_directional_body_expansion,long,1315563,453539,862024,34.474897819412675,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,CEM_C_032_PB50_EB55,0.8,1.8,8,20,12,0.95,0.5,0.95,0.006,0.95,0.55,1.1,0.62,0.45,0.0,-0.03,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,4,-0.36,invalid_ruin,MDD >= 100
LONG_COMPRESSION_EXPANSION_MICROCYCLE_V13_1H,CEM_C_033_PB50_EB80,body_compression_directional_expansion,small_body_compression_then_directional_body_expansion,long,1075842,369617,706225,34.35606715484244,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,CEM_C_033_PB50_EB80,0.8,1.8,8,20,12,0.95,0.5,0.95,0.006,0.95,0.8,1.1,0.62,0.45,0.0,-0.03,-0.12,-0.26,0.18,0.42,0.001,0.075,34.0,72.0,0.9,0.84,0.74,4,-0.36,invalid_ruin,MDD >= 100
