side,trades,wins,losses,win_rate_pct,avg_pnl_decimal,sum_pnl_decimal,same_bar_trades
long,57035,20451,36584,35.85692995529061,0.002457231846478079,140.14821836387722,16744
short,52169,7536,44633,14.445360271425558,0.008237082875035644,429.7203765077345,4029
