all2026_active_months,all2026_avg_month_pnl,all2026_bankrupt,all2026_equity_model,all2026_final_asset,all2026_final_return_pct,all2026_losses,all2026_max_conc,all2026_max_conc_unique_symbols,all2026_max_drawdown_pct,all2026_max_month_pnl,all2026_max_return_pct,all2026_median_month_pnl,all2026_min_month_pnl,all2026_negative_months,all2026_official_cd_value,all2026_peak_asset,all2026_positive_month_ratio_pct,all2026_positive_months,all2026_profit_factor,all2026_same_bar_trades,all2026_trades,all2026_win_rate_pct,all2026_wins,atr_pct_max,atr_pct_min,atr_stop_mult,close_position_max,close_position_min,dd_brake_freeze_steps,dd_brake_trigger_pct,fail_fast_bars,fail_fast_min_progress_r,full2025_active_months,full2025_avg_month_pnl,full2025_bankrupt,full2025_equity_model,full2025_final_asset,full2025_final_return_pct,full2025_losses,full2025_max_conc,full2025_max_conc_unique_symbols,full2025_max_drawdown_pct,full2025_max_month_pnl,full2025_max_return_pct,full2025_median_month_pnl,full2025_min_month_pnl,full2025_negative_months,full2025_official_cd_value,full2025_peak_asset,full2025_positive_month_ratio_pct,full2025_positive_months,full2025_profit_factor,full2025_same_bar_trades,full2025_trades,full2025_win_rate_pct,full2025_wins,preq4_active_months,preq4_avg_month_pnl,preq4_bankrupt,preq4_equity_model,preq4_final_asset,preq4_final_return_pct,preq4_losses,preq4_max_conc,preq4_max_conc_unique_symbols,preq4_max_drawdown_pct,preq4_max_month_pnl,preq4_max_return_pct,preq4_median_month_pnl,preq4_min_month_pnl,preq4_negative_months,preq4_official_cd_value,preq4_peak_asset,preq4_positive_month_ratio_pct,preq4_positive_months,preq4_profit_factor,preq4_same_bar_trades,preq4_trades,preq4_win_rate_pct,preq4_wins,range20_pct_max,require_ema_reject,require_upper_sweep,ret10_ceil,ret20_ceil,ret3_ceil,ret5_ceil,rr_mult,score_dev_cap,score_dev_weight,score_min_short,score_rsi_cap,score_rsi_weight,score_wick_cap,score_wick_weight,short_dev,short_rsi_min,short_wick_mult,strategy,tag,time_reduce_bars,time_reduce_to_risk_frac,timeout_bars,upper_body_ratio_max,upper_body_ratio_min,upper_range_ratio_max,upper_range_ratio_min,y2026_active_months,y2026_avg_month_pnl,y2026_bankrupt,y2026_equity_model,y2026_final_asset,y2026_final_return_pct,y2026_losses,y2026_max_conc,y2026_max_conc_unique_symbols,y2026_max_drawdown_pct,y2026_max_month_pnl,y2026_max_return_pct,y2026_median_month_pnl,y2026_min_month_pnl,y2026_negative_months,y2026_official_cd_value,y2026_peak_asset,y2026_positive_month_ratio_pct,y2026_positive_months,y2026_profit_factor,y2026_same_bar_trades,y2026_trades,y2026_win_rate_pct,y2026_wins
76,-0.09774080127431972,False,entry_stake_fixed_realized,92.5716991031517,-7.428300896848294,91474,307,307,24.923140513460552,7.64065702593625,4.845677419555039,-0.062257019918732226,-8.71500881543163,40,69.4999244599753,104.84567741955505,47.368421052631575,36,0.991842765691677,39020,100360,8.854125149461938,8886,999.0,0.0,2.57,999.0,-999.0,4,0.035,12,0.1,75,-0.10992717229429028,False,entry_stake_fixed_realized,91.75546207792823,-8.244537922071771,90146,307,307,24.923140513460552,7.64065702593625,4.845677419555039,-0.08262576884801831,-8.71500881543163,40,68.88711933547117,104.84567741955505,46.666666666666664,35,0.9908039216211969,38378,98851,8.806183043165976,8705,72,-0.08732961316942639,False,entry_stake_fixed_realized,93.7122678518013,-6.2877321481987,76689,307,307,24.923140513460552,6.918175288061192,4.845677419555039,-0.062257019918732226,-7.670248577095236,38,70.35622765674634,104.84567741955505,47.22222222222222,34,0.9914708251949755,30496,83975,8.67639178326883,7286,999.0,False,False,999.0,999.0,999.0,999.0,5.075,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075,N02_stop257_rr5075,3,0.0,320,999.0,0.0,999.0,0.0,1,0.8907122912556815,False,entry_stake_fixed_realized,100.89071229125568,0.8907122912556797,1328,43,43,4.213360814916967,0.8907122912556815,0.8907122912556797,0.8907122912556815,0.8907122912556815,0,96.63982255368529,100.89071229125568,100.0,1,1.057912776229518,642,1509,11.994698475811797,181
76,0.010323787267777999,False,entry_stake_fixed_realized,100.78460783235113,0.7846078323511252,65208,311,311,18.06769908537045,8.360297272112845,7.729403279632829,-0.0011989902530871177,-7.626244500901947,39,82.57514816483123,107.72940327963282,48.68421052631579,37,1.0011876323699023,23053,71422,8.700400436840189,6214,999.0,0.0,2.57,999.0,-999.0,4,0.035,12,0.1,75,-0.00843228759557917,False,entry_stake_fixed_realized,99.36757843033156,-0.6324215696684399,64206,311,311,18.06769908537045,8.360297272112845,7.729403279632829,-0.00159866006541165,-7.626244500901947,39,81.41414337111978,107.72940327963282,48.0,36,0.9990257299467769,22674,70281,8.643872454859777,6075,72,-0.011336054385739381,False,entry_stake_fixed_realized,99.18380408422676,-0.8161959157732324,54418,311,311,18.06769908537045,8.360297272112845,7.729403279632829,-0.019125597508221404,-7.626244500901947,38,81.2635728208653,107.72940327963282,47.22222222222222,34,0.998438771314889,17922,59490,8.525802655908556,5072,999.0,False,False,999.0,999.0,999.0,999.0,5.075,2.0,1.3,2.37,2.0,0.8,2.5,0.7,0.032,76.0,1.3,RETEST_SMX2V3_B04_M01_S02D_plus_upper020,M01_S02D_plus_upper020,3,0.0,320,999.0,0.0,999.0,0.2,1,1.427155090450995,False,entry_stake_fixed_realized,101.427155090451,1.4271550904509933,1002,34,34,3.1427646809014664,1.427155090450995,1.4738181445854481,1.427155090450995,1.427155090450995,0,98.23953828342515,101.47381814458545,100.0,1,1.1230439407949497,379,1141,12.182296231375986,139
76,-0.0058373977660128975,False,entry_stake_fixed_realized,99.55635776978302,-0.44364223021697846,61684,292,292,18.287160614713272,6.7882802148268695,4.179747453179705,0.007016086520444276,-6.53535719174306,38,81.35032672226423,104.17974745317971,50.0,38,0.9992859152610539,21321,67560,8.697454114860864,5876,999.0,0.0,2.57,0.95,-999.0,4,0.035,20,0.1,75,-0.021553588238125105,False,entry_stake_fixed_realized,98.38348088214062,-1.616519117859383,60742,292,292,18.287160614713272,6.7882802148268695,4.179747453179705,-0.0007994703039457818,-6.53535719174306,38,80.39193571487783,104.17974745317971,49.333333333333336,37,0.997351847279878,20980,66486,8.639412808711608,5744,72,-0.04872236823973471,False,entry_stake_fixed_realized,96.4919894867391,-3.508010513260895,51556,292,292,18.287160614713272,6.7882802148268695,4.179747453179705,-0.0010530359259561806,-6.53535719174306,37,78.84634438896688,104.17974745317971,48.61111111111111,35,0.9929012917258453,16629,56339,8.48967855304496,4783,999.0,False,True,999.0,999.0,999.0,999.0,5.075,2.0,1.3,2.37,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V4_B07_A05_context_plus_FB20_only,A05_context_plus_FB20_only,3,0.0,320,999.0,0.0,999.0,0.2,1,1.1935169778958397,False,entry_stake_fixed_realized,101.19351697789584,1.1935169778958477,942,34,34,2.9687366269389504,1.1935169778958397,1.2353224776790572,1.1935169778958397,1.1935169778958397,0,98.18934797528537,101.23532247767905,100.0,1,1.108309841586521,341,1074,12.290502793296088,132
