corrected_bankrupt,corrected_final_return_pct,corrected_max_drawdown_pct,corrected_official_cd_value,corrected_profit_factor,corrected_trades,period,strategy
False,-6.2877321481987,24.923140513460552,70.35622765674634,0.9914708251949755,83975,PREQ4_ALL_BEFORE_2025_10_01,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075
False,-8.244537922071771,24.923140513460552,68.88711933547117,0.9908039216211969,98851,TRAIN_2025_FULL,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075
False,-7.428300896848294,24.923140513460552,69.4999244599753,0.991842765691677,100360,ALL_TO_2026_END,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075
False,12.821489777837481,10.787095965714212,100.6513274055537,1.165287922632289,7754,2025_Q1_ONLY,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075
False,-3.1135277309756737,15.49508305228805,81.87383292450697,0.9638085510418555,8704,2025_Q2_ONLY,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075
False,-1.632764118626806,10.18559727245002,88.34794538645556,0.9855873347295971,9905,2025_Q3_ONLY,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075
False,-2.0806920460109235,15.90193320142026,82.34824501185274,0.9877626237274026,14876,2025_Q4_ONLY,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075
False,0.8907122912556797,4.213360814916967,96.63982255368529,1.057912776229518,1509,2026_ONLY,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075
False,-0.8161959157732324,18.06769908537045,81.2635728208653,0.998438771314889,59490,PREQ4_ALL_BEFORE_2025_10_01,RETEST_SMX2V3_B04_M01_S02D_plus_upper020
False,-0.6324215696684399,18.06769908537045,81.41414337111978,0.9990257299467769,70281,TRAIN_2025_FULL,RETEST_SMX2V3_B04_M01_S02D_plus_upper020
False,0.7846078323511252,18.06769908537045,82.57514816483123,1.0011876323699023,71422,ALL_TO_2026_END,RETEST_SMX2V3_B04_M01_S02D_plus_upper020
False,18.512543732296006,6.99959889950168,110.21714102543876,1.325030899609527,5511,2025_Q1_ONLY,RETEST_SMX2V3_B04_M01_S02D_plus_upper020
False,-2.6200734028761774,12.859838915921351,84.85702490029124,0.9587850217722713,6504,2025_Q2_ONLY,RETEST_SMX2V3_B04_M01_S02D_plus_upper020
False,-1.3443838037089817,9.023290185641763,89.75363366246668,0.9835921107931934,7115,2025_Q3_ONLY,RETEST_SMX2V3_B04_M01_S02D_plus_upper020
False,0.19030755229443308,10.38759651055906,89.7829426610739,1.0014940295826267,10791,2025_Q4_ONLY,RETEST_SMX2V3_B04_M01_S02D_plus_upper020
False,1.4271550904509933,3.1427646809014664,98.23953828342515,1.1230439407949497,1141,2026_ONLY,RETEST_SMX2V3_B04_M01_S02D_plus_upper020
False,-3.508010513260895,18.287160614713272,78.84634438896688,0.9929012917258453,56339,PREQ4_ALL_BEFORE_2025_10_01,SMX2V4_B07_A05_context_plus_FB20_only
False,-1.616519117859383,18.287160614713272,80.39193571487783,0.997351847279878,66486,TRAIN_2025_FULL,SMX2V4_B07_A05_context_plus_FB20_only
False,-0.44364223021697846,18.287160614713272,81.35032672226423,0.9992859152610539,67560,ALL_TO_2026_END,SMX2V4_B07_A05_context_plus_FB20_only
False,13.515640129945062,7.434373867193067,105.07646304494749,1.2576335199247235,5174,2025_Q1_ONLY,SMX2V4_B07_A05_context_plus_FB20_only
False,-2.4484916730794892,12.670231591911262,85.19150630049708,0.9589804384970622,6083,2025_Q2_ONLY,SMX2V4_B07_A05_context_plus_FB20_only
False,-0.8922777762437439,8.454847855911652,90.72831509627812,0.9884563137574571,6724,2025_Q3_ONLY,SMX2V4_B07_A05_context_plus_FB20_only
False,1.963189705664714,9.99261102884661,91.77440476577267,1.016293805276045,10147,2025_Q4_ONLY,SMX2V4_B07_A05_context_plus_FB20_only
False,1.1935169778958477,2.9687366269389504,98.18934797528537,1.108309841586521,1074,2026_ONLY,SMX2V4_B07_A05_context_plus_FB20_only
