file,median_interval_minutes
0G_5m.csv,1.6666666666666667e-11
1000000BOB_5m.csv,1.6666666666666667e-11
1000000MOG_5m.csv,1.6666666666666667e-11
1000BONK_5m.csv,1.6666666666666667e-11
1000CAT_5m.csv,1.6666666666666667e-11
1000CHEEMS_5m.csv,1.6666666666666667e-11
1000FLOKI_5m.csv,1.6666666666666667e-11
1000LUNC_5m.csv,1.6666666666666667e-11
1000PEPE_5m.csv,1.6666666666666667e-11
1000RATS_5m.csv,1.6666666666666667e-11
1000SATS_5m.csv,1.6666666666666667e-11
1000SHIB_5m.csv,1.6666666666666667e-11
1000WHY_5m.csv,1.6666666666666667e-11
1000X_5m.csv,1.6666666666666667e-11
1000XEC_5m.csv,1.6666666666666667e-11
1INCH_5m.csv,1.6666666666666667e-11
1MBABYDOGE_5m.csv,1.6666666666666667e-11
2Z_5m.csv,1.6666666666666667e-11
42_5m.csv,1.6666666666666667e-11
4_5m.csv,1.6666666666666667e-11
A2Z_5m.csv,1.6666666666666667e-11
A_5m.csv,1.6666666666666667e-11
AAVE_5m.csv,1.6666666666666667e-11
ACE_5m.csv,1.6666666666666667e-11
ACH_5m.csv,1.6666666666666667e-11
ACT_5m.csv,1.6666666666666667e-11
ACX_5m.csv,1.6666666666666667e-11
ADA_5m.csv,1.6666666666666667e-11
AERGO_5m.csv,1.6666666666666667e-11
AERO_5m.csv,1.6666666666666667e-11
AEVO_5m.csv,1.6666666666666667e-11
AGIX_5m.csv,1.6666666666666667e-11
AGLD_5m.csv,1.6666666666666667e-11
AGT_5m.csv,1.6666666666666667e-11
AI16Z_5m.csv,1.6666666666666667e-11
AI_5m.csv,1.6666666666666667e-11
AIA_5m.csv,1.6666666666666667e-11
AIN_5m.csv,1.6666666666666667e-11
AIO_5m.csv,1.6666666666666667e-11
AIOT_5m.csv,1.6666666666666667e-11
AIXBT_5m.csv,1.6666666666666667e-11
AKE_5m.csv,1.6666666666666667e-11
AKT_5m.csv,1.6666666666666667e-11
ALCH_5m.csv,1.6666666666666667e-11
ALGO_5m.csv,1.6666666666666667e-11
ALICE_5m.csv,1.6666666666666667e-11
ALL_5m.csv,1.6666666666666667e-11
ALLO_5m.csv,1.6666666666666667e-11
ALPACA_5m.csv,1.6666666666666667e-11
ALPHA_5m.csv,1.6666666666666667e-11
ALPINE_5m.csv,1.6666666666666667e-11
ALT_5m.csv,1.6666666666666667e-11
AMB_5m.csv,1.6666666666666667e-11
ANIME_5m.csv,1.6666666666666667e-11
ANKR_5m.csv,1.6666666666666667e-11
APE_5m.csv,1.6666666666666667e-11
API3_5m.csv,1.6666666666666667e-11
APR_5m.csv,1.6666666666666667e-11
APT_5m.csv,1.6666666666666667e-11
AR_5m.csv,1.6666666666666667e-11
ARB_5m.csv,1.6666666666666667e-11
ARC_5m.csv,1.6666666666666667e-11
ARIA_5m.csv,1.6666666666666667e-11
ARK_5m.csv,1.6666666666666667e-11
ARKM_5m.csv,1.6666666666666667e-11
ARPA_5m.csv,1.6666666666666667e-11
ASR_5m.csv,1.6666666666666667e-11
ASTER_5m.csv,1.6666666666666667e-11
ASTR_5m.csv,1.6666666666666667e-11
AT_5m.csv,1.6666666666666667e-11
ATA_5m.csv,1.6666666666666667e-11
ATH_5m.csv,1.6666666666666667e-11
ATOM_5m.csv,1.6666666666666667e-11
AUCTION_5m.csv,1.6666666666666667e-11
AVA_5m.csv,1.6666666666666667e-11
AVAAI_5m.csv,1.6666666666666667e-11
AVAX_5m.csv,1.6666666666666667e-11
AVNT_5m.csv,1.6666666666666667e-11
AWE_5m.csv,1.6666666666666667e-11
AXL_5m.csv,1.6666666666666667e-11
AXS_5m.csv,1.6666666666666667e-11
B2_5m.csv,1.6666666666666667e-11
B3_5m.csv,1.6666666666666667e-11
B_5m.csv,1.6666666666666667e-11
BABY_5m.csv,1.6666666666666667e-11
BADGER_5m.csv,1.6666666666666667e-11
BAKE_5m.csv,1.6666666666666667e-11
BAL_5m.csv,1.6666666666666667e-11
BAN_5m.csv,1.6666666666666667e-11
BANANA_5m.csv,1.6666666666666667e-11
BANANAS31_5m.csv,1.6666666666666667e-11
BAND_5m.csv,1.6666666666666667e-11
BANK_5m.csv,1.6666666666666667e-11
BARD_5m.csv,1.6666666666666667e-11
BAS_5m.csv,1.6666666666666667e-11
BAT_5m.csv,1.6666666666666667e-11
BB_5m.csv,1.6666666666666667e-11
BCH_5m.csv,1.6666666666666667e-11
BDXN_5m.csv,1.6666666666666667e-11
BEAMX_5m.csv,1.6666666666666667e-11
BEAT_5m.csv,1.6666666666666667e-11
BEL_5m.csv,1.6666666666666667e-11
BERA_5m.csv,1.6666666666666667e-11
BICO_5m.csv,1.6666666666666667e-11
BID_5m.csv,1.6666666666666667e-11
BIGTIME_5m.csv,1.6666666666666667e-11
BIO_5m.csv,1.6666666666666667e-11
BLESS_5m.csv,1.6666666666666667e-11
BLUAI_5m.csv,1.6666666666666667e-11
BLUR_5m.csv,1.6666666666666667e-11
BLZ_5m.csv,1.6666666666666667e-11
BMT_5m.csv,1.6666666666666667e-11
BNB_5m.csv,1.6666666666666667e-11
BNT_5m.csv,1.6666666666666667e-11
BNX_5m.csv,1.6666666666666667e-11
BOB_5m.csv,1.6666666666666667e-11
BOME_5m.csv,1.6666666666666667e-11
BOND_5m.csv,1.6666666666666667e-11
BR_5m.csv,1.6666666666666667e-11
BRETT_5m.csv,1.6666666666666667e-11
BROCCOLI714_5m.csv,1.6666666666666667e-11
BROCCOLIF3B_5m.csv,1.6666666666666667e-11
BSV_5m.csv,1.6666666666666667e-11
BSW_5m.csv,1.6666666666666667e-11
BTC_5m.csv,1.6666666666666667e-11
BTCDOM_5m.csv,1.6666666666666667e-11
BTR_5m.csv,1.6666666666666667e-11
BULLA_5m.csv,1.6666666666666667e-11
C98_5m.csv,1.6666666666666667e-11
C_5m.csv,1.6666666666666667e-11
CAKE_5m.csv,1.6666666666666667e-11
CARV_5m.csv,1.6666666666666667e-11
CATI_5m.csv,1.6666666666666667e-11
CC_5m.csv,1.6666666666666667e-11
CELO_5m.csv,1.6666666666666667e-11
CELR_5m.csv,1.6666666666666667e-11
CETUS_5m.csv,1.6666666666666667e-11
CFX_5m.csv,1.6666666666666667e-11
CGPT_5m.csv,1.6666666666666667e-11
CHESS_5m.csv,1.6666666666666667e-11
CHILLGUY_5m.csv,1.6666666666666667e-11
CHR_5m.csv,1.6666666666666667e-11
CHZ_5m.csv,1.6666666666666667e-11
CKB_5m.csv,1.6666666666666667e-11
CLANKER_5m.csv,1.6666666666666667e-11
CLO_5m.csv,1.6666666666666667e-11
COAI_5m.csv,1.6666666666666667e-11
COMBO_5m.csv,1.6666666666666667e-11
COMMON_5m.csv,1.6666666666666667e-11
COMP_5m.csv,1.6666666666666667e-11
COOKIE_5m.csv,1.6666666666666667e-11
COS_5m.csv,1.6666666666666667e-11
COTI_5m.csv,1.6666666666666667e-11
COW_5m.csv,1.6666666666666667e-11
CROSS_5m.csv,1.6666666666666667e-11
