batch=8V4_LONG400_REVIEWED
timeframe=5m

8V4_V28_V061_spring_base | verdict=baseline_fail | final_return_pct=18.9053 | max_return_pct=19.2871 | max_drawdown_pct=4.7579 | cd_value=113.2479 | trades=2826
8V4_V27_V017_strict_refire40 | verdict=baseline_fail | final_return_pct=15.3189 | max_return_pct=15.4984 | max_drawdown_pct=1.8121 | cd_value=113.2293 | trades=671
8V4_V28_V022_lowanchor_rare22_c1 | verdict=mdd_fail | final_return_pct=19.7570 | max_return_pct=20.0397 | max_drawdown_pct=5.4963 | cd_value=113.1747 | trades=3043
8V4_V27_V007_core_refire40 | verdict=baseline_fail | final_return_pct=15.1494 | max_return_pct=15.3365 | max_drawdown_pct=1.7758 | cd_value=113.1045 | trades=671
8V4_V51_V007_core_refire40 | verdict=baseline_fail | final_return_pct=14.9380 | max_return_pct=15.0874 | max_drawdown_pct=1.7052 | cd_value=112.9780 | trades=671
8V4_V28_V021_lowanchor_base | verdict=mdd_fail | final_return_pct=19.4067 | max_return_pct=19.6972 | max_drawdown_pct=5.5223 | cd_value=112.8127 | trades=3045
8V4_V28_V017_strict_refire40 | verdict=mdd_fail | final_return_pct=18.9268 | max_return_pct=19.2659 | max_drawdown_pct=5.3028 | cd_value=112.6204 | trades=2725
8V4_V28_V029_lowanchor_microguard | verdict=mdd_fail | final_return_pct=19.1189 | max_return_pct=19.4087 | max_drawdown_pct=5.5063 | cd_value=112.5598 | trades=3032
8V4_V51_V067_spring_refire40 | verdict=baseline_fail | final_return_pct=14.3999 | max_return_pct=14.5660 | max_drawdown_pct=1.7243 | cd_value=112.4273 | trades=671
8V4_V51_V037_shocklow_refire40 | verdict=baseline_fail | final_return_pct=14.3750 | max_return_pct=14.5348 | max_drawdown_pct=1.7178 | cd_value=112.4103 | trades=671
8V4_V28_V012_strict_rare22_c1 | verdict=mdd_fail | final_return_pct=18.8431 | max_return_pct=19.1401 | max_drawdown_pct=5.4414 | cd_value=112.3763 | trades=3044
8V4_V51_V062_spring_rare22_c1 | verdict=baseline_fail | final_return_pct=14.3404 | max_return_pct=14.5072 | max_drawdown_pct=1.7507 | cd_value=112.3387 | trades=675
8V4_V28_V019_strict_microguard | verdict=mdd_fail | final_return_pct=18.4494 | max_return_pct=18.7538 | max_drawdown_pct=5.2119 | cd_value=112.2759 | trades=3035
8V4_V09_V067_spring_refire40 | verdict=baseline_fail | final_return_pct=14.8056 | max_return_pct=15.0034 | max_drawdown_pct=2.2331 | cd_value=112.2419 | trades=724
8V4_V28_V007_core_refire40 | verdict=mdd_fail | final_return_pct=18.2720 | max_return_pct=18.5970 | max_drawdown_pct=5.2646 | cd_value=112.0454 | trades=2726
8V4_V09_V062_spring_rare22_c1 | verdict=baseline_fail | final_return_pct=14.5933 | max_return_pct=14.7915 | max_drawdown_pct=2.2590 | cd_value=112.0047 | trades=725
8V4_V51_V061_spring_base | verdict=baseline_fail | final_return_pct=14.0259 | max_return_pct=14.1928 | max_drawdown_pct=1.7771 | cd_value=111.9995 | trades=675
8V4_V28_V069_spring_microguard | verdict=baseline_fail | final_return_pct=17.6011 | max_return_pct=17.9786 | max_drawdown_pct=4.7943 | cd_value=111.9629 | trades=2758
8V4_V09_V017_strict_refire40 | verdict=baseline_fail | final_return_pct=14.6665 | max_return_pct=14.8666 | max_drawdown_pct=2.4157 | cd_value=111.8965 | trades=724
8V4_V09_V007_core_refire40 | verdict=baseline_fail | final_return_pct=14.5450 | max_return_pct=14.7391 | max_drawdown_pct=2.3309 | cd_value=111.8751 | trades=724
8V4_V09_V061_spring_base | verdict=baseline_fail | final_return_pct=14.4813 | max_return_pct=14.6800 | max_drawdown_pct=2.2808 | cd_value=111.8702 | trades=725
8V4_V28_V062_spring_rare22_c1 | verdict=mdd_fail | final_return_pct=17.7045 | max_return_pct=18.0757 | max_drawdown_pct=5.0414 | cd_value=111.7706 | trades=2765
8V4_V27_V012_strict_rare22_c1 | verdict=mdd_fail | final_return_pct=18.6234 | max_return_pct=18.9877 | max_drawdown_pct=5.8383 | cd_value=111.6978 | trades=4077
8V4_V27_V022_lowanchor_rare22_c1 | verdict=mdd_fail | final_return_pct=18.5420 | max_return_pct=18.9555 | max_drawdown_pct=5.8805 | cd_value=111.5711 | trades=3040
8V4_V27_V021_lowanchor_base | verdict=mdd_fail | final_return_pct=18.2756 | max_return_pct=18.6949 | max_drawdown_pct=5.8499 | cd_value=111.3566 | trades=3041
8V4_V27_V011_strict_base | verdict=mdd_fail | final_return_pct=18.1731 | max_return_pct=18.5486 | max_drawdown_pct=5.9276 | cd_value=111.1683 | trades=4078
8V4_V28_V067_spring_refire40 | verdict=mdd_fail | final_return_pct=16.8574 | max_return_pct=17.2193 | max_drawdown_pct=5.5110 | cd_value=110.4175 | trades=2726
8V4_V51_V019_strict_microguard | verdict=baseline_fail | final_return_pct=11.3291 | max_return_pct=11.4364 | max_drawdown_pct=1.8126 | cd_value=109.3112 | trades=563
8V4_V51_V029_lowanchor_microguard | verdict=baseline_fail | final_return_pct=11.5218 | max_return_pct=11.6320 | max_drawdown_pct=2.1244 | cd_value=109.1525 | trades=563
8V4_V51_V009_core_microguard | verdict=baseline_fail | final_return_pct=10.9767 | max_return_pct=11.0809 | max_drawdown_pct=1.7537 | cd_value=109.0306 | trades=563
8V4_V51_V087_hammer_outside_refire40 | verdict=baseline_fail | final_return_pct=11.3669 | max_return_pct=11.4943 | max_drawdown_pct=2.1620 | cd_value=108.9591 | trades=552
8V4_V09_V011_strict_base | verdict=mdd_fail | final_return_pct=16.8961 | max_return_pct=17.3882 | max_drawdown_pct=6.8223 | cd_value=108.9211 | trades=3346
8V4_V09_V012_strict_rare22_c1 | verdict=mdd_fail | final_return_pct=16.9562 | max_return_pct=17.4474 | max_drawdown_pct=6.9515 | cd_value=108.8259 | trades=3344
8V4_V51_V082_hammer_outside_rare22_c1 | verdict=baseline_fail | final_return_pct=11.2084 | max_return_pct=11.3363 | max_drawdown_pct=2.1554 | cd_value=108.8113 | trades=563
8V4_V51_V081_hammer_outside_base | verdict=baseline_fail | final_return_pct=11.0601 | max_return_pct=11.1886 | max_drawdown_pct=2.1722 | cd_value=108.6476 | trades=563
8V4_V51_V089_hammer_outside_microguard | verdict=baseline_fail | final_return_pct=11.0601 | max_return_pct=11.1886 | max_drawdown_pct=2.1722 | cd_value=108.6476 | trades=563
8V4_V51_V039_shocklow_microguard | verdict=baseline_fail | final_return_pct=10.5562 | max_return_pct=10.6707 | max_drawdown_pct=1.7790 | cd_value=108.5894 | trades=563
8V4_V51_V069_spring_microguard | verdict=baseline_fail | final_return_pct=10.5468 | max_return_pct=10.6675 | max_drawdown_pct=1.8151 | cd_value=108.5403 | trades=555
8V4_V51_V092_quality_hold_rare22_c1 | verdict=baseline_fail | final_return_pct=11.5037 | max_return_pct=12.0236 | max_drawdown_pct=2.9288 | cd_value=108.2380 | trades=969
8V4_V51_V091_quality_hold_base | verdict=baseline_fail | final_return_pct=11.3102 | max_return_pct=11.8696 | max_drawdown_pct=2.9627 | cd_value=108.0125 | trades=969
8V4_V28_V082_hammer_outside_rare22_c1 | verdict=baseline_fail | final_return_pct=11.2477 | max_return_pct=11.4778 | max_drawdown_pct=3.4635 | cd_value=107.3946 | trades=1433
8V4_V28_V081_hammer_outside_base | verdict=baseline_fail | final_return_pct=10.9330 | max_return_pct=11.1564 | max_drawdown_pct=3.4983 | cd_value=107.0522 | trades=1439
8V4_V28_V089_hammer_outside_microguard | verdict=baseline_fail | final_return_pct=10.8871 | max_return_pct=11.1105 | max_drawdown_pct=3.4983 | cd_value=107.0080 | trades=1437
8V4_V28_V087_hammer_outside_refire40 | verdict=baseline_fail | final_return_pct=10.8723 | max_return_pct=11.0062 | max_drawdown_pct=3.7454 | cd_value=106.7198 | trades=1343
8V4_V27_V097_quality_hold_refire40 | verdict=baseline_fail | final_return_pct=7.7901 | max_return_pct=8.1406 | max_drawdown_pct=1.8815 | cd_value=105.7620 | trades=620
8V4_V09_V097_quality_hold_refire40 | verdict=baseline_fail | final_return_pct=7.6529 | max_return_pct=7.9964 | max_drawdown_pct=1.8574 | cd_value=105.6534 | trades=620
8V4_V51_V097_quality_hold_refire40 | verdict=baseline_fail | final_return_pct=7.3033 | max_return_pct=7.8315 | max_drawdown_pct=1.8595 | cd_value=105.3080 | trades=620
8V4_V27_V098_quality_hold_softscore | verdict=baseline_fail | final_return_pct=7.3622 | max_return_pct=11.1063 | max_drawdown_pct=3.4624 | cd_value=103.6449 | trades=2360
8V4_V51_V099_quality_hold_microguard | verdict=baseline_fail | final_return_pct=5.2038 | max_return_pct=6.0695 | max_drawdown_pct=1.8449 | cd_value=103.2629 | trades=522
8V4_V27_V018_strict_softscore | verdict=baseline_fail | final_return_pct=6.8196 | max_return_pct=10.6341 | max_drawdown_pct=3.5503 | cd_value=103.0271 | trades=2366
8V4_V09_V091_quality_hold_base | verdict=mdd_fail | final_return_pct=8.8990 | max_return_pct=11.9271 | max_drawdown_pct=5.4761 | cd_value=102.9355 | trades=2936
8V4_V27_V008_core_softscore | verdict=baseline_fail | final_return_pct=6.4432 | max_return_pct=9.9977 | max_drawdown_pct=3.3317 | cd_value=102.8969 | trades=2366
8V4_V27_V092_quality_hold_rare22_c1 | verdict=mdd_fail | final_return_pct=9.2724 | max_return_pct=12.4828 | max_drawdown_pct=5.8807 | cd_value=102.8464 | trades=3989
