axis,strategy,reproduction_trade_count_ok,actual_trades,expected_trades,delta_trades,symbols_total,symbols_with_trades,profitable_symbols,losing_symbols,profitable_symbol_pct,top1_symbol,top1_asset_pnl,top1_positive_pool_share_pct,top10_positive_pool_share_pct,top10pct_n,top10pct_positive_pool_share_pct,positive_contribution_hhi,edge_breadth_verdict,metric_trades,metric_final_return_pct,metric_max_return_pct,metric_max_drawdown_pct,metric_win_rate_pct,metric_generated_signals,metric_executed_entries,metric_blocked_entries
long_max2,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V51_C38_FR085_WEAK_M025_RR800,False,54654,55244,-590,597,596,535,61,89.61474036850922,COAI,21.499427691591507,1.4830429094805826,8.686339192679611,60,29.443773280376494,31.70709904027468,BROAD_EDGE,54654,1410.1955418159432,1410.1955418159432,13.117487237007841,34.55007867676657,,,
short_max2,SMX2V3_B04_M01_S02D_plus_upper020,False,15784,113888,-98104,597,585,370,215,61.97654941373534,JELLYJELLY,56.042943089073205,6.10115534997989,24.463609192262403,60,53.857728025182794,113.087263137322,BROAD_EDGE,15784,791.8006207378583,791.8006207378583,6.563207629426405,5.955397871262037,,,
short_main2,V5M01_D02_D03_rr615_stop265_t390,False,137079,148281,-11202,597,595,489,106,81.90954773869346,COAI,2611.9859093772975,2.15806479549703,13.902914964419677,60,44.87548039068573,53.070527991018025,BROAD_EDGE,137079,116721.93057408453,116721.93057408453,4.9917218884174,7.107580300410713,243691.0,137079.0,0.0
