symbol,file,rows,valid_returns,market_group,is_btc_candidate,elapsed_seconds
ANIME,ANIME_5m.csv,99982,99980,0,False,0.21807312965393066
ANKR,ANKR_5m.csv,521815,521814,5,False,1.636082649230957
APE,APE_5m.csv,402178,402177,8,False,1.2538576126098633
API3,API3_5m.csv,408941,408940,9,False,1.2687299251556396
APR,APR_5m.csv,21425,21423,9,False,0.06801414489746094
APT,APT_5m.csv,340122,340121,5,False,0.9268653392791748
AR,AR_5m.csv,451281,451280,8,False,1.310290813446045
ARB,ARB_5m.csv,293607,293605,14,False,0.7750108242034912
ARC,ARC_5m.csv,101758,101756,10,False,0.3241541385650635
ARIA,ARIA_5m.csv,35819,35817,9,False,0.11522984504699707
ARK,ARK_5m.csv,241755,241753,11,False,0.8135156631469727
ARKM,ARKM_5m.csv,257165,257163,3,False,1.1318817138671875
ARPA,ARPA_5m.csv,445232,445231,3,False,1.3061270713806152
ASR,ASR_5m.csv,70403,70401,3,False,0.17797541618347168
ASTER,ASTER_5m.csv,31200,31198,0,False,0.12309455871582031
ASTR,ASTR_5m.csv,306129,306128,7,False,0.708380937576294
AT,AT_5m.csv,15649,15648,0,False,0.06088852882385254
ATA,ATA_5m.csv,459347,459346,1,False,1.2710554599761963
ATH,ATH_5m.csv,80122,80120,0,False,0.2454357147216797
ATOM,ATOM_5m.csv,623733,623732,0,False,1.7718238830566406
AUCTION,AUCTION_5m.csv,216702,216700,9,False,0.6404964923858643
AVA,AVA_5m.csv,111842,111840,4,False,0.26091670989990234
AVAAI,AVAAI_5m.csv,101755,101753,6,False,0.24158382415771484
AVAX,AVAX_5m.csv,557824,557823,12,False,1.25608491897583
AVNT,AVNT_5m.csv,34044,34042,13,False,0.14012980461120605
AWE,AWE_5m.csv,66100,66098,4,False,0.1716911792755127
AXL,AXL_5m.csv,194489,194487,3,False,0.5189592838287354
AXS,AXS_5m.csv,541115,541114,9,False,1.5510914325714111
B2,B2_5m.csv,70355,70353,3,False,0.17689895629882812
B3,B3_5m.csv,93999,93997,4,False,0.2113189697265625
B,B_5m.csv,65710,65708,13,False,0.15171003341674805
BABY,BABY_5m.csv,79285,79283,12,False,0.17893409729003906
BADGER,BADGER_5m.csv,227080,227078,11,False,0.517909049987793
BAKE,BAKE_5m.csv,489260,489259,3,False,1.1538379192352295
BAL,BAL_5m.csv,564165,564164,3,False,1.5360898971557617
BAN,BAN_5m.csv,119063,119061,5,False,0.30528926849365234
BANANA,BANANA_5m.csv,146549,146547,6,False,0.33315181732177734
BANANAS31,BANANAS31_5m.csv,83369,83367,12,False,0.19847321510314941
BAND,BAND_5m.csv,573961,573960,14,False,1.4775569438934326
BANK,BANK_5m.csv,75479,75477,6,False,0.2001962661743164
BARD,BARD_5m.csv,31500,31498,8,False,0.08611583709716797
BAS,BAS_5m.csv,38095,38093,7,False,0.10034322738647461
BAT,BAT_5m.csv,622053,622052,1,False,1.5528626441955566
BB,BB_5m.csv,173497,173495,7,False,0.4024665355682373
BCH,BCH_5m.csv,638181,638180,0,False,1.4358108043670654
BDXN,BDXN_5m.csv,62325,62323,10,False,0.16388201713562012
BEAMX,BEAMX_5m.csv,224764,224762,5,False,0.5036494731903076
BEAT,BEAT_5m.csv,15649,15648,10,False,0.06478190422058105
BEL,BEL_5m.csv,541691,541690,10,False,1.2000916004180908
BERA,BERA_5m.csv,95974,95972,12,False,0.2233893871307373
BICO,BICO_5m.csv,239186,239184,8,False,0.5160443782806396
BID,BID_5m.csv,83942,83940,7,False,0.19089078903198242
BIGTIME,BIGTIME_5m.csv,235129,235127,14,False,0.5207431316375732
BIO,BIO_5m.csv,105800,105798,11,False,0.26157522201538086
BLESS,BLESS_5m.csv,30078,30076,7,False,0.09096097946166992
BLUAI,BLUAI_5m.csv,21989,21987,4,False,0.07287073135375977
BLUR,BLUR_5m.csv,283270,283268,6,False,0.6440887451171875
BLZ,BLZ_5m.csv,559553,559552,2,False,1.3615765571594238
BMT,BMT_5m.csv,84758,84756,8,False,0.21845459938049316
BNB,BNB_5m.csv,622920,622919,4,False,1.407402753829956
BNT,BNT_5m.csv,253307,253305,12,False,0.5662453174591064
BNX,BNX_5m.csv,303676,303675,6,False,0.6354987621307373
BOB,BOB_5m.csv,14819,14818,7,False,0.07025265693664551
BOME,BOME_5m.csv,190203,190201,10,False,0.45238685607910156
BOND,BOND_5m.csv,234264,234262,1,False,0.5733518600463867
BR,BR_5m.csv,83615,83613,4,False,0.2052609920501709
BRETT,BRETT_5m.csv,145003,145001,9,False,0.32922863960266113
BROCCOLI714,BROCCOLI714_5m.csv,83660,83658,10,False,0.19807219505310059
BROCCOLIF3B,BROCCOLIF3B_5m.csv,83657,83655,0,False,0.2580578327178955
BSV,BSV_5m.csv,232846,232844,3,False,0.5484061241149902
BSW,BSW_5m.csv,140448,140446,13,False,0.33638882637023926
BTC,BTC_5m.csv,667450,667449,8,True,1.5469257831573486
BTCDOM,BTCDOM_5m.csv,479797,479796,7,False,1.0830278396606445
BTR,BTR_5m.csv,37843,37841,4,False,0.11449289321899414
BULLA,BULLA_5m.csv,53414,53412,1,False,0.13029766082763672
C98,C98_5m.csv,461364,461363,11,False,0.9921231269836426
C,C_5m.csv,50246,50244,8,False,0.12797784805297852
CAKE,CAKE_5m.csv,229097,229095,12,False,0.521209716796875
CARV,CARV_5m.csv,43528,43526,3,False,0.12969040870666504
CATI,CATI_5m.csv,136060,136058,5,False,0.3425776958465576
CC,CC_5m.csv,15649,15648,14,False,0.0808255672454834
CELO,CELO_5m.csv,451569,451568,2,False,1.1446778774261475
CELR,CELR_5m.csv,503952,503951,11,False,1.6905908584594727
CETUS,CETUS_5m.csv,122490,122488,4,False,0.365419864654541
CFX,CFX_5m.csv,304256,304255,7,False,0.8239181041717529
CGPT,CGPT_5m.csv,109749,109747,11,False,0.2740020751953125
CHESS,CHESS_5m.csv,142446,142444,9,False,0.33737969398498535
CHILLGUY,CHILLGUY_5m.csv,116430,116428,12,False,0.2801783084869385
CHR,CHR_5m.csv,508852,508851,6,False,1.2533674240112305
CHZ,CHZ_5m.csv,523256,523255,2,False,1.276609182357788
CKB,CKB_5m.csv,301981,301980,1,False,0.7866199016571045
CLANKER,CLANKER_5m.csv,15649,15648,13,False,0.07022213935852051
CLO,CLO_5m.csv,24005,24003,13,False,0.07410526275634766
COAI,COAI_5m.csv,29526,29524,0,False,0.08848285675048828
COMBO,COMBO_5m.csv,273184,273182,6,False,0.48136162757873535
COMMON,COMMON_5m.csv,15649,15648,4,False,0.05651664733886719
COMP,COMP_5m.csv,582292,582291,9,False,1.0758740901947021
COOKIE,COOKIE_5m.csv,104657,104655,0,False,0.1829204559326172
COS,COS_5m.csv,133160,133158,13,False,0.3232443332672119
COTI,COTI_5m.csv,509428,509427,13,False,1.3145723342895508
COW,COW_5m.csv,122497,122495,7,False,0.2635366916656494
CROSS,CROSS_5m.csv,51668,51666,12,False,0.13689184188842773
CRV,CRV_5m.csv,564165,564164,3,False,1.300424337387085
CTK,CTK_5m.csv,72122,72120,0,False,0.1586301326751709
CTSI,CTSI_5m.csv,443216,443215,5,False,0.9778475761413574
CUDIS,CUDIS_5m.csv,39850,39848,7,False,0.1111154556274414
CVC,CVC_5m.csv,67533,67531,6,False,0.1647956371307373
CVX,CVX_5m.csv,47912,47910,13,False,0.09704995155334473
CYBER,CYBER_5m.csv,250137,250135,6,False,0.5487589836120605
D,D_5m.csv,104099,104097,2,False,0.27524542808532715
DAM,DAM_5m.csv,40411,40409,5,False,0.11164522171020508
DAR,DAR_5m.csv,389930,389929,0,False,0.8079731464385986
DASH,DASH_5m.csv,624649,624648,7,False,1.3486762046813965
DEEP,DEEP_5m.csv,74447,74445,0,False,0.21144485473632812
DEFI,DEFI_5m.csv,565318,565317,10,False,1.701521396636963
DEGEN,DEGEN_5m.csv,119927,119925,6,False,0.3882594108581543
DEGO,DEGO_5m.csv,111839,111837,8,False,0.3334629535675049
DENT,DENT_5m.csv,505428,505427,1,False,1.784644603729248
DEXE,DEXE_5m.csv,108690,108688,14,False,0.34559106826782227
DF,DF_5m.csv,106959,106957,14,False,0.2934856414794922
DGB,DGB_5m.csv,497367,497366,3,False,1.4989655017852783
DIA,DIA_5m.csv,132590,132588,10,False,0.354473352432251
DMC,DMC_5m.csv,56246,56244,1,False,0.15315818786621094
DODOX,DODOX_5m.csv,253883,253881,10,False,0.6601767539978027
DOGE,DOGE_5m.csv,579411,579410,7,False,1.7115507125854492
DOGS,DOGS_5m.csv,143251,143249,7,False,0.4952871799468994
DOLO,DOLO_5m.csv,71920,71918,0,False,0.26273345947265625
DOOD,DOOD_5m.csv,69490,69488,13,False,0.3475210666656494
DOT,DOT_5m.csv,567046,567045,14,False,2.3344693183898926
DRIFT,DRIFT_5m.csv,121893,121891,6,False,0.4738292694091797
DUSK,DUSK_5m.csv,422190,422189,11,False,1.8034625053405762
DYDX,DYDX_5m.csv,456467,456466,0,False,1.5399136543273926
DYM,DYM_5m.csv,201217,201215,9,False,0.5660815238952637
EDEN,EDEN_5m.csv,28044,28042,8,False,0.10027408599853516
EDU,EDU_5m.csv,282693,282691,7,False,0.7850537300109863
EGLD,EGLD_5m.csv,560419,560418,0,False,1.7147815227508545
EIGEN,EIGEN_5m.csv,132955,132953,7,False,0.35526609420776367
ENA,ENA_5m.csv,185307,185305,7,False,0.49304652214050293
ENJ,ENJ_5m.csv,556095,556094,12,False,1.5886218547821045
ENS,ENS_5m.csv,433135,433134,8,False,1.3397047519683838
ENSO,ENSO_5m.csv,24035,24033,2,False,0.11246180534362793
EPIC,EPIC_5m.csv,85976,85974,0,False,0.2342815399169922
EPT,EPT_5m.csv,74681,74679,10,False,0.20107197761535645
ERA,ERA_5m.csv,49592,49590,9,False,0.13947725296020508
ESPORTS,ESPORTS_5m.csv,46201,46199,11,False,0.13244915008544922
ETC,ETC_5m.csv,630125,630124,14,False,1.9115853309631348
ETH,ETH_5m.csv,644531,644530,11,False,2.541196823120117
ETHFI,ETHFI_5m.csv,189591,189589,3,False,0.5837602615356445
ETHW,ETHW_5m.csv,221606,221604,3,False,0.744941234588623
EUL,EUL_5m.csv,24257,24255,8,False,0.10474443435668945
EVAA,EVAA_5m.csv,27186,27184,9,False,0.1116793155670166
F,F_5m.csv,57977,57975,2,False,0.23323678970336914
FARTCOIN,FARTCOIN_5m.csv,109755,109753,8,False,0.37466859817504883
FET,FET_5m.csv,314195,314194,6,False,0.98797607421875
FF,FF_5m.csv,28303,28301,1,False,0.1350383758544922
FHE,FHE_5m.csv,77250,77248,12,False,0.26064491271972656
FIDA,FIDA_5m.csv,136336,136334,7,False,0.40909242630004883
FIL,FIL_5m.csv,551209,551208,3,False,1.6683971881866455
FIO,FIO_5m.csv,136060,136058,1,False,0.4043600559234619
FIS,FIS_5m.csv,73595,73593,9,False,0.21718645095825195
FLM,FLM_5m.csv,556095,556094,4,False,1.6334397792816162
FLOCK,FLOCK_5m.csv,34143,34141,1,False,0.12643098831176758
FLOW,FLOW_5m.csv,412397,412396,5,False,1.2350800037384033
FLUID,FLUID_5m.csv,29781,29779,12,False,0.13296031951904297
FLUX,FLUX_5m.csv,141012,141010,14,False,0.4711472988128662
FOLKS,FOLKS_5m.csv,15649,15648,8,False,0.0666656494140625
FORM,FORM_5m.csv,84248,84246,6,False,0.2704918384552002
FORTH,FORTH_5m.csv,78480,78478,0,False,0.24955987930297852
FTM,FTM_5m.csv,557536,557535,4,False,1.7303125858306885
FTT,FTT_5m.csv,393963,393962,0,False,1.1392130851745605
FUN,FUN_5m.csv,80785,80783,12,False,0.31575989723205566
FXS,FXS_5m.csv,313325,313324,1,False,1.0176329612731934
G,G_5m.csv,146421,146419,13,False,0.37440967559814453
GALA,GALA_5m.csv,454162,454161,3,False,1.1260156631469727
GAS,GAS_5m.csv,231523,231521,11,False,0.5589084625244141
GHST,GHST_5m.csv,135177,135175,4,False,0.32567310333251953
GIGGLE,GIGGLE_5m.csv,25466,25464,0,False,0.09290862083435059
GLM,GLM_5m.csv,196860,196858,7,False,0.46046900749206543
GLMR,GLMR_5m.csv,239894,239892,8,False,0.5621063709259033
GMT,GMT_5m.csv,402886,402885,14,False,0.9362306594848633
GMX,GMX_5m.csv,305120,305119,5,False,0.7344226837158203
GOAT,GOAT_5m.csv,126242,126240,1,False,0.32208704948425293
GPS,GPS_5m.csv,92781,92779,4,False,0.22473454475402832
GRASS,GRASS_5m.csv,121896,121894,14,False,0.38817620277404785
GRIFFAIN,GRIFFAIN_5m.csv,106074,106072,12,False,0.349564790725708
GRT,GRT_5m.csv,532761,532760,1,False,1.2343883514404297
GTC,GTC_5m.csv,482678,482677,14,False,1.2704215049743652
GUN,GUN_5m.csv,80731,80729,9,False,0.22596287727355957
H,H_5m.csv,56000,55998,5,False,0.15703964233398438
HAEDAL,HAEDAL_5m.csv,71917,71915,2,False,0.25096750259399414
HANA,HANA_5m.csv,29190,29188,0,False,0.09698987007141113
HBAR,HBAR_5m.csv,507410,507409,5,False,1.239403486251831
HEI,HEI_5m.csv,94029,94027,2,False,0.24265384674072266
HEMI,HEMI_5m.csv,37338,37336,13,False,0.11316537857055664
HFT,HFT_5m.csv,289607,289605,1,False,0.6544837951660156
HIFI,HIFI_5m.csv,242619,242617,11,False,0.5820858478546143
HIGH,HIGH_5m.csv,308146,308145,7,False,0.8506481647491455
HIPPO,HIPPO_5m.csv,120491,120489,6,False,0.35625576972961426
HIVE,HIVE_5m.csv,108978,108976,14,False,0.33922266960144043
HMSTR,HMSTR_5m.csv,134319,134317,10,False,0.3660585880279541
HOLO,HOLO_5m.csv,33504,33502,12,False,0.12056112289428711
HOME,HOME_5m.csv,60296,60294,13,False,0.17128920555114746
