spec,factor,profile,horizon,scenario,date,equity
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_BASE,2020-07-03,99.97397325225067
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_BASE,2020-07-03,99.97397325225067
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_BASE,2020-07-03,99.97397325225067
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap50_BASE,2020-07-03,99.97397325225067
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap20_BASE,2020-07-03,99.97397325225067
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap50_BASE,2020-07-03,99.97397325225067
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_BASE,2020-07-04,99.75946121694227
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_BASE,2020-07-04,99.79560713217919
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_BASE,2020-07-04,99.75946121694227
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap50_BASE,2020-07-04,99.79560713217919
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap20_BASE,2020-07-04,99.75946121694227
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap50_BASE,2020-07-04,99.75946121694227
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_BASE,2020-07-05,99.56470148470281
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_BASE,2020-07-05,99.60308997720381
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_BASE,2020-07-05,99.56470148470281
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap50_BASE,2020-07-05,99.60308997720381
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap20_BASE,2020-07-05,99.57031803350979
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap50_BASE,2020-07-05,99.57031803350979
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_BASE,2020-07-06,99.28523610332107
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_BASE,2020-07-06,99.35375912190875
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_BASE,2020-07-06,99.28523610332107
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap50_BASE,2020-07-06,99.35375912190875
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap20_BASE,2020-07-06,99.29083688719399
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap50_BASE,2020-07-06,99.29083688719399
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_BASE,2020-07-07,99.05836493689615
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_BASE,2020-07-07,99.121976756325
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_BASE,2020-07-07,99.05836493689615
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap50_BASE,2020-07-07,99.121976756325
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap20_BASE,2020-07-07,99.0639529227295
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap50_BASE,2020-07-07,99.0639529227295
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_BASE,2020-07-08,98.64658715093512
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_BASE,2020-07-08,98.73485361016527
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_BASE,2020-07-08,98.64658715093512
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap50_BASE,2020-07-08,98.73485361016527
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap20_BASE,2020-07-08,98.65215190795335
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap50_BASE,2020-07-08,98.65215190795335
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_BASE,2020-07-09,98.55709983959527
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_BASE,2020-07-09,98.64831610125724
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_BASE,2020-07-09,98.55709983959527
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap50_BASE,2020-07-09,98.64831610125724
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap20_BASE,2020-07-09,98.56265954854076
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap50_BASE,2020-07-09,98.56265954854076
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_BASE,2020-07-10,98.52432257701192
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_BASE,2020-07-10,98.6183766378782
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_BASE,2020-07-10,98.52432257701192
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap50_BASE,2020-07-10,98.6183766378782
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap20_BASE,2020-07-10,98.5298804369577
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap50_BASE,2020-07-10,98.5298804369577
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_BASE,2020-07-11,98.42191581739692
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_BASE,2020-07-11,98.52328724188943
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_BASE,2020-07-11,98.42191581739692
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap50_BASE,2020-07-11,98.52328724188943
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap20_BASE,2020-07-11,98.42746790047048
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap50_BASE,2020-07-11,98.42746790047048
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_BASE,2020-07-12,98.56396881107301
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_BASE,2020-07-12,98.5964166971275
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_BASE,2020-07-12,98.56396881107301
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap50_BASE,2020-07-12,98.5964166971275
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap20_BASE,2020-07-12,98.52676081220598
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap50_BASE,2020-07-12,98.52676081220598
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_BASE,2020-07-13,98.29282779346994
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_BASE,2020-07-13,98.34598853949757
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_BASE,2020-07-13,98.29282779346994
