spec,factor,profile,horizon,scenario,top_k,max_concurrent_cap,period,raw_selected_before_cap,selected_after_cap
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_nocap_BASE,1,0,BASE,174961,174961
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_nocap_EX_2025Q4,1,0,EX_2025Q4,160280,160280
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_nocap_PRE_2025Q4,1,0,PRE_2025Q4,158264,158264
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_nocap_ONLY_2025Q4,1,0,ONLY_2025Q4,14681,14681
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_nocap_2026_ENTRY_ONLY,1,0,2026_ENTRY_ONLY,2016,2016
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_BASE,1,20,BASE,174961,126233
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_EX_2025Q4,1,20,EX_2025Q4,160280,119193
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_PRE_2025Q4,1,20,PRE_2025Q4,158264,118298
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_ONLY_2025Q4,1,20,ONLY_2025Q4,14681,7040
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_2026_ENTRY_ONLY,1,20,2026_ENTRY_ONLY,2016,895
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap50_BASE,1,50,BASE,174961,174331
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap50_EX_2025Q4,1,50,EX_2025Q4,160280,159940
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap50_PRE_2025Q4,1,50,PRE_2025Q4,158264,157978
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap50_ONLY_2025Q4,1,50,ONLY_2025Q4,14681,14396
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap50_2026_ENTRY_ONLY,1,50,2026_ENTRY_ONLY,2016,1962
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_nocap_BASE,3,0,BASE,245015,245015
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_nocap_EX_2025Q4,3,0,EX_2025Q4,220571,220571
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_nocap_PRE_2025Q4,3,0,PRE_2025Q4,217099,217099
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_nocap_ONLY_2025Q4,3,0,ONLY_2025Q4,24444,24444
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_nocap_2026_ENTRY_ONLY,3,0,2026_ENTRY_ONLY,3472,3472
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap20_BASE,3,20,BASE,245015,131322
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap20_EX_2025Q4,3,20,EX_2025Q4,220571,124217
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap20_PRE_2025Q4,3,20,PRE_2025Q4,217099,123319
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap20_ONLY_2025Q4,3,20,ONLY_2025Q4,24444,7111
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap20_2026_ENTRY_ONLY,3,20,2026_ENTRY_ONLY,3472,898
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap50_BASE,3,50,BASE,245015,217090
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap50_EX_2025Q4,3,50,EX_2025Q4,220571,200644
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap50_PRE_2025Q4,3,50,PRE_2025Q4,217099,198485
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap50_ONLY_2025Q4,3,50,ONLY_2025Q4,24444,16458
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K3_cap50_2026_ENTRY_ONLY,3,50,2026_ENTRY_ONLY,3472,2159
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_nocap_BASE,5,0,BASE,258558,258558
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_nocap_EX_2025Q4,5,0,EX_2025Q4,231815,231815
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_nocap_PRE_2025Q4,5,0,PRE_2025Q4,227983,227983
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_nocap_ONLY_2025Q4,5,0,ONLY_2025Q4,26743,26743
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_nocap_2026_ENTRY_ONLY,5,0,2026_ENTRY_ONLY,3832,3832
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_BASE,5,20,BASE,258558,131367
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_EX_2025Q4,5,20,EX_2025Q4,231815,124267
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_PRE_2025Q4,5,20,PRE_2025Q4,227983,123370
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_ONLY_2025Q4,5,20,ONLY_2025Q4,26743,7107
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap20_2026_ENTRY_ONLY,5,20,2026_ENTRY_ONLY,3832,897
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_BASE,5,50,BASE,258558,220487
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_EX_2025Q4,5,50,EX_2025Q4,231815,204036
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_PRE_2025Q4,5,50,PRE_2025Q4,227983,201878
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_ONLY_2025Q4,5,50,ONLY_2025Q4,26743,16463
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K5_cap50_2026_ENTRY_ONLY,5,50,2026_ENTRY_ONLY,3832,2158
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K10_nocap_BASE,10,0,BASE,266349,266349
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K10_nocap_EX_2025Q4,10,0,EX_2025Q4,238298,238298
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K10_nocap_PRE_2025Q4,10,0,PRE_2025Q4,234307,234307
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K10_nocap_ONLY_2025Q4,10,0,ONLY_2025Q4,28051,28051
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K10_nocap_2026_ENTRY_ONLY,10,0,2026_ENTRY_ONLY,3991,3991
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K10_cap20_BASE,10,20,BASE,266349,131278
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K10_cap20_EX_2025Q4,10,20,EX_2025Q4,238298,124181
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K10_cap20_PRE_2025Q4,10,20,PRE_2025Q4,234307,123284
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K10_cap20_ONLY_2025Q4,10,20,ONLY_2025Q4,28051,7103
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K10_cap20_2026_ENTRY_ONLY,10,20,2026_ENTRY_ONLY,3991,897
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K10_cap50_BASE,10,50,BASE,266349,221909
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K10_cap50_EX_2025Q4,10,50,EX_2025Q4,238298,205462
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K10_cap50_PRE_2025Q4,10,50,PRE_2025Q4,234307,203306
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K10_cap50_ONLY_2025Q4,10,50,ONLY_2025Q4,28051,16459
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K10_cap50_2026_ENTRY_ONLY,10,50,2026_ENTRY_ONLY,3991,2156
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K1_nocap_BASE,1,0,BASE,214735,214735
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K1_nocap_EX_2025Q4,1,0,EX_2025Q4,197314,197314
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K1_nocap_PRE_2025Q4,1,0,PRE_2025Q4,194998,194998
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K1_nocap_ONLY_2025Q4,1,0,ONLY_2025Q4,17421,17421
market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,market_mom,z3_abs050,72,K1_nocap_2026_ENTRY_ONLY,1,0,2026_ENTRY_ONLY,2316,2316
