candidate_key,slippage_per_side,2025_Q4_ONLY,EXCL_2025_Q4_ALL_BEFORE_2025_10_01,FULL_TRAIN_TO_2025_END
C00_short_main2_v1_same,0.0,377.1219578053858,12736.732583343564,50591.202383140204
C00_short_main2_v1_same,0.0005,301.7657048460431,3536.8975679257005,11318.27777107708
C03_stop240_score270_timeout315,0.0,390.894405739309,16979.64262769056,69498.03075622236
C03_stop240_score270_timeout315,0.0005,310.33515316809167,4617.4606705665265,15177.194065003236
