period_label,strategy,candidate_key,audit_mode,slippage_per_side,slippage_per_side_pct,total_round_trip_cost_pct,environment_lock_pass,trades,wins,losses,win_rate_pct,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,mtm_close_max_return_pct,mtm_close_max_drawdown_pct,mtm_close_cd_value,mtm_worstbar_max_return_pct,mtm_worstbar_max_drawdown_pct,mtm_worstbar_cd_value,generated_signals,executed_entries,blocked_entries,same_bar_trades,max_conc,max_conc_unique_symbols,active_leftover,pending_leftover,climax_score_min,atr_stop_mult,rr_mult,timeout_bars,dd_brake_trigger_pct,delta_vs_same_period_baseline_official_cd_value,delta_vs_same_period_baseline_max_drawdown_pct,delta_vs_same_period_baseline_profit_factor,delta_vs_same_period_baseline_mtm_worstbar_cd_value,delta_vs_same_period_baseline_mtm_worstbar_max_drawdown_pct,gate_realized_mdd10_pass,gate_mtm_close_mdd_under_10,gate_mtm_worstbar_mdd_under_10,gate_mtm_worstbar_mdd_under_15,gate_mtm_audit_pass,gate_improve_vs_same_period_baseline,gate_mtm_worstbar_improve_vs_same_period_baseline,full_cd_value,exq4_cd_value,q4_only_cd_value,exq4_to_full_cd_ratio,q4_to_full_cd_ratio,full_mtm_worstbar_cd_value,exq4_mtm_worstbar_cd_value,q4_only_mtm_worstbar_cd_value,exq4_to_full_mtm_worstbar_cd_ratio,q4_to_full_mtm_worstbar_cd_ratio,q4_dependency_flag,period_loaded_symbols,period_timeline_count,strategy_elapsed_seconds,strategy_elapsed_minutes,load_elapsed_seconds,load_elapsed_minutes,total_elapsed_seconds,total_elapsed_minutes
2025_Q4_ONLY,SMAUD_C03_stop240_score270_timeout315_slip000000,C03_stop240_score270_timeout315,realism_audit_no_position_limit,0.0,0.0,0.08,True,23527,1911,21616,8.122582564712882,311.4467680751428,4.995144920443351,390.894405739309,1.8777264082396752,312.05578465201177,6.103444293020754,386.90618937960664,311.5217223567629,6.1994316201185224,386.0097145773214,43579,23527,0,1475,200,200,0,0,2.7,2.4,6.2,315,0.08,13.77244793392316,-0.3018344427499047,0.05892197773129659,11.17683185665112,0.2797481653209033,True,True,True,True,True,True,True,69498.03075622236,16979.64262769056,390.894405739309,0.24431832733865372,0.005624539306882607,63347.67993125091,15476.651550710532,386.0097145773214,0.24431283935744477,0.006093509896435744,GENERAL_EDGE_CONFIRMED,597,26496,10.423165999993216,0.17371943333322026,505.5410499999998,8.425684166666663,3099.726656099985,51.66211093499975
2025_Q4_ONLY,SMAUD_C00_short_main2_v1_same_slip000000,C00_short_main2_v1_same,realism_audit_no_position_limit,0.0,0.0,0.08,True,23931,1993,21938,8.32810998286741,298.21534230853854,5.296979363193255,377.1219578053858,1.8188044305083786,298.84085042473157,5.925697392139028,375.2067485523281,298.4179650804809,5.919683454797619,374.8328827206703,43579,23931,0,1681,197,197,0,0,2.7,2.3,6.2,285,0.075,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,False,False,50591.202383140204,12736.732583343564,377.1219578053858,0.25175785479232154,0.007454299167458882,46118.507807405054,11604.791758866388,374.8328827206703,0.25162981871245743,0.008127602139384158,GENERAL_EDGE_CONFIRMED,597,26496,20.635991799994372,0.34393319666657285,505.5410499999998,8.425684166666663,3099.726656099985,51.66211093499975
EXCL_2025_Q4_ALL_BEFORE_2025_10_01,SMAUD_C03_stop240_score270_timeout315_slip000000,C03_stop240_score270_timeout315,realism_audit_no_position_limit,0.0,0.0,0.08,True,128404,9455,118949,7.36347777327809,17942.066439621896,5.888592725709996,16979.64262769056,1.7110313125769783,17974.183321308832,15.017466599306728,15359.89887793381,17944.94786543573,14.23277215250176,15476.651550710532,223592,128404,0,7403,364,364,0,0,2.7,2.4,6.2,315,0.08,4242.910044346994,-0.034556738840485046,0.06881512470225082,3871.8597918441446,-0.05118940121623439,True,False,False,True,False,True,True,69498.03075622236,16979.64262769056,390.894405739309,0.24431832733865372,0.005624539306882607,63347.67993125091,15476.651550710532,386.0097145773214,0.24431283935744477,0.006093509896435744,GENERAL_EDGE_CONFIRMED,552,637597,324.7792520999792,5.412987534999654,505.5410499999998,8.425684166666663,3099.726656099985,51.66211093499975
EXCL_2025_Q4_ALL_BEFORE_2025_10_01,SMAUD_C00_short_main2_v1_same_slip000000,C00_short_main2_v1_same,realism_audit_no_position_limit,0.0,0.0,0.08,True,129976,9832,120144,7.564473441250692,13438.646873115908,5.923149464550481,12736.732583343564,1.6422161878747275,13456.4183920729,15.070230350614144,11513.434913094492,13438.646873115908,14.283961553717994,11604.791758866388,223592,129976,0,8310,364,364,0,0,2.7,2.3,6.2,285,0.075,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,False,50591.202383140204,12736.732583343564,377.1219578053858,0.25175785479232154,0.007454299167458882,46118.507807405054,11604.791758866388,374.8328827206703,0.25162981871245743,0.008127602139384158,GENERAL_EDGE_CONFIRMED,552,637597,219.3230084000097,3.655383473333495,505.5410499999998,8.425684166666663,3099.726656099985,51.66211093499975
FULL_TRAIN_TO_2025_END,SMAUD_C03_stop240_score270_timeout315_slip000000,C03_stop240_score270_timeout315,realism_audit_no_position_limit,0.0,0.0,0.08,True,152030,11364,140666,7.4748404920081555,73746.55353592646,5.888592725709996,69498.03075622236,1.8286053579584032,73855.85996080964,15.017466599306728,62849.56339296499,73760.00634635029,14.23277215250176,63347.67993125091,267412,152030,0,8883,364,364,0,0,2.7,2.4,6.2,315,0.08,18906.828373082157,-0.034556738840485046,0.06377027844988792,17229.172123845856,-0.05118940121623439,True,False,False,True,False,True,True,69498.03075622236,16979.64262769056,390.894405739309,0.24431832733865372,0.005624539306882607,63347.67993125091,15476.651550710532,386.0097145773214,0.24431283935744477,0.006093509896435744,GENERAL_EDGE_CONFIRMED,597,664093,218.78935189999174,3.6464891983331955,505.5410499999998,8.425684166666663,3099.726656099985,51.66211093499975
FULL_TRAIN_TO_2025_END,SMAUD_C00_short_main2_v1_same_slip000000,C00_short_main2_v1_same,realism_audit_no_position_limit,0.0,0.0,0.08,True,154015,11824,142191,7.6771743012044285,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,53760.933555957025,15.070230350614144,45743.96680008307,53703.825565629,14.283961553717994,46118.507807405054,267412,154015,0,9995,364,364,0,0,2.7,2.3,6.2,285,0.075,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,False,50591.202383140204,12736.732583343564,377.1219578053858,0.25175785479232154,0.007454299167458882,46118.507807405054,11604.791758866388,374.8328827206703,0.25162981871245743,0.008127602139384158,GENERAL_EDGE_CONFIRMED,597,664093,311.7089582000044,5.195149303333407,505.5410499999998,8.425684166666663,3099.726656099985,51.66211093499975
2025_Q4_ONLY,SMAUD_C03_stop240_score270_timeout315_slip000500,C03_stop240_score270_timeout315,realism_audit_no_position_limit,0.0005,0.05,0.18,True,23621,1884,21737,7.9759536006096265,230.8265147975443,6.193990116539694,310.33515316809167,1.6679386092500081,231.3504049546243,6.857241805453118,308.62890646353765,230.9211440000837,6.793656379410717,308.43949858990305,43579,23621,0,1550,199,199,0,0,2.7,2.4,6.2,315,0.08,8.569448322048572,0.12687557469520616,0.045518562962830744,8.694701723584615,0.040295016026903774,True,True,True,True,True,True,True,15177.194065003236,4617.4606705665265,310.33515316809167,0.30423678123836007,0.02044746557492381,14001.429941017343,4259.174009564572,308.43949858990305,0.30419564483819433,0.022029142729652645,GENERAL_EDGE_CONFIRMED,597,26496,10.564187299984042,0.17606978833306736,505.5410499999998,8.425684166666663,3099.726656099985,51.66211093499975
2025_Q4_ONLY,SMAUD_C00_short_main2_v1_same_slip000500,C00_short_main2_v1_same,realism_audit_no_position_limit,0.0005,0.05,0.18,True,24040,1964,22076,8.169717138103161,221.25671789404498,6.067114541844488,301.7657048460431,1.6224200462871774,221.8603572855562,6.704366777052472,300.281658423201,221.45372878740358,6.753361363383814,299.74479686631844,43579,24040,0,1738,197,197,0,0,2.7,2.3,6.2,285,0.075,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,False,False,11318.27777107708,3536.8975679257005,301.7657048460431,0.312494324619241,0.026661804114507623,10424.98281599844,3255.7513725839094,299.74479686631844,0.3123028047190209,0.02875254589449515,GENERAL_EDGE_CONFIRMED,597,26496,10.90433170000324,0.18173886166672068,505.5410499999998,8.425684166666663,3099.726656099985,51.66211093499975
EXCL_2025_Q4_ALL_BEFORE_2025_10_01,SMAUD_C03_stop240_score270_timeout315_slip000500,C03_stop240_score270_timeout315,realism_audit_no_position_limit,0.0005,0.05,0.18,True,128946,9215,119731,7.146402369984335,4850.772368223334,6.732519147844018,4617.4606705665265,1.4972702548374446,4859.596506026834,14.738616500820601,4228.620597015441,4851.518886684493,13.982474730769145,4259.174009564572,223592,128946,0,7821,364,364,0,0,2.7,2.4,6.2,315,0.08,1080.563102640826,0.07394705449450534,0.05475287270962914,1003.4226369806624,-0.09576016585331004,True,False,False,True,False,True,True,15177.194065003236,4617.4606705665265,310.33515316809167,0.30423678123836007,0.02044746557492381,14001.429941017343,4259.174009564572,308.43949858990305,0.30419564483819433,0.022029142729652645,GENERAL_EDGE_CONFIRMED,552,637597,276.2101237999741,4.603502063332901,505.5410499999998,8.425684166666663,3099.726656099985,51.66211093499975
EXCL_2025_Q4_ALL_BEFORE_2025_10_01,SMAUD_C00_short_main2_v1_same_slip000500,C00_short_main2_v1_same,realism_audit_no_position_limit,0.0005,0.05,0.18,True,130591,9590,121001,7.343538222388986,3689.2044799902833,6.6585720933495125,3536.8975679257005,1.4425173821278154,3693.434922948478,14.817665852919005,3231.336411718037,3689.2044799902833,14.078234896622455,3255.7513725839094,223592,130591,0,8775,364,364,0,0,2.7,2.3,6.2,285,0.075,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,False,11318.27777107708,3536.8975679257005,301.7657048460431,0.312494324619241,0.026661804114507623,10424.98281599844,3255.7513725839094,299.74479686631844,0.3123028047190209,0.02875254589449515,GENERAL_EDGE_CONFIRMED,552,637597,183.1092409999983,3.051820683333305,505.5410499999998,8.425684166666663,3099.726656099985,51.66211093499975
