run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,crash_dd_min,crash_recent_min,crash_recent_max,recovery_min,expansion_min,atr_expansion_min,vol_max,ret20_min,ret20_max,ret60_min,ret60_max,rsi_max,ema20_min,ema50_min,atrp_max,range60_max,close_pos_min,upper_max,stop_atr,rr,hold,cooldown,fail_bars,fail_pnl,verdict,note
LONG_EVENT_MEMORY_V24_FAST_1H,EM24F_A_011,crash_recovery,crash_depth_recovery_strength,long,23662,8447,15215,35.698588454061365,4.292163788482428,4.476942731703071,2.4489664765034225,101.91833742852798,597,0,0.01,0.0004,0.08,EM24F_A_011,-0.25,12,240,0.08,0.012,0.9,4.0,-0.16,0.18,-0.35,0.35,72,0.82,0.74,0.095,0.58,0.48,0.82,0.85,2.0,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V24_FAST_1H,EM24F_A_012,crash_recovery,crash_depth_recovery_strength,long,17677,6367,11310,36.01855518470329,4.007759184442561,4.119396593623081,3.011949924776347,100.98337250624387,597,0,0.01,0.0004,0.08,EM24F_A_012,-0.25,12,240,0.12,0.012,0.9,4.0,-0.16,0.18,-0.35,0.35,72,0.82,0.74,0.095,0.58,0.48,0.82,0.85,2.0,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V24_FAST_1H,EM24F_B_013,event_recency_expansion,recency_and_expansion,long,34460,11975,22485,34.75043528728961,-14.510575834516438,0.1376986802526181,15.209220756415952,84.90753502757836,597,0,0.01,0.0004,0.08,EM24F_B_013,-0.18,12,120,0.08,0.005,0.9,4.0,-0.16,0.18,-0.35,0.35,72,0.82,0.74,0.095,0.58,0.48,0.82,0.85,2.0,14,18,6,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_EVENT_MEMORY_V24_FAST_1H,EM24F_B_014,event_recency_expansion,recency_and_expansion,long,30640,10619,20021,34.657310704960835,-11.830563351114732,0.32242210336561605,12.810141402656328,87.47097797335474,597,0,0.01,0.0004,0.08,EM24F_B_014,-0.18,12,120,0.08,0.012,0.9,4.0,-0.16,0.18,-0.35,0.35,72,0.82,0.74,0.095,0.58,0.48,0.82,0.85,2.0,14,18,6,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_EVENT_MEMORY_V24_FAST_1H,EM24F_B_015,event_recency_expansion,recency_and_expansion,long,53284,18255,35029,34.259815329179496,-24.411529516859233,0.1376986802526181,24.96956628258573,75.13374963443097,597,0,0.01,0.0004,0.08,EM24F_B_015,-0.18,12,240,0.08,0.005,0.9,4.0,-0.16,0.18,-0.35,0.35,72,0.82,0.74,0.095,0.58,0.48,0.82,0.85,2.0,14,18,6,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_EVENT_MEMORY_V24_FAST_1H,EM24F_B_016,event_recency_expansion,recency_and_expansion,long,47947,16460,31487,34.3295722360106,-19.602732560949466,0.1380871044711407,20.70246364097844,79.40703603089669,597,0,0.01,0.0004,0.08,EM24F_B_016,-0.18,12,240,0.08,0.012,0.9,4.0,-0.16,0.18,-0.35,0.35,72,0.82,0.74,0.095,0.58,0.48,0.82,0.85,2.0,14,18,6,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_EVENT_MEMORY_V24_FAST_1H,EM24F_B_017,event_recency_expansion,recency_and_expansion,long,66094,22308,43786,33.75192907071746,-34.98117999496475,0.1376986802526181,35.11612319625912,64.97322104579636,597,0,0.01,0.0004,0.08,EM24F_B_017,-0.18,12,360,0.08,0.005,0.9,4.0,-0.16,0.18,-0.35,0.35,72,0.82,0.74,0.095,0.58,0.48,0.82,0.85,2.0,14,18,6,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_EVENT_MEMORY_V24_FAST_1H,EM24F_B_018,event_recency_expansion,recency_and_expansion,long,59746,20244,39502,33.883439895557856,-29.31129511777413,0.1380871044711407,29.907022059121545,70.18976730455461,597,0,0.01,0.0004,0.08,EM24F_B_018,-0.18,12,360,0.08,0.012,0.9,4.0,-0.16,0.18,-0.35,0.35,72,0.82,0.74,0.095,0.58,0.48,0.82,0.85,2.0,14,18,6,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_EVENT_MEMORY_V24_FAST_1H,EM24F_C_019,exit_geometry,event_memory_exit_grid,long,50045,19550,30495,39.06484164252173,-23.694312784612205,0.08507094175960184,23.87983300840022,76.1849231345285,597,0,0.01,0.0004,0.08,EM24F_C_019,-0.18,12,240,0.08,0.012,0.9,4.0,-0.16,0.18,-0.35,0.35,72,0.82,0.74,0.095,0.58,0.48,0.82,0.7,1.6,14,18,6,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_EVENT_MEMORY_V24_FAST_1H,EM24F_C_020,exit_geometry,event_memory_exit_grid,long,48983,15933,33050,32.52761162035808,-20.748266374716472,0.24849706603926602,21.576561037090126,78.6183189078198,597,0,0.01,0.0004,0.08,EM24F_C_020,-0.18,12,240,0.08,0.012,0.9,4.0,-0.16,0.18,-0.35,0.35,72,0.82,0.74,0.095,0.58,0.48,0.82,0.7,2.2,14,18,6,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_EVENT_MEMORY_V24_FAST_1H,EM24F_C_021,exit_geometry,event_memory_exit_grid,long,48774,18875,29899,38.698896953294785,-22.72047542867046,0.10545547176399328,23.35768317391085,76.72314034286896,597,0,0.01,0.0004,0.08,EM24F_C_021,-0.18,12,240,0.08,0.012,0.9,4.0,-0.16,0.18,-0.35,0.35,72,0.82,0.74,0.095,0.58,0.48,0.82,0.85,1.6,14,18,6,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_EVENT_MEMORY_V24_FAST_1H,EM24F_C_022,exit_geometry,event_memory_exit_grid,long,47550,15618,31932,32.845425867507885,-17.51031148713923,0.5170837305895626,18.781872260544052,81.63809346428613,597,0,0.01,0.0004,0.08,EM24F_C_022,-0.18,12,240,0.08,0.012,0.9,4.0,-0.16,0.18,-0.35,0.35,72,0.82,0.74,0.095,0.58,0.48,0.82,0.85,2.2,14,18,6,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_EVENT_MEMORY_V24_FAST_1H,EM24F_C_023,exit_geometry,event_memory_exit_grid,long,47200,17949,29251,38.027542372881356,-18.882995146916524,0.301481592096553,20.333593169178478,79.9065863825012,597,0,0.01,0.0004,0.08,EM24F_C_023,-0.18,12,240,0.08,0.012,0.9,4.0,-0.16,0.18,-0.35,0.35,72,0.82,0.74,0.095,0.58,0.48,0.82,1.05,1.6,14,18,6,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_EVENT_MEMORY_V24_FAST_1H,EM24F_C_024,exit_geometry,event_memory_exit_grid,long,45835,15179,30656,33.11661394131122,-16.069778169525218,0.5889324502061477,17.903387970398988,82.58010561836318,597,0,0.01,0.0004,0.08,EM24F_C_024,-0.18,12,240,0.08,0.012,0.9,4.0,-0.16,0.18,-0.35,0.35,72,0.82,0.74,0.095,0.58,0.48,0.82,1.05,2.2,14,18,6,-0.5,valid_any_mdd,research only; MDD >= 5
