experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc
atr189_t27_b17_r180_baseline,90296,26.408464987070445,25.408464987070445,26.704484772254187,25.704484772254187,0.3811464516700629,1.279695599044765,-0.39087295893674456,387
atr1885_t27_b17_r170,90329,26.28171990583355,25.28171990583355,26.62359747902602,25.62359747902602,0.37916948045478194,1.2799792641808032,-0.3907166840653995,387
atr1885_t27_b17_r180,90329,26.20550497047637,25.20550497047637,26.5276019540442,25.5276019540442,0.3806197345260105,1.2790944758774578,-0.3924533977798438,387
atr1885_t27_b17_r190,90329,25.773031440646943,24.773031440646943,26.15139566681737,25.15139566681737,0.3817710812695812,1.2769986821007815,-0.3953235490650143,387
atr189_t27_b16_r180,90307,25.70959850752975,24.70959850752975,26.092734936669427,25.092734936669427,0.3764824432214557,1.279278892600543,-0.3876185322017164,387
atr189_t27_b17_r170,90296,26.515686363915787,25.515686363915787,26.833283037152537,25.833283037152537,0.379706742269868,1.2806898908993574,-0.38861973512520165,387
atr189_t27_b17_r190,90296,25.96390574146881,24.96390574146881,26.313779408225656,25.313779408225656,0.38228714450252504,1.277564076706314,-0.39381683921415034,387
atr189_t27_b18_r180,90286,26.363135878394857,25.363135878394857,26.7085584968313,25.7085584968313,0.3852978313359768,1.2776784691063254,-0.39452174343147983,387
atr1895_t27_b17_r170,90252,26.664784872779304,25.664784872779304,27.01867395487645,26.01867395487645,0.3800912999157913,1.2810673967259405,-0.3902240560454995,387
atr1895_t27_b17_r180,90252,26.505155840213007,25.505155840213007,26.859147721257482,25.859147721257482,0.3815095510348801,1.2798982209045127,-0.3925905991344918,387
atr1895_t27_b17_r190,90252,26.04507885628015,25.04507885628015,26.4456148099842,25.4456148099842,0.38265079998227186,1.2777179184716319,-0.39555512312076835,387
