experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc
atr1895_t27_b17_r170_baseline,90252,26.664784872779304,25.664784872779304,27.01867395487645,26.01867395487645,0.3800912999157913,1.2810673967259405,-0.3902240560454995,387
atr18925_t27_b17_r160,90277,26.892355107196146,25.892355107196146,27.1838829520446,26.1838829520446,0.3783134131617134,1.28254255809368,-0.38767583430810615,387
atr18925_t27_b17_r170,90276,26.63014456606628,25.63014456606628,26.979531140623216,25.979531140623216,0.37984624927998584,1.2810153262350445,-0.39007772460591716,387
atr18925_t27_b17_r180,90276,26.496073242466675,25.496073242466675,26.82351160724662,25.82351160724662,0.3812862776374673,1.279930941829741,-0.39243097205223565,387
atr1895_t27_b17_r160,90253,26.87927208017063,25.87927208017063,27.196903735585018,26.196903735585018,0.3785026536514022,1.2824362248540022,-0.38780254863395736,387
atr1895_t27_b17_r180,90252,26.505155840213007,25.505155840213007,26.859147721257482,25.859147721257482,0.3815095510348801,1.2798982209045127,-0.3925905991344918,387
atr18975_t27_b17_r160,90232,26.905724112221204,25.905724112221204,27.243075178345276,26.243075178345276,0.3787348169163933,1.2824765655789667,-0.38584573704714575,387
atr18975_t27_b17_r170,90231,26.703060501330384,25.703060501330384,27.076932444007976,26.076932444007976,0.38034600082011727,1.2811476297668254,-0.38812585133014554,387
atr18975_t27_b17_r180,90231,26.52335743806575,25.52335743806575,26.897095045830323,25.897095045830323,0.3817313340204586,1.279907806023267,-0.3906780578853314,387
atr1895_t27_b16_r170,90263,25.933162975626136,24.933162975626136,26.30842528157529,25.30842528157529,0.3754362252528722,1.2806181503649374,-0.3872669258487361,387
atr1895_t27_b18_r170,90242,26.638871234364732,25.638871234364732,27.07224896226746,26.07224896226746,0.38427783072183685,1.2790470043618902,-0.39338687686691787,387
