profile,confirmation,horizon,trend_alignment,events,long_win_rate_pct,avg_long_ret_pct,avg_abs_ret_pct,avg_mfe_long_pct,avg_mae_long_pct,target_before_stop_rate_pct,stop_before_target_rate_pct,both_same_bar_rate_pct,none_hit_rate_pct,avg_first_hit_bars,avg_confirm_bars,avg_body_atr,avg_range_atr,avg_vol_ratio,avg_close_pos,avg_reclaim_strength_atr,avg_sweep_depth_atr
bear_body10_range12_vol12_cp30,base_no_confirm,12,above_ema_slope_down,53765,47.337487212870826,0.030977411944800342,0.9893223292252076,1.1189531988048733,-0.9978106726438764,49.50804426671627,47.994048172602994,0.7644378313028922,1.733469729377848,2.7582003671947457,0.0,1.344291337508378,1.786544581080119,2.9130280944386615,0.1116123381701967,0.0,0.0
bear_body10_range12_vol12_cp30,base_no_confirm,12,below_ema_slope_up,373796,53.58243533906195,0.040449165979461084,0.9297172427284753,0.9541029861474519,-1.03295281975447,50.174961743838885,47.1270425579728,1.5786685785829706,1.1193271196053463,2.4163149464844214,0.0,1.6482748594587062,2.0603117965991116,2.8381434619805734,0.1223998011980754,0.0,0.0
bear_body10_range12_vol12_cp30,base_no_confirm,12,long_counter_trend,1271341,53.56564446517497,0.04204291755886058,1.0425150526018199,1.0420210436824702,-1.1874943976817425,49.33640935044178,48.20610678016362,1.5488370154034206,0.9086468539911794,2.4165594397156984,0.0,1.5378097362684569,1.9402100433924843,2.7842311074119044,0.12239454159879595,0.0,0.0
bear_body10_range12_vol12_cp30,base_no_confirm,12,long_trend_aligned,992339,49.63001554912182,0.025607555626101553,0.9624426732070266,1.0666754989095326,-1.0072927853402185,49.91661115808207,47.50342372918932,0.7876340645686606,1.7923310481599533,2.8034401412750256,0.0,1.4384700839534161,1.8513722356049909,2.6559414400236445,0.11742460582272593,0.0,0.0
bear_body10_range12_vol12_cp30,base_no_confirm,36,above_ema_slope_down,53765,47.55138100995071,0.01996407620619905,1.6709779951838333,1.8562058808461717,-1.6994433789793495,50.35989956291268,48.81428438575281,0.7662977773644565,0.05951827397005487,2.9995161260305583,0.0,1.344291337508378,1.786544581080119,2.9130280944386615,0.1116123381701967,0.0,0.0
bear_body10_range12_vol12_cp30,base_no_confirm,36,below_ema_slope_up,373796,52.20066560369827,0.06760929729303938,1.5239815573056157,1.6191745580315993,-1.6712517776150355,50.73462530364156,47.62838553649584,1.5810763090027717,0.055912850859827286,2.5717597239732646,0.0,1.6482748594587062,2.0603117965991116,2.8381434619805734,0.1223998011980754,0.0,0.0
bear_body10_range12_vol12_cp30,base_no_confirm,36,long_counter_trend,1271341,52.9212854773031,0.05925248420952912,1.6690660967284885,1.7082372248559723,-1.9192033784517175,49.787035893595814,48.63266424979608,1.55111807139076,0.029181785217341376,2.543133197479091,0.0,1.5378097362684569,1.9402100433924843,2.7842311074119044,0.12239454159879595,0.0,0.0
bear_body10_range12_vol12_cp30,base_no_confirm,36,long_trend_aligned,992339,48.76025229281526,0.03645733992526242,1.610293166334875,1.833495420029341,-1.6815448084829412,50.753220421650255,48.402511641686964,0.7901533649287189,0.054114571734054595,3.0520597861266663,0.0,1.4384700839534161,1.8513722356049909,2.6559414400236445,0.11742460582272593,0.0,0.0
bear_body10_range12_vol12_cp30,base_no_confirm,72,above_ema_slope_down,53765,47.421184785641216,0.01666228788426098,2.3151970793700842,2.5511557706989856,-2.378599948968465,50.387798753836144,48.84218357667628,0.7662977773644565,0.0037198921231284296,3.02498000483604,0.0,1.344291337508378,1.786544581080119,2.9130280944386615,0.1116123381701967,0.0,0.0
bear_body10_range12_vol12_cp30,base_no_confirm,72,below_ema_slope_up,373796,51.46844803047652,0.09229339599442794,2.13580770620871,2.300092098808544,-2.297776811675587,50.76218044066817,47.64390202142345,1.5810763090027717,0.012841228905606267,2.5910131960572365,0.0,1.6482748594587062,2.0603117965991116,2.8381434619805734,0.1223998011980754,0.0,0.0
