symbol,file,bars,raw_bear_displacements,confirmed_events_before_horizon_expand,kept_event_horizon_rows,first_ts,last_ts
ACE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACE_5m.csv,215873,11046,55573,222292,2023-12-18 19:00:00,2026-01-12 08:30:00
ACH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACH_5m.csv,303679,15810,80343,321372,2023-02-22 23:30:00,2026-01-12 10:00:00
ACT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACT_5m.csv,121070,5572,28115,112460,2024-11-11 21:15:00,2026-01-12 07:35:00
ACX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACX_5m.csv,113836,5819,29531,118124,2024-12-07 00:00:00,2026-01-12 07:30:00
ADA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ADA_5m.csv,625803,32809,166794,667176,2020-01-31 17:00:00,2026-01-12 15:10:00
AERGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AERGO_5m.csv,76147,4798,23921,95684,2025-04-16 20:00:00,2026-01-12 07:05:00
AERO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AERO_5m.csv,114421,6005,28738,114952,2024-12-04 23:15:00,2026-01-12 07:30:00
AEVO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AEVO_5m.csv,191055,9736,48458,193832,2024-03-13 22:30:00,2026-01-12 08:10:00
AGIX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AGIX_5m.csv,305412,6983,35407,141628,2023-02-16 23:15:00,2026-01-12 10:10:00
AGLD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AGLD_5m.csv,256878,14029,69970,279880,2023-07-29 11:30:00,2026-01-12 09:15:00
AGT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AGT_5m.csv,66357,3128,16576,66304,2025-05-20 19:30:00,2026-01-12 06:55:00
AI16Z,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AI16Z_5m.csv,106071,4106,20068,80272,2025-01-02 22:45:00,2026-01-12 07:20:00
AI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AI_5m.csv,209794,10999,55496,221984,2024-01-08 21:30:00,2026-01-12 08:25:00
AIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIA_5m.csv,31530,949,4859,19436,2025-09-18 17:30:00,2026-01-12 06:40:00
AIN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIN_5m.csv,51665,2733,14231,56924,2025-07-10 19:45:00,2026-01-12 06:50:00
AIO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIO_5m.csv,41863,2203,11059,44236,2025-08-13 20:30:00,2026-01-12 06:45:00
AIOT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIOT_5m.csv,72094,3354,16039,64156,2025-04-30 21:30:00,2026-01-12 07:00:00
AIXBT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIXBT_5m.csv,109759,5053,24587,98348,2024-12-21 03:30:00,2026-01-12 07:25:00
AKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AKE_5m.csv,29178,1542,8079,32316,2025-09-26 21:30:00,2026-01-12 06:40:00
AKT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AKT_5m.csv,119062,7101,34143,136572,2024-11-18 20:30:00,2026-01-12 07:30:00
ALCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALCH_5m.csv,104655,5189,25835,103340,2025-01-07 20:45:00,2026-01-12 07:20:00
ALGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALGO_5m.csv,586326,32298,162208,648832,2020-06-16 18:00:00,2026-01-12 14:25:00
ALICE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALICE_5m.csv,507747,23878,119321,477284,2021-03-16 12:00:00,2026-01-12 12:10:00
ALL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALL_5m.csv,43903,2875,14324,57296,2025-08-06 18:30:00,2026-01-12 06:45:00
ALLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALLO_5m.csv,15649,663,3198,12792,2025-11-18 22:35:00,2026-01-12 06:35:00
ALPACA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPACA_5m.csv,144428,4051,19839,79356,2024-08-22 19:30:00,2026-01-12 07:55:00
ALPHA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPHA_5m.csv,540251,28433,142556,570224,2020-11-23 16:00:00,2026-01-12 12:50:00
ALPINE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPINE_5m.csv,70400,3630,18847,75388,2025-05-06 18:45:00,2026-01-12 07:00:00
ALT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALT_5m.csv,204879,10436,51617,206468,2024-01-25 23:00:00,2026-01-12 08:25:00
AMB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AMB_5m.csv,291624,10039,50162,200648,2023-03-30 21:00:00,2026-01-12 09:45:00
ANIME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ANIME_5m.csv,99982,4241,20608,82432,2025-01-24 02:00:00,2026-01-12 07:15:00
ANKR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ANKR_5m.csv,521815,29295,143209,572836,2021-01-26 16:00:00,2026-01-12 12:30:00
APE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APE_5m.csv,402178,19971,100578,402312,2022-03-18 00:00:00,2026-01-12 10:45:00
API3,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\API3_5m.csv,408941,22904,114593,458372,2022-02-22 12:30:00,2026-01-12 10:50:00
APR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APR_5m.csv,21425,1064,5342,21368,2025-10-23 19:30:00,2026-01-12 06:35:00
APT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APT_5m.csv,340122,16454,82919,331676,2022-10-19 11:00:00,2026-01-12 10:25:00
