candidate_key,slippage_per_side,2025_Q1_ONLY,2025_Q2_ONLY,2025_Q3_ONLY,2025_Q4_ONLY,2026_Q1_ONLY,EXCL_2025_Q4_ALL_BEFORE_2025_10_01,FULL_TO_2026_END,FULL_TRAIN_TO_2025_END
V5M01_D02_D03_rr615_stop265_t390,0.0,5.1455033172410065,5.020324508662033,5.348317279663584,5.673964657377228,2.041264882266336,5.348317279664672,5.673964657376429,5.673964657376429
V6N01_density_maturity,0.0,5.145466609399851,5.020324508662311,5.314526233722727,5.673219934069939,2.041264882266336,5.314526233722184,5.673219934068385,5.673219934068385
V6N02_density_topscore,0.0,3.6187381613651426,5.020324508662344,4.486657511665337,5.587667089973314,2.041264882266336,5.020324508662344,5.5876670899724035,5.5876670899724035
V6N03_breakout_failure20,0.0,1.8993359928262121,1.7115229029080692,1.8246747472234315,2.1422466591014877,0.8081121645140188,2.3693251445611185,2.3693251445611185,2.3693251445611185
V6N04_near_high_rejection20,0.0,2.389184813682421,2.0626283223012187,2.188770353755576,2.8636376867349655,1.0912370424214446,2.7830666500633483,2.8636376867351987,2.8636376867351987
V6N05_entry_gapup_exclusion,0.0,5.1455033172410065,5.020324508662311,5.348317279663806,5.615643114780699,2.041264882266336,5.348317279665027,5.615643114782576,5.615643114782576
