period_label,strategy,candidate_key,audit_mode,slippage_per_side,slippage_per_side_pct,total_round_trip_cost_pct,environment_lock_pass,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,target_expected_trades,delta_vs_target_expected_trades,target_expected_max_return_pct,delta_vs_target_expected_max_return_pct,target_expected_max_drawdown_pct,delta_vs_target_expected_max_drawdown_pct,target_expected_official_cd_value,delta_vs_target_expected_official_cd_value,target_expected_profit_factor,delta_vs_target_expected_profit_factor,mtm_close_max_return_pct,mtm_close_max_drawdown_pct,mtm_close_cd_value,mtm_worstbar_max_return_pct,mtm_worstbar_max_drawdown_pct,mtm_worstbar_cd_value,generated_signals,executed_entries,blocked_entries,filter_raw_candidates,filter_rejected_candidates,filter_passed_candidates,filter_rejection_rate_pct,filter_triggered_timestamps,filter_rejected_timestamps,filter_rejected_density_maturity,filter_rejected_density_rank,filter_rejected_breakout_failure,filter_rejected_near_high_rejection,filter_rejected_entry_gapup,same_bar_trades,max_conc,max_conc_unique_symbols,active_leftover,pending_leftover,climax_score_min,atr_stop_mult,rr_mult,timeout_bars,dd_brake_trigger_pct,delta_vs_same_period_baseline_official_cd_value,delta_vs_same_period_baseline_max_drawdown_pct,delta_vs_same_period_baseline_profit_factor,delta_vs_same_period_baseline_mtm_worstbar_cd_value,delta_vs_same_period_baseline_mtm_worstbar_max_drawdown_pct,gate_realized_mdd10_pass,gate_mtm_close_mdd_under_10,gate_mtm_worstbar_mdd_under_10,gate_mtm_worstbar_mdd_under_15,gate_mtm_audit_pass,gate_improve_vs_same_period_baseline,gate_mtm_worstbar_improve_vs_same_period_baseline,gate_baseline_exact_retest_pass,gate_target_exact_retest_pass,gate_run_valid_for_development,gate_beats_v6_cd,gate_beats_v6_mtm_worstbar_cd,gate_realized_mdd_better_or_equal_v6,gate_mtm_worstbar_mdd_better_or_equal_v6,full_cd_value,exq4_cd_value,q4_only_cd_value,exq4_to_full_cd_ratio,q4_to_full_cd_ratio,full_mtm_worstbar_cd_value,exq4_mtm_worstbar_cd_value,q4_only_mtm_worstbar_cd_value,exq4_to_full_mtm_worstbar_cd_ratio,q4_to_full_mtm_worstbar_cd_ratio,q4_dependency_flag,period_loaded_symbols,period_timeline_count,strategy_elapsed_seconds,strategy_elapsed_minutes,load_elapsed_seconds,load_elapsed_minutes,total_elapsed_seconds,total_elapsed_minutes
2025_Q1_ONLY,SM2V6NEWAXIS_V6N02_density_topscore_slip000000,V6N02_density_topscore,realism_audit_no_position_limit,0.0,0.0,0.08,True,11492,834,10658,7.257222415593456,106.26912858521402,106.26912858521402,3.6187381613651426,198.80478891398553,2.1910903465228766,,,139926.24497527332,-139819.97584668812,5.673964657377228,-2.0552264960120854,132081.20532432388,-131882.4005354099,,,107.7229277855304,5.995684506102961,195.26851638866992,107.45890435962475,7.795668383994824,191.28609614267944,22328,11492,0,12476,984,11492,7.887143315165117,27,27,0,984,0,0,0,518,296,296,0,0,2.7,2.65,6.15,390,0.092,1.005327671607688,-1.526765155875864,-0.0018397516509525147,2.5288771255862628,-2.2051534483156328,True,True,True,True,True,True,True,False,False,True,False,False,True,False,129210.37802343821,27980.28728631143,442.30872937259534,0.21654829677253887,0.003423167211014292,118765.76738966137,25569.787406792828,435.33495637278116,0.21529593896278476,0.0036654918832333275,GENERAL_EDGE_CONFIRMED,412,25920,5.2975012000006245,0.08829168666667707,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2025_Q1_ONLY,SM2V6_OFFICIAL_V5M01_BASELINE_slip000000,V5M01_D02_D03_rr615_stop265_t390,realism_audit_no_position_limit,0.0,0.0,0.08,True,12159,859,11300,7.064725717575458,108.52934563968901,108.52934563968901,5.1455033172410065,197.79946124237784,2.192930098173829,,,139926.24497527332,-139817.71562963363,5.673964657377228,-0.5284613401362215,132081.20532432388,-131883.4058630815,,,109.99907500739839,7.57631125222985,194.08889145803425,109.73215851526365,10.000821832310457,188.75721901709318,22328,12159,0,12159,0,12159,0.0,0,0,0,0,0,0,0,528,341,341,0,0,2.7,2.65,6.15,390,0.092,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,False,False,False,False,True,False,False,True,False,132081.20532432388,28599.657911071103,440.8162502317228,0.21653086705898067,0.003337463866636465,120332.49318069416,25971.018978214248,433.156622667571,0.21582714935703645,0.003599664655972287,GENERAL_EDGE_CONFIRMED,412,25920,11.095554400000765,0.1849259066666794,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2025_Q1_ONLY,SM2V6NEWAXIS_V6N05_entry_gapup_exclusion_slip000000,V6N05_entry_gapup_exclusion,realism_audit_no_position_limit,0.0,0.0,0.08,True,12154,859,11295,7.067632055290439,108.20717262418343,108.20717262418343,5.1455033172410065,197.49386565007237,2.190357794558086,,,139926.24497527332,-139818.03780264914,5.673964657377228,-0.5284613401362215,132081.20532432388,-131883.71145867382,,,109.67463129401595,7.57631125222985,193.78902861021595,109.40812718168745,10.000821832310457,188.46559347986877,22328,12154,0,12163,9,12154,0.07399490257337828,6171,9,0,0,0,0,9,527,341,341,0,0,2.7,2.65,6.15,390,0.092,-0.3055955923054796,0.0,-0.00257230361574301,-0.2916255372244052,0.0,True,True,False,True,True,False,False,False,False,True,False,False,True,False,132657.35725836744,28711.093506723395,441.02074498091235,0.21643046492178197,0.003324510257821337,120782.71414956963,26072.211875518708,433.1346513154799,0.21586045701235476,0.0035860648964976356,GENERAL_EDGE_CONFIRMED,412,25920,4.986364400001548,0.08310607333335913,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2025_Q1_ONLY,SM2V6NEWAXIS_V6N01_density_maturity_slip000000,V6N01_density_maturity,realism_audit_no_position_limit,0.0,0.0,0.08,True,12150,857,11293,7.053497942386831,108.0505746982388,108.0505746982388,5.145466609399851,197.34540184647645,2.189069886907946,,,139926.24497527332,-139818.19440057507,5.673964657377228,-0.5284980479773767,132081.20532432388,-131883.8599224774,,,109.51692965497055,7.559724804267221,193.67802635470466,109.25062598718354,9.972231283921563,188.38366960068794,22328,12150,0,12163,13,12150,0.10688152593932418,24,7,13,0,0,0,0,527,340,340,0,0,2.7,2.65,6.15,390,0.092,-0.4540593959013961,-3.670784115517023e-05,-0.0038602112658829846,-0.37354941640523975,-0.028590548388894632,True,True,True,True,True,False,False,False,False,True,False,False,True,False,130384.84746237319,28240.876284916532,440.84039528906663,0.21659630574071392,0.0033810707599001145,118786.08965228764,25636.061347050403,433.1769281598692,0.2158170322980801,0.00364669743256867,GENERAL_EDGE_CONFIRMED,412,25920,5.16061069999887,0.0860101783333145,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2025_Q1_ONLY,SM2V6NEWAXIS_V6N04_near_high_rejection20_slip000000,V6N04_near_high_rejection20,realism_audit_no_position_limit,0.0,0.0,0.08,True,7084,502,6582,7.086391869000565,61.821224363784324,61.833851686542964,2.389184813682421,157.96734187865076,2.54652424263798,,,139926.24497527332,-139864.4111235868,5.673964657377228,-3.284779843694807,132081.20532432388,-131923.23798244522,,,62.45458154092136,7.330099229251907,150.54649951150586,62.36633821668527,7.215755875582708,150.65037962684633,22328,7084,0,16955,9871,7084,58.2188145089944,7959,5555,0,0,0,9871,0,161,314,314,0,0,2.7,2.65,6.15,390,0.092,-39.83211936372709,-2.7563185035585853,0.35359414446415105,-38.10683939024685,-2.785065956727749,True,True,True,True,True,False,False,False,False,True,False,False,True,False,8999.803373619407,3536.1450933150127,248.5338739032309,0.39291359449922053,0.027615478203862055,8490.03142420148,3329.4936580292833,244.906579057835,0.3921650570736769,0.02884636897334799,GENERAL_EDGE_CONFIRMED,412,25920,4.444948299998941,0.07408247166664902,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2025_Q1_ONLY,SM2V6NEWAXIS_V6N03_breakout_failure20_slip000000,V6N03_breakout_failure20,realism_audit_no_position_limit,0.0,0.0,0.08,True,6021,440,5581,7.307756186679954,55.408146135426065,55.420286067178104,1.8993359928262121,152.46833263375072,2.669422462470852,,,139926.24497527332,-139870.82468920614,5.673964657377228,-3.774628664551016,132081.20532432388,-131928.73699169012,,,55.80842247818243,7.06249412573261,144.80446179326415,55.719611928563275,6.926742801751329,144.9333149183864,22328,6021,0,17678,11657,6021,65.94071727570993,8189,6203,0,0,11657,0,0,131,295,295,0,0,2.7,2.65,6.15,390,0.092,-45.331128608627125,-3.2461673244147944,0.4764923642970227,-43.82390409870678,-3.074079030559128,True,True,True,True,True,False,False,False,False,True,False,False,True,False,4971.971287877131,2085.9870248404145,234.03368424194167,0.4195492902234886,0.04707060252189558,4745.8654405247435,1988.669482180031,230.24634368270296,0.4190319989266587,0.04851514366940099,GENERAL_EDGE_CONFIRMED,412,25920,4.363448400001289,0.07272414000002149,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2025_Q2_ONLY,SM2V6NEWAXIS_V6N02_density_topscore_slip000000,V6N02_density_topscore,realism_audit_no_position_limit,0.0,0.0,0.08,True,12381,885,11496,7.148049430579113,78.92716381460252,78.96874934437655,5.020324508662344,169.98393735819434,1.8632578212101405,,,139926.24497527332,-139847.27622592894,5.673964657377228,-0.6536401487148842,132081.20532432388,-131911.22138696568,,,79.57449305237247,8.368131002250012,164.5474642271236,79.38778840124971,7.465499937336939,165.9955931705643,23016,12381,0,12817,436,12381,3.401732074588437,11,11,0,436,0,0,0,641,267,267,0,0,2.7,2.65,6.15,390,0.092,-2.5502273207671635,3.1086244689504383e-13,-0.01369045934664026,1.5517856326533774,-2.220011422103018,True,True,True,True,True,False,True,False,False,True,False,False,True,False,129210.37802343821,27980.28728631143,442.30872937259534,0.21654829677253887,0.003423167211014292,118765.76738966137,25569.787406792828,435.33495637278116,0.21529593896278476,0.0036654918832333275,GENERAL_EDGE_CONFIRMED,481,26208,6.067183400000431,0.10111972333334052,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2025_Q2_ONLY,SM2V6NEWAXIS_V6N05_entry_gapup_exclusion_slip000000,V6N05_entry_gapup_exclusion,realism_audit_no_position_limit,0.0,0.0,0.08,True,12646,901,11745,7.124782539933576,82.14120330954029,82.183535833411,5.020324508662311,173.0373311332187,1.8838038543063134,,,139926.24497527332,-139844.06143943992,5.673964657377228,-0.653640148714917,132081.20532432388,-131908.16799319067,,,82.80016041695278,10.607452247750937,163.40972069191238,82.61010202059758,9.66221431491533,164.9659226026819,23016,12646,0,12665,19,12646,0.15001973943939992,7461,19,0,0,0,0,19,646,364,364,0,0,2.7,2.65,6.15,390,0.092,0.5031664542571832,2.779998453661392e-13,0.006855573749532606,0.5221150647709862,-0.023297044524626997,True,False,True,True,True,True,True,False,False,True,False,False,True,False,132657.35725836744,28711.093506723395,441.02074498091235,0.21643046492178197,0.003324510257821337,120782.71414956963,26072.211875518708,433.1346513154799,0.21586045701235476,0.0035860648964976356,GENERAL_EDGE_CONFIRMED,481,26208,6.067673999999897,0.10112789999999829,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2025_Q2_ONLY,SM2V6_OFFICIAL_V5M01_BASELINE_slip000000,V5M01_D02_D03_rr615_stop265_t390,realism_audit_no_position_limit,0.0,0.0,0.08,True,12658,901,11757,7.118028124506242,81.61156416841797,81.65377359569564,5.020324508662033,172.5341646789615,1.8769482805567808,,,139926.24497527332,-139844.59120167763,5.673964657377228,-0.653640148715195,132081.20532432388,-131908.6711596449,,,82.26860512797407,10.60402839098118,162.9407904923583,82.07909939276293,9.685511359439957,164.4438075379109,23016,12658,0,12658,0,12658,0.0,0,0,0,0,0,0,0,649,364,364,0,0,2.7,2.65,6.15,390,0.092,0.0,0.0,0.0,0.0,0.0,True,False,True,True,True,False,False,False,False,True,False,False,True,False,132081.20532432388,28599.657911071103,440.8162502317228,0.21653086705898067,0.003337463866636465,120332.49318069416,25971.018978214248,433.156622667571,0.21582714935703645,0.003599664655972287,GENERAL_EDGE_CONFIRMED,481,26208,12.31192270000065,0.2051987116666775,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
2025_Q2_ONLY,SM2V6NEWAXIS_V6N01_density_maturity_slip000000,V6N01_density_maturity,realism_audit_no_position_limit,0.0,0.0,0.08,True,12639,901,11738,7.12872853865021,81.57281424237115,81.61501466354729,5.020324508662311,172.49735157098257,1.8765130349244137,,,139926.24497527332,-139844.62996060977,5.673964657377228,-0.653640148714917,132081.20532432388,-131908.7079727529,,,82.22971501102737,10.605640183356691,162.9030871298015,82.04024971009838,9.686653504512766,164.40664148193136,23016,12639,0,12665,26,12639,0.20529016975917883,9,2,26,0,0,0,0,648,364,364,0,0,2.7,2.65,6.15,390,0.092,-0.03681310797892934,2.779998453661392e-13,-0.00043524563236707614,-0.03716605597955436,0.0011421450728086313,True,False,True,True,True,False,False,False,False,True,False,False,True,False,130384.84746237319,28240.876284916532,440.84039528906663,0.21659630574071392,0.0033810707599001145,118786.08965228764,25636.061347050403,433.1769281598692,0.2158170322980801,0.00364669743256867,GENERAL_EDGE_CONFIRMED,481,26208,6.293553999999858,0.1048925666666643,503.8455120999988,8.397425201666646,6026.8353916,100.44725652666666
