batch=8V7_AB_BEST_200_FROM_8V6_CANDIDATE
cd_value_formula=max_return_pct / max_drawdown_pct
official_promotion=max_drawdown_pct < 5.0
strategies=200
failed_symbols=0

TOP 30
21. 8V7_AB_BEST_I115_volshock_brake_vsb15 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=volshock_brake | verdict=official_mdd_pass | trades=277 | win=49.4585 | final=1.6965 | max=2.9713 | mdd=1.2404 | cd=2.395425 | legacy_cd=100.4351
22. 8V7_AB_BEST_I120_volshock_brake_vsb20 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=volshock_brake | verdict=official_mdd_pass | trades=298 | win=49.3289 | final=1.9739 | max=3.4837 | mdd=1.4589 | cd=2.387828 | legacy_cd=100.4862
23. 8V7_AB_BEST_I127_volshock_brake_vsb27 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=volshock_brake | verdict=official_mdd_pass | trades=259 | win=38.2239 | final=0.8431 | max=1.4527 | mdd=0.6115 | cd=2.375616 | legacy_cd=100.2264
24. 8V7_AB_BEST_I114_volshock_brake_vsb14 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=volshock_brake | verdict=official_mdd_pass | trades=285 | win=46.6667 | final=1.0149 | max=1.6897 | mdd=0.7210 | cd=2.343560 | legacy_cd=100.2866
25. 8V7_AB_BEST_I037_edge_restore_er37 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=edge_restore | verdict=official_mdd_pass | trades=68 | win=41.1765 | final=0.5462 | max=0.6662 | mdd=0.2913 | cd=2.286618 | legacy_cd=100.2532
26. 8V7_AB_BEST_I113_volshock_brake_vsb13 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=volshock_brake | verdict=official_mdd_pass | trades=58 | win=48.2759 | final=0.4961 | max=0.7155 | mdd=0.3141 | cd=2.277926 | legacy_cd=100.1804
27. 8V7_AB_BEST_I092_post_loss_brake_plb42 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=post_loss_brake | verdict=official_mdd_pass | trades=260 | win=42.3077 | final=0.7078 | max=1.2515 | mdd=0.5496 | cd=2.277098 | legacy_cd=100.1543
28. 8V7_AB_BEST_I110_volshock_brake_vsb10 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=volshock_brake | verdict=official_mdd_pass | trades=457 | win=45.9519 | final=2.4317 | max=4.4233 | mdd=1.9628 | cd=2.253534 | legacy_cd=100.4211
29. 8V7_AB_BEST_I190_soft_safe_mix_ssm10 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=soft_safe_mix | verdict=official_mdd_pass | trades=203 | win=52.2167 | final=0.8004 | max=1.2674 | mdd=0.5635 | cd=2.249116 | legacy_cd=100.2323
30. 8V7_AB_BEST_I158_adaptive_exit_aex18 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=adaptive_exit | verdict=official_mdd_pass | trades=156 | win=31.4103 | final=0.7725 | max=1.1202 | mdd=0.5046 | cd=2.220055 | legacy_cd=100.2640
