batch_label,strategy_name,parent,family,group,side,timeframe,processed_symbols,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,legacy_equity_cd_value,official_pass_mdd_lt_5,verdict,description
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I070_post_loss_brake_plb20,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,93,56,37,60.215054,1.165494,1.329032,0.212239,6.261968197,100.950782,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb20; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I068_post_loss_brake_plb18,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,104,55,49,52.884615,1.045306,1.221286,0.215427,5.669132141,100.827626,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb18; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I193_soft_safe_mix_ssm13,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,soft_safe_mix,long,5m,597,96,49,47,51.041667,0.840378,0.903005,0.1729,5.222698544,100.666025,True,official_mdd_pass,"8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=soft_safe_mix; tag=ssm13; focus=mix strict lowanchor shocklow as conditional safety, not full entry starvation"
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I198_soft_safe_mix_ssm18,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,soft_safe_mix,long,5m,597,68,39,29,57.352941,0.704276,0.778187,0.155048,5.018993562,100.548135,True,official_mdd_pass,"8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=soft_safe_mix; tag=ssm18; focus=mix strict lowanchor shocklow as conditional safety, not full entry starvation"
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I067_post_loss_brake_plb17,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,106,53,53,50.0,0.845652,1.044502,0.226002,4.621650603,100.617739,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb17; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I188_soft_safe_mix_ssm08,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,soft_safe_mix,long,5m,597,146,71,75,48.630137,1.22655,1.281951,0.286901,4.46826451,100.936129,True,official_mdd_pass,"8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=soft_safe_mix; tag=ssm08; focus=mix strict lowanchor shocklow as conditional safety, not full entry starvation"
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I095_post_loss_brake_plb45,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,135,72,63,53.333333,1.448357,1.835421,0.422596,4.343209635,101.019641,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb45; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I066_post_loss_brake_plb16,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,173,71,102,41.040462,0.810089,1.019377,0.23575,4.323979661,100.572429,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb16; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I069_post_loss_brake_plb19,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,93,51,42,54.83871,0.837028,1.046667,0.255783,4.092007601,100.579104,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb19; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I094_post_loss_brake_plb44,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,197,94,103,47.715736,1.067505,1.38702,0.377181,3.677337079,100.686298,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb44; focus=post-loss and symbol-dd brake without permanent entry starvation
