batch_label,strategy_name,side,description,timeframe,processed_symbols,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,baseline_cd_value,ruined,verdict
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V006_core_noshock14,long,l09 v27 failed break pivot + core + noshock14,5m,597,357,123,234,34.45378151260504,-0.07878744327641796,0.4088118771673921,0.4921397188257348,99.42946058219965,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V016_strict_noshock14,long,l09 v27 failed break pivot + strict + noshock14,5m,597,357,124,233,34.73389355742297,-0.10572137926121439,0.38278745668742786,0.4931382075158197,99.40166176573763,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V014_strict_vol18,long,l09 v28 refire block + strict + vol18,5m,597,262,91,171,34.73282442748092,-0.13982857167506024,0.2668662051180437,0.5606016587774709,99.30035365083972,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V004_core_vol18,long,l09 v28 refire block + core + vol18,5m,597,652,227,425,34.8159509202454,0.02613168528582399,0.2086905020184826,0.7274631506956397,99.29847843620907,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V024_lowanchor_vol18,long,l09 v28 refire block + lowanchor + vol18,5m,597,257,89,168,34.63035019455253,-0.18040725424730564,0.22699221915922774,0.5645919252530107,99.25601938528973,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V024_lowanchor_vol18,long,l09 v09 cluster pressure + lowanchor + vol18,5m,597,654,227,427,34.70948012232416,0.0418959982142697,0.16048366057661578,0.8063603800499752,99.23519778543387,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V094_quality_hold_vol18,long,l09 v28 refire block + quality_hold + vol18,5m,597,262,86,176,32.82442748091603,-0.20871938594987371,0.19303196105673326,0.5586140691724695,99.23383248073267,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V096_quality_hold_noshock14,long,l09 v27 failed break pivot + quality_hold + noshock14,5m,597,357,118,239,33.0532212885154,-0.21605868562528663,0.3366693819633504,0.5557736032970384,99.22936850822,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V040_shocklow_shortgap,long,l09 v51 microbase pop + shocklow + shortgap,5m,597,27,9,18,33.33333333333333,-0.2703142598704522,0.23333017311193416,0.5024720141619032,99.22857197947377,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V040_shocklow_shortgap,long,l09 v27 failed break pivot + shocklow + shortgap,5m,597,428,152,276,35.51401869158878,0.5157532582695579,1.8018110478934313,1.2901303728465985,99.21896899598907,121.53,False,baseline_fail
