experiment_name,side,symbol,entry_time,exit_time,entry_price,exit_price,stop_price,target_price_initial,duration_bars,score,score_detail,atr,risk_multiple,pnl_pct_raw,risk_alloc_frac,exit_reason
1V2_L01_mirror_exact,long_only,ADA,2024-01-03 21:05:00,2024-01-03 21:05:00,0.5784000158309937,0.5679775278375019,0.5679775278375019,0.6409349437919445,0,2.5,dev+rsi+vol,0.0054927472956478,-0.999999999999996,-0.0180195154014953,0.0025,stop
1V2_L01_mirror_exact,long_only,AVAX,2024-01-03 21:05:00,2024-01-03 21:05:00,37.96200180053711,37.05766496628523,37.05766496628523,43.38802280604839,0,2.5,dev+rsi+vol,0.4765938520431518,-0.999999999999998,-0.0238221587734892,0.0025,stop
1V2_L01_mirror_exact,long_only,BTC,2024-01-03 21:05:00,2024-01-03 21:05:00,42967.3984375,42387.67755905152,42387.67755905152,46445.72370819092,0,2.5,dev+rsi+vol,305.51824951171875,-0.999999999999994,-0.0134921102866337,0.0025,stop
1V2_L01_mirror_exact,long_only,DOGE,2024-01-03 21:05:00,2024-01-03 21:05:00,0.0871699973940849,0.0856053736910689,0.0856053736910689,0.0965577396121807,0,3.0,dev+rsi+wick+vol,0.000824571121484,-0.9999999999999988,-0.0179491080622899,0.0025,stop
1V2_L01_mirror_exact,long_only,ETH,2024-01-03 21:05:00,2024-01-03 21:05:00,2251.449951171875,2220.3845413017275,2220.3845413017275,2437.8424103927614,0,2.5,dev+rsi+vol,16.37175750732422,-0.9999999999999936,-0.0137979571138048,0.0025,stop
1V2_L01_mirror_exact,long_only,LINK,2024-01-03 21:05:00,2024-01-03 21:05:00,14.47599983215332,14.210754586979746,14.210754586979746,16.06747130319476,0,2.5,dev+rsi+vol,0.1397866904735565,-1.000000000000002,-0.0183231036369885,0.0025,stop
1V2_L01_mirror_exact,long_only,SOL,2024-01-03 21:05:00,2024-01-03 21:05:00,98.72699737548828,95.72237709969282,95.72237709969282,116.75471903026104,0,2.5,dev+rsi+vol,1.5834625959396362,-1.0000000000000002,-0.0304336235849247,0.0025,stop
1V2_L01_mirror_exact,long_only,ADA,2024-01-03 21:10:00,2024-01-03 21:10:00,0.5085999965667725,0.4892311675357632,0.4892311675357632,0.6248129707528278,0,2.5,dev+rsi+vol,0.0102075515314936,-1.0,-0.0380826369676672,0.0025,stop
1V2_L01_mirror_exact,long_only,AVAX,2024-01-03 21:10:00,2024-01-03 22:00:00,33.03300094604492,33.1093530863002,31.505958140939477,42.19525777667761,10,2.5,dev+rsi+vol,0.8047656416893005,0.050000000000001,0.0023113897638299,0.0025,time_reduce
1V2_L01_mirror_exact,long_only,BNB,2024-01-03 21:10:00,2024-01-03 22:00:00,291.5599975585937,292.04477303648,281.86448800086976,349.7330549049377,10,2.5,dev+rsi+vol,5.109622955322266,0.0500000000000017,0.0016626954381449,0.0025,time_reduce
1V2_L01_mirror_exact,long_only,BTC,2024-01-03 21:10:00,2024-01-03 22:00:00,40456.8984375,40501.46214977646,39565.624191970826,45804.54391067505,10,2.5,dev+rsi+vol,469.7097473144531,0.0500000000000015,0.0011015108423426,0.0025,time_reduce
1V2_L01_mirror_exact,long_only,DOGE,2024-01-03 21:10:00,2024-01-03 21:10:00,0.0777999982237815,0.0749795778107363,0.0749795778107363,0.0947225207020528,0,2.5,dev+rsi+vol,0.0014863875694572,-1.0000000000000002,-0.0362521912266969,0.0025,stop
