run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,old_ret_max,reclaim_ret_min,reclaim_gain_min,calm_abs_max,calm_range_max,calm_slope_max,test_break_max,test_recover_min,close_pos_min,atrp_max,volr_max,upper_max,cooldown,stop_atr,rr,hold,fail_bars,fail_pnl,green,verdict,note
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_013,old_reclaim_local,old_ret_and_reclaim_grid,long,395,152,243,38.48101265822785,0.42483133119506356,0.42483133119506356,3.092681159371269,97.31901149328482,597,0,0.01,0.0004,0.08,SCR18_A_013,-0.15,0.022,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_014,old_reclaim_local,old_ret_and_reclaim_grid,long,219,85,134,38.81278538812785,0.2687479414491767,0.2687479414491767,1.8224356571622025,98.44141452597411,597,0,0.01,0.0004,0.08,SCR18_A_014,-0.15,0.026,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_015,old_reclaim_local,old_ret_and_reclaim_grid,long,120,50,70,41.66666666666667,0.2431041160114944,0.2431041160114944,1.0754677115612399,99.16502189817707,597,0,0.01,0.0004,0.08,SCR18_A_015,-0.15,0.03,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_016,old_reclaim_local,old_ret_and_reclaim_grid,long,505,204,301,40.396039603960396,1.064266278446424,1.064266278446424,3.7274542093516105,97.29714203090016,597,0,0.01,0.0004,0.08,SCR18_A_016,-0.16,0.018,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_017,old_reclaim_local,old_ret_and_reclaim_grid,long,402,158,244,39.30348258706468,0.6193010751882833,0.6193010751882833,3.109064060724831,97.49098254730708,597,0,0.01,0.0004,0.08,SCR18_A_017,-0.16,0.02,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_018,old_reclaim_local,old_ret_and_reclaim_grid,long,298,113,185,37.919463087248324,0.2793367077568387,0.2793367077568387,2.4174075037447618,97.85517649747806,597,0,0.01,0.0004,0.08,SCR18_A_018,-0.16,0.022,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_019,old_reclaim_local,old_ret_and_reclaim_grid,long,171,63,108,36.84210526315789,0.08823638458499428,0.08823638458499428,1.5136240591199224,98.5732767583191,597,0,0.01,0.0004,0.08,SCR18_A_019,-0.16,0.026,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_020,old_reclaim_local,old_ret_and_reclaim_grid,long,101,40,61,39.603960396039604,0.11991333141905258,0.11991333141905258,0.960209116226729,99.15855279645245,597,0,0.01,0.0004,0.08,SCR18_A_020,-0.16,0.03,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_021,old_reclaim_local,old_ret_and_reclaim_grid,long,378,150,228,39.682539682539684,0.7474463906982809,0.7474463906982809,2.9279513219196196,97.79761020230157,597,0,0.01,0.0004,0.08,SCR18_A_021,-0.18,0.018,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_022,old_reclaim_local,old_ret_and_reclaim_grid,long,306,118,188,38.56209150326798,0.4403710078076051,0.4403710078076051,2.4870127228574734,97.94240620195818,597,0,0.01,0.0004,0.08,SCR18_A_022,-0.18,0.02,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_023,old_reclaim_local,old_ret_and_reclaim_grid,long,231,85,146,36.79653679653679,0.18319390056289464,0.18319390056289464,1.9503412614326532,98.22927973289913,597,0,0.01,0.0004,0.08,SCR18_A_023,-0.18,0.022,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_024,old_reclaim_local,old_ret_and_reclaim_grid,long,137,47,90,34.306569343065696,-0.04139310319908329,0.0,1.2784421914444066,98.72155780855559,597,0,0.01,0.0004,0.08,SCR18_A_024,-0.18,0.026,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,invalid_no_peak,max_return <= 0
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_025,old_reclaim_local,old_ret_and_reclaim_grid,long,78,29,49,37.17948717948718,0.028893050586864533,0.028893050586864533,0.7884369015712211,99.24022834554283,597,0,0.01,0.0004,0.08,SCR18_A_025,-0.18,0.03,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_026,calm_local,calm_abs_and_range_grid,long,103,40,63,38.83495145631068,0.1347065195157704,0.1347065195157704,0.76141393249608,99.37226691281211,597,0,0.01,0.0004,0.08,SCR18_B_026,-0.15,0.022,0.015,0.0045,0.08,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_027,calm_local,calm_abs_and_range_grid,long,103,40,63,38.83495145631068,0.1347065195157704,0.1347065195157704,0.76141393249608,99.37226691281211,597,0,0.01,0.0004,0.08,SCR18_B_027,-0.15,0.022,0.015,0.0045,0.1,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_B_028,calm_local,calm_abs_and_range_grid,long,103,40,63,38.83495145631068,0.1347065195157704,0.1347065195157704,0.76141393249608,99.37226691281211,597,0,0.01,0.0004,0.08,SCR18_B_028,-0.15,0.022,0.015,0.0045,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
