experiment_name,side,family,final_return_pct,mdd_pct,cd_value,pf,trades,max_conc,max_conc_unique_symbols,baseline_name,baseline_final_return_pct,baseline_mdd_pct,baseline_cd_value,delta_return_pct_vs_baseline,delta_mdd_pct_vs_baseline,delta_cd_value_vs_baseline,verdict,summary_file
3V2_L02_compression_breakout_hold,long_only,compression_breakout,-45.002667,46.440569,29.456258,0.735954,2985,12,12,long_hybrid_wick_bridge_halfhalf,9.9603,1.0456,108.8106,-54.962967,45.394969,-79.354342,over_mdd5,C:\Users\user\Desktop\LCD\파이썬\local_results\3V2\3V2_L02_compression_breakout_hold\summary.json
3V2_L01_trend_pullback_resume,long_only,trend_pullback,-100.0,100.0,0.0,0.742391,157886,12,12,long_hybrid_wick_bridge_halfhalf,9.9603,1.0456,108.8106,-109.9603,98.9544,-108.8106,over_mdd5,C:\Users\user\Desktop\LCD\파이썬\local_results\3V2\3V2_L01_trend_pullback_resume\summary.json
3V2_S02_breakdown_after_compression,short_only,compression_breakdown,-10.123698,14.101796,77.20213,0.863251,1105,8,8,short_beh_dd_brake,311.5456,4.7589,391.9606,-321.669298,9.342896,-314.75847,over_mdd5,C:\Users\user\Desktop\LCD\파이썬\local_results\3V2\3V2_S02_breakdown_after_compression\summary.json
3V2_S01_dd_brake_retest_fail,short_only,bounce_fail,-100.0,100.0,0.0,0.851865,375767,12,12,short_beh_dd_brake,311.5456,4.7589,391.9606,-411.5456,95.2411,-391.9606,over_mdd5,C:\Users\user\Desktop\LCD\파이썬\local_results\3V2\3V2_S01_dd_brake_retest_fail\summary.json
