strategy_name,axis,parent_alias,parent_strategy,family,group,side,description,total_trades,total_wins,total_losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,old_ratio_cd_value,mdd_under_5,beats_axis_reference,reference_alias,reference_strategy,reference_cd_value,reference_max_return_pct,reference_max_drawdown_pct
long_max_v1_098_lx13_asym_runner_guard_22,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_asym_runner_guard_22,long,long_max의 raw 수익 확장력을 보존하기 위해 손실은 빠르게 자르고 이익은 비대칭으로 길게 보유한다.,10213,934,9279,9.145207,-28.951789,0.0,29.106597,70.893403,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_005_lx13_microbase_pop_rebuilt_04,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_microbase_pop_rebuilt_04,long,V51 raw edge를 직접 복제하지 않고 microbase 누적 후 팝업을 score 구조로 재구성한다.,15392,3690,11702,23.973493,-28.800911,0.79621,29.936485,70.621367,0.026597,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_024_lx13_microbase_pop_rebuilt_23,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_microbase_pop_rebuilt_23,long,V51 raw edge를 직접 복제하지 않고 microbase 누적 후 팝업을 score 구조로 재구성한다.,14917,2358,12559,15.807468,-29.632469,0.420793,30.20677,70.086915,0.01393,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_019_lx13_microbase_pop_rebuilt_18,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_microbase_pop_rebuilt_18,long,V51 raw edge를 직접 복제하지 않고 microbase 누적 후 팝업을 score 구조로 재구성한다.,14871,2486,12385,16.7171,-29.930206,0.564202,30.754067,69.63662,0.018346,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_014_lx13_microbase_pop_rebuilt_13,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_microbase_pop_rebuilt_13,long,V51 raw edge를 직접 복제하지 않고 microbase 누적 후 팝업을 score 구조로 재구성한다.,16957,3268,13689,19.272277,-30.285234,0.683381,31.211711,69.258375,0.021895,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_093_lx13_asym_runner_guard_17,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_asym_runner_guard_17,long,long_max의 raw 수익 확장력을 보존하기 위해 손실은 빠르게 자르고 이익은 비대칭으로 길게 보유한다.,10900,1061,9839,9.733945,-31.026694,0.0,31.190012,68.809988,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_009_lx13_microbase_pop_rebuilt_08,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_microbase_pop_rebuilt_08,long,V51 raw edge를 직접 복제하지 않고 microbase 누적 후 팝업을 score 구조로 재구성한다.,16160,3233,12927,20.006188,-30.865239,0.646055,31.791152,68.649515,0.020322,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_088_lx13_asym_runner_guard_12,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_asym_runner_guard_12,long,long_max의 raw 수익 확장력을 보존하기 위해 손실은 빠르게 자르고 이익은 비대칭으로 길게 보유한다.,11295,1196,10099,10.588756,-31.515735,0.0,31.717877,68.282123,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_097_lx13_asym_runner_guard_21,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_asym_runner_guard_21,long,long_max의 raw 수익 확장력을 보존하기 위해 손실은 빠르게 자르고 이익은 비대칭으로 길게 보유한다.,11931,1074,10857,9.00176,-31.974737,0.0,32.183214,67.816786,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_004_lx13_microbase_pop_rebuilt_03,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_microbase_pop_rebuilt_03,long,V51 raw edge를 직접 복제하지 않고 microbase 누적 후 팝업을 score 구조로 재구성한다.,18258,4236,14022,23.200789,-31.678824,0.814863,32.766092,67.781772,0.024869,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_083_lx13_asym_runner_guard_07,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_asym_runner_guard_07,long,long_max의 raw 수익 확장력을 보존하기 위해 손실은 빠르게 자르고 이익은 비대칭으로 길게 보유한다.,11779,1323,10456,11.231853,-32.424748,0.0,32.625659,67.374341,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
