strategy,atr_stop_mult,rr_mult,timeout_bars,time_reduce_bars,time_reduce_to_risk_frac,fail_fast_bars,dd_brake_trigger_pct,dd_brake_freeze_steps,short_dev,short_wick_mult,score_min_short,preq4_axis,preq4_baseline_version,preq4_engine,preq4_data_scope,preq4_end_date,preq4_holdout_start,preq4_trades,preq4_wins,preq4_losses,preq4_win_rate_pct,preq4_final_asset,preq4_final_return_pct,preq4_peak_asset,preq4_max_return_pct,preq4_max_drawdown_pct,preq4_official_cd_value,preq4_profit_factor,preq4_max_conc,preq4_max_conc_unique_symbols,preq4_same_bar_trades,preq4_active_leftover,preq4_pending_leftover,preq4_blocked_by_guard,preq4_generated_entry_candidates,preq4_executed_entries,preq4_fee_per_side,preq4_position_fraction,preq4_score_dev_weight,preq4_score_rsi_weight,preq4_score_wick_weight,preq4_atr_pct_min,preq4_atr_pct_max,preq4_close_position_min,preq4_close_position_max,preq4_upper_body_ratio_min,preq4_upper_body_ratio_max,preq4_dd_brake_mode,preq4_better_than_short_max2_v1_cd,preq4_better_than_current_baseline_cd,preq4_mdd_under_10,preq4_mdd_under_5,preq4_short_main_formula_candidate,preq4_cd_delta_vs_short_max2_v1,preq4_mdd_delta_vs_short_max2_v1,preq4_cd_delta_vs_current_baseline,preq4_mdd_delta_vs_current_baseline,preq4_active_months,preq4_positive_months,preq4_negative_months,preq4_positive_month_ratio_pct,preq4_monthly_net_pnl_total,preq4_avg_month_pnl,preq4_median_month_pnl,preq4_min_month_pnl,preq4_max_month_pnl,preq4_top1_month_pnl,preq4_top3_month_pnl,preq4_top6_month_pnl,preq4_top1_month_share_pct,preq4_top3_month_share_pct,preq4_top6_month_share_pct,preq4_abs_pnl_concentration_top3_pct,preq4_active_years,preq4_positive_years,preq4_negative_years,preq4_positive_year_ratio_pct,preq4_min_year_pnl,preq4_max_year_pnl,preq4_avg_trades_per_month,preq4_general_consistency_score,preq4_status,preq4_elapsed_minutes_candidate_preq4,preq4_elapsed_minutes_total_so_far,full_axis,full_baseline_version,full_engine,full_data_scope,full_end_date,full_holdout_start,full_trades,full_wins,full_losses,full_win_rate_pct,full_final_asset,full_final_return_pct,full_peak_asset,full_max_return_pct,full_max_drawdown_pct,full_official_cd_value,full_profit_factor,full_max_conc,full_max_conc_unique_symbols,full_same_bar_trades,full_active_leftover,full_pending_leftover,full_blocked_by_guard,full_generated_entry_candidates,full_executed_entries,full_fee_per_side,full_position_fraction,full_score_dev_weight,full_score_rsi_weight,full_score_wick_weight,full_atr_pct_min,full_atr_pct_max,full_close_position_min,full_close_position_max,full_upper_body_ratio_min,full_upper_body_ratio_max,full_dd_brake_mode,full_better_than_short_max2_v1_cd,full_better_than_current_baseline_cd,full_mdd_under_10,full_mdd_under_5,full_short_main_formula_candidate,full_cd_delta_vs_short_max2_v1,full_mdd_delta_vs_short_max2_v1,full_cd_delta_vs_current_baseline,full_mdd_delta_vs_current_baseline,full_active_months,full_positive_months,full_negative_months,full_positive_month_ratio_pct,full_monthly_net_pnl_total,full_avg_month_pnl,full_median_month_pnl,full_min_month_pnl,full_max_month_pnl,full_top1_month_pnl,full_top3_month_pnl,full_top6_month_pnl,full_top1_month_share_pct,full_top3_month_share_pct,full_top6_month_share_pct,full_abs_pnl_concentration_top3_pct,full_active_years,full_positive_years,full_negative_years,full_positive_year_ratio_pct,full_min_year_pnl,full_max_year_pnl,full_avg_trades_per_month,full_general_consistency_score,full_status,full_elapsed_minutes_candidate_fulltrain,full_elapsed_minutes_total_so_far,q4_delta_return_pct,q4_delta_cd,q4_share_of_full_return_pct
BASE_short_max2_v2_stop250_rr500_t320,2.5,5.0,320,3,0.0,12,0.035,4,0.032,1.3,2.35,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-09-30 23:59:59,2026-01-01 00:00:00,53580,4156,49424,7.7566256065696155,3654.3308235947543,3554.3308235947543,3654.3308235947543,3554.3308235947543,2.1769570997805077,3574.7776092810404,2.29014107209504,306,306,1810,0,0,0,53580,53580,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,False,False,True,True,True,-11757.047657784135,-0.09705293930817316,-11757.047657784135,-0.09705293930817316,71,66,5,92.95774647887323,3554.330823594799,50.0609975154197,5.9249726334602695,-0.5748582926621034,1073.0489854031482,1073.0489854031482,1897.5546420481792,2580.171204806676,30.18990180317211,53.38711381201764,72.59231998548543,53.36280740699992,7,7,0,100.0,0.05091570517871859,2939.0974048801754,754.6478873239437,1548.9614538054193,ok,0.312,5.922,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65180,5130,60050,7.8705124271248845,15688.585271121467,15588.585271121465,15688.585271121467,15588.585271121465,2.274010039088681,15331.825267065175,2.6142284817799504,306,306,2233,0,0,0,65180,65180,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,False,False,True,True,True,0.0,0.0,0.0,0.0,74,69,5,93.24324324324324,15588.58527112157,210.65655771785904,6.27036481444455,-0.5748582926621034,4636.993237693242,4636.993237693242,12065.7461822468,13931.809089574948,29.74608123216571,77.40116227608569,89.37186311181259,77.39312450588103,7,7,0,100.0,0.05091570517871859,14973.351852406935,880.8108108108108,3573.972781849652,ok,0.372,14.384,12034.25444752671,11757.047657784135,77.19914436251436
smx2v2_combo01_stop252_rr505_t320,2.52,5.05,320,3,0.0,12,0.035,4,0.032,1.3,2.35,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-09-30 23:59:59,2026-01-01 00:00:00,53541,4148,49393,7.747333818942492,3739.662884835265,3639.662884835265,3739.662884835265,3639.662884835265,2.193623645675269,3657.6287555249764,2.303936239809643,306,306,1772,0,0,0,53541,53541,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,False,False,True,True,True,-11674.196511540198,-0.08038639341341192,-11674.196511540198,-0.08038639341341192,71,66,5,92.95774647887323,3639.6628848352943,51.262857532891466,6.16192084991663,-0.5815978611495102,1101.7587113056175,1101.7587113056175,1951.1377751085165,2645.078247303647,30.27089997527272,53.607650951354834,72.67371542360152,53.58398204715522,7,7,0,100.0,0.05062399970420518,3013.317921203359,754.0985915492957,1577.362723169104,ok,0.266,6.188,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65133,5123,60010,7.865444551916847,16192.95088702602,16092.950887026022,16192.95088702602,16092.950887026022,2.209932967542305,15835.097526955698,2.632847275178797,306,306,2187,0,0,0,65133,65133,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,True,True,True,True,True,503.27225989052386,-0.06407707154637565,503.27225989052386,-0.06407707154637565,74,69,5,93.24324324324324,16092.950887026076,217.47230928413617,6.439166358124421,-0.5815978611495102,4827.497884102998,4827.497884102998,12485.5032162839,14404.425777299297,29.99759284665973,77.58367812052137,89.50767251090012,77.57592822902602,7,7,0,100.0,0.05062399970420518,15466.605923394136,880.1756756756756,3691.2896262160243,ok,0.364,14.749,12453.288002190757,12177.468771430722,77.3834959766793
smx2v2_combo02_stop252_rr5025_t320,2.52,5.025,320,3,0.0,12,0.035,4,0.032,1.3,2.35,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-09-30 23:59:59,2026-01-01 00:00:00,53544,4148,49396,7.746899746003287,3726.8725574092045,3626.8725574092045,3726.8725574092045,3626.8725574092045,2.1936194248069696,3645.119157052076,2.3017718596127072,306,306,1772,0,0,0,53544,53544,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,False,False,True,True,True,-11686.7061100131,-0.08039061428171124,-11686.7061100131,-0.08039061428171124,71,66,5,92.95774647887323,3626.872557409188,51.08271207618575,6.179366108097135,-0.5815978611495102,1095.0893723736945,1095.0893723736945,1940.5234658916156,2634.3262843062503,30.193764877031082,53.50404336450699,72.6335497762306,53.480336943871535,7,7,0,100.0,0.05062399970420518,3001.7357704280853,754.1408450704225,1575.4785843654756,ok,0.286,6.475,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65137,5123,60014,7.864961542594838,16100.82640280607,16000.82640280607,16100.82640280607,16000.82640280607,2.209785231795025,15745.032718759907,2.629866747241383,306,306,2187,0,0,0,65137,65137,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,True,True,True,True,True,413.2074516947323,-0.06422480729365576,413.2074516947323,-0.06422480729365576,74,69,5,93.24324324324324,16000.8264028062,216.22738382170542,6.415949872513428,-0.5815978611495102,4786.30612690204,4786.30612690204,12406.05985534142,14314.477311288625,29.912868288244322,77.5338694579279,89.4608625263141,77.52607995835214,7,7,0,100.0,0.05062399970420518,15375.689615825027,880.2297297297297,3670.294789170384,ok,0.342,15.091,12373.953845396865,12099.913561707832,77.33321725949631
smx2v2_combo03_stop251_rr505_t320,2.51,5.05,320,3,0.0,12,0.035,4,0.032,1.3,2.35,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-09-30 23:59:59,2026-01-01 00:00:00,53563,4150,49413,7.747885667344996,3711.8061388316755,3611.8061388316755,3711.8061388316755,3611.8061388316755,2.1852859531676594,3630.692560670972,2.292123738088935,306,306,1791,0,0,0,53563,53563,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,False,False,True,True,True,-11701.132706394203,-0.08872408592102143,-11701.132706394203,-0.08872408592102143,71,66,5,92.95774647887323,3611.8061388316823,50.87050899762933,6.106127173498985,-0.5781786327798808,1082.5251210913589,1082.5251210913589,1924.7568808776275,2619.3803862840373,29.971850079459838,53.29070295838836,72.52272922741454,53.26665753940538,7,7,0,100.0,0.050769830347433174,2985.8506062592687,754.4084507042254,1576.4434395335072,ok,0.266,6.742,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65159,5124,60035,7.863840758759342,15968.791169457028,15868.791169457028,15968.791169457028,15868.791169457028,2.2225718592302046,15613.87331066544,2.6221405151377324,306,306,2211,0,0,0,65159,65159,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,True,True,True,True,True,282.0480436002654,-0.05143817985847621,282.0480436002654,-0.05143817985847621,74,69,5,93.24324324324324,15868.791169457048,214.44312391158172,6.331351383563998,-0.5781786327798808,4742.471814938039,4742.471814938039,12288.969525884553,14181.741911502993,29.885526656031374,77.4411194567697,89.36876010315675,77.43316364511165,7,7,0,100.0,0.050769830347433174,15242.83563688461,880.527027027027,3639.720467688903,ok,0.355,15.446,12256.985030625354,11983.180749994468,77.23956349124192
smx2v2_combo04_stop252_rr505_t330,2.52,5.05,330,3,0.0,12,0.035,4,0.032,1.3,2.35,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-09-30 23:59:59,2026-01-01 00:00:00,53532,4119,49413,7.694463124859897,3736.1296308160336,3636.1296308160336,3736.1296308160336,3636.1296308160336,2.2174416088914795,3653.283137820195,2.304371332881349,306,306,1772,0,0,0,53532,53532,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,False,False,True,True,True,-11678.54212924498,-0.05656843019720137,-11678.54212924498,-0.05656843019720137,71,66,5,92.95774647887323,3636.1296308160845,51.213093391775836,6.217508511491371,-0.5707825731609106,1102.0942685450643,1102.0942685450643,1950.7049271788735,2640.1948512595136,30.30954285031122,53.647837817626474,72.61003097590209,53.62355327733722,7,7,0,100.0,0.05036317772293443,3007.788211127043,753.9718309859155,1574.1239134023324,ok,0.277,7.019,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65113,5090,60023,7.817179365103742,16323.299270736487,16223.299270736487,16323.299270736487,16223.299270736487,2.2174416088914795,15961.339640763297,2.6463143675235683,306,306,2186,0,0,0,65113,65113,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,True,True,True,True,True,629.5143736981227,-0.05656843019720137,629.5143736981227,-0.05656843019720137,74,69,5,93.24324324324324,16223.299270736574,219.2337739288726,6.608817218639057,-0.5707825731609106,4888.958852823416,4888.958852823416,12650.225841474083,14537.874567099365,30.135416793069158,77.9756671584826,89.61108541788808,77.96775327783823,7,7,0,100.0,0.05036317772293443,15594.957851047551,879.9054054054054,3720.717686529282,ok,0.348,15.794,12587.169639920452,12308.056502943102,77.5869903517414
smx2v2_combo05_stop252_rr505_t310,2.52,5.05,310,3,0.0,12,0.035,4,0.032,1.3,2.35,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-09-30 23:59:59,2026-01-01 00:00:00,53565,4178,49387,7.799869317651452,3581.9212738895976,3481.9212738895976,3581.9212738895976,3481.9212738895976,2.1254995932777354,3505.7875517815455,2.279511465478592,306,306,1773,0,0,0,53565,53565,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,False,False,True,True,True,-11826.03771528363,-0.1485104458109454,-11826.03771528363,-0.1485104458109454,71,66,5,92.95774647887323,3481.9212738896335,49.0411447026709,6.229228228860984,-0.5360164229166051,1043.310493441992,1043.310493441992,1853.710910053787,2509.7471812937943,29.96364395902944,53.238162618852606,72.07937755841823,53.212903416437754,7,7,0,100.0,0.051132841016054,2862.3362833720184,754.4366197183099,1523.9220348860742,ok,0.257,7.276,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65168,5167,60001,7.9287380309354285,15226.61427277306,15126.61427277306,15226.61427277306,15126.61427277306,2.21966116492458,14888.635029027453,2.608423762400528,306,306,2188,0,0,0,65168,65168,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,False,False,True,True,True,-443.19023803772143,-0.054348874164100724,-443.19023803772143,-0.054348874164100724,74,69,5,93.24324324324324,15126.614272773077,204.41370638882535,6.497083006375614,-0.5360164229166051,4535.452674627537,4535.452674627537,11675.639367222619,13498.403908937229,29.983263887352884,77.1860718907734,89.23612161667585,77.1776390989042,7,7,0,100.0,0.051132841016054,14507.029282255504,880.6486486486486,3470.661543928697,ok,0.347,16.142,11644.692998883464,11382.847477245909,76.98148963739472
smx2v2_combo06_stop252_rr505_fail14,2.52,5.05,320,3,0.0,14,0.035,4,0.032,1.3,2.35,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-09-30 23:59:59,2026-01-01 00:00:00,53541,4148,49393,7.747333818942492,3737.5122582772933,3637.5122582772933,3737.5122582772933,3637.5122582772933,2.1910693611994048,3655.6207723151074,2.3036957190686698,306,306,1772,0,0,0,53541,53541,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,False,False,True,True,True,-11676.204494750067,-0.08294067788927606,-11676.204494750067,-0.08294067788927606,71,66,5,92.95774647887323,3637.5122582772674,51.23256701798968,6.128868022963399,-0.5815978611495102,1101.1519565714939,1101.1519565714939,1950.0339089108527,2643.6124789572605,30.27211672114066,53.608998965529054,72.67638680644008,53.585315478085796,7,7,0,100.0,0.05062399970420518,3011.428705046358,754.0985915492957,1576.4509667587097,ok,0.284,7.561,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65133,5123,60010,7.865444551916847,16183.090094798888,16083.090094798888,16183.090094798888,16083.090094798888,2.2099329675421497,15825.45465162688,2.632706220745189,306,306,2187,0,0,0,65133,65133,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,True,True,True,True,True,493.6293845617056,-0.06407707154653108,493.6293845617056,-0.06407707154653108,74,69,5,93.24324324324324,16083.090094798796,217.33905533511887,6.439166358124421,-0.5815978611495102,4824.558151008981,4824.558151008981,12477.774524106475,14395.611745432381,29.99770642688387,77.58319110667506,89.50774795502676,77.57543651275385,7,7,0,100.0,0.05062399970420518,15457.006541567953,880.1756756756756,3689.0417937914012,ok,0.353,16.495,12445.577836521596,12169.833879311773,77.38300142051912
smx2v2_combo07_stop252_rr505_fail10,2.52,5.05,320,3,0.0,10,0.035,4,0.032,1.3,2.35,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-09-30 23:59:59,2026-01-01 00:00:00,53542,4148,49394,7.747189122557992,3737.80862889412,3637.80862889412,3737.80862889412,3637.80862889412,2.2053711516066943,3655.376075690223,2.3040720475136927,306,306,1772,0,0,0,53542,53542,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,False,False,True,True,True,-11676.449191374952,-0.06863888748198654,-11676.449191374952,-0.06863888748198654,71,66,5,92.95774647887323,3637.8086288941404,51.23674125203014,6.0978783645459815,-0.5815978611495102,1101.4197789830275,1101.4197789830275,1950.1781432256655,2643.8511402533054,30.277012656321308,53.60859633285606,72.67702647285795,53.584914951904786,7,7,0,100.0,0.05062399970420518,3011.7845360849838,754.112676056338,1576.3591249928634,ok,0.265,7.827,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65134,5123,60011,7.865323794024626,16185.0557621056,16085.0557621056,16185.0557621056,16085.0557621056,2.20993296754195,15827.376879003781,2.632910904873703,306,306,2187,0,0,0,65134,65134,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,True,True,True,True,True,495.5516119386066,-0.06407707154673092,495.5516119386066,-0.06407707154673092,74,69,5,93.24324324324324,16085.055762105476,217.36561840683075,6.439504898282509,-0.5815978611495102,4825.144162467305,4825.144162467305,12479.446373872095,14397.425276437,29.997683774493243,77.58410389395245,89.50808433226362,77.5763501563596,7,7,0,100.0,0.05062399970420518,15459.031669296459,880.1891891891892,3689.4898805785842,ok,0.376,16.871,12447.24713321148,12172.000803313558,77.3839227995445
smx2v2_combo08_stop253_rr5025_t320,2.53,5.025,320,3,0.0,12,0.035,4,0.032,1.3,2.35,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-09-30 23:59:59,2026-01-01 00:00:00,53528,4147,49381,7.7473471827828435,3791.4814978322984,3691.481497832299,3791.4814978322984,3691.481497832299,2.1522752835272607,3709.878378674945,2.3175503646747457,306,306,1757,0,0,0,53528,53528,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,False,False,True,True,True,-11621.94688839023,-0.1217347555614201,-11621.94688839023,-0.1217347555614201,71,66,5,92.95774647887323,3691.4814978322975,51.99269715256757,6.049630794041377,-0.5849166609274069,1117.7162697730207,1117.7162697730207,1982.9469031874562,2688.2418019612383,30.278257399620266,53.7168316935051,72.82284371572283,53.693282897124384,7,7,0,100.0,0.05047821322895967,3061.3150350308943,753.9154929577464,1596.1302924213194,ok,0.266,8.093,short_max2,short_max2/v2,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65117,5122,59995,7.8658414853264125,16474.594698142253,16374.594698142251,16474.594698142253,16374.594698142251,2.22130849297556,16108.643126929115,2.6507728337590573,306,306,2166,0,0,0,65117,65117,0.0004,0.01,1.3,0.8,0.7,0.0,999.0,-999.0,999.0,0.0,inf,edge_current,True,True,True,True,True,776.8178598639406,-0.052701546113120834,776.8178598639406,-0.052701546113120834,74,69,5,93.24324324324324,16374.594698142188,221.27830673165118,6.461514550770066,-0.5849166609274069,4935.486482540958,4935.486482540958,12715.775171083189,14666.06010349735,30.14112149658839,77.65551090266608,89.56594269268427,77.64783360753015,7,7,0,100.0,0.05047821322895967,15744.428235340818,879.9594594594595,3755.0553235071247,ok,0.391,17.263,12683.113200309952,12398.76474825417,77.45604354866195
