candidate_id,profile,trend_state,slippage_bps,stop_atr,target_atr,rr,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,tp_exit_rate_pct,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_tp_distance_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct
bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,12,195542,195532,99.99488600914381,37301,158231,0,19.076672871959577,-0.03444555192810776,0.0455726771427493,1.3308805186573696,0.8840436473796714,12.382627907452488,80.4006505329051,7.216721559642411,3.03038377349999,0.007088735248380909,1.6948851292139497,0.28248085486899166,-18.034790218598953,206.76842045984057,-0.00034445551928107763
bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,36,195542,195503,99.98005543566089,32391,163112,0,16.5680322041094,-0.03684034725474727,0.043176923514658634,1.3583649185984432,0.8803153492064415,15.609990639529828,83.37058766361642,1.0194216968537566,3.766755497358097,0.007089439655048261,1.6949432686871475,0.28249054478119134,-18.034790218598953,206.76842045984057,-0.00036840347254747267
bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,72,195542,195486,99.97136165120537,31589,163897,0,16.159213447510307,-0.03802544689030115,0.04199134964955863,1.36299961962843,0.8772626027881817,16.008819045865177,83.82697482172637,0.16420613240845894,3.9292020911983467,0.007088449207432798,1.6949811301838507,0.28249685503064187,-18.034790218598953,206.76842045984057,-0.0003802544689030115
bear_range25_body08_vol15_cp20__all__slip1bps__sl0.5atr__tp3atr__h12,bear_range25_body08_vol15_cp20,all,1.0,0.5,3.0,6.0,12,270420,270407,99.99519266326456,50735,219672,0,18.76245807246114,-0.048962424884247346,0.031049995113798107,1.2513337817686467,0.8414116581571152,12.045176345286919,80.62291286837988,7.331910786333194,3.080556346544283,0.006627411649236689,1.76796666746061,0.2946611112434348,-33.2870813971212,206.76842045984057,-0.0004896242488424735
bear_range25_body08_vol15_cp20__all__slip1bps__sl0.5atr__tp3atr__h36,bear_range25_body08_vol15_cp20,all,1.0,0.5,3.0,6.0,36,270420,270355,99.97596331632276,43755,226600,0,16.184276229402084,-0.050726106706319905,0.02928560753669475,1.2857276809678435,0.8416906289488292,15.230345286752604,83.75506278781602,1.0145919254313773,3.8233470806902035,0.006626595062669,1.7680512900630356,0.2946752150105057,-33.2870813971212,206.76842045984057,-0.000507261067063199
bear_range25_body08_vol15_cp20__all__slip1bps__sl0.5atr__tp3atr__h72,bear_range25_body08_vol15_cp20,all,1.0,0.5,3.0,6.0,72,270420,270330,99.96671843798536,42661,227669,0,15.781082380793846,-0.051626657261300855,0.028384696617346057,1.2915272506529427,0.8399099905597184,15.62978581733437,84.20412088928347,0.16609329338216255,3.9857729441793364,0.0066259074901592946,1.7680915235047916,0.2946819205841318,-33.2870813971212,206.76842045984057,-0.0005162665726130086
bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,2.0,4.0,12,192255,192254,99.99947985748095,43570,148684,0,22.662727433499434,-0.050357531172455706,0.02965433055976821,1.007323916179574,0.825174520730412,20.991500827030908,77.05483370957171,1.9536654633973805,2.2248587805715356,0.007151076980914807,1.1447971453471486,0.28619928633678704,-18.034790218598953,137.81894697322699,-0.0005035753117245571
bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,2.0,4.0,72,192255,192254,99.99947985748095,42280,149974,0,21.991740093834196,-0.05086053855321036,0.029151121895547902,1.0155980598060728,0.8255607154881985,21.97873646322053,78.00669947049215,0.014564066287307416,2.3807671101771612,0.007151076980914807,1.1447971453471486,0.28619928633678704,-18.034790218598953,137.81894697322699,-0.0005086053855321036
bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,2.0,4.0,36,192255,192254,99.99947985748095,42347,149907,0,22.02658982387883,-0.050940082558675125,0.029071546059748828,1.0144824357619349,0.82515303794394,21.932443538235876,77.96040654550751,0.10714991625661885,2.3652511781289336,0.007151076980914807,1.1447971453471486,0.28619928633678704,-18.034790218598953,137.81894697322699,-0.0005094008255867512
bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.75atr__tp3atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.75,3.0,4.0,12,195542,195523,99.99028341737325,48947,146576,0,25.033883481738723,-0.04886274123670093,0.03114971865075944,1.4584552258751606,0.8703431518918857,15.421203643561116,73.69260905366633,10.886187302772564,3.805317021526879,0.007087440656932297,1.6948908257888293,0.42372270644720733,-27.007187327898443,206.76842045984057,-0.0004886274123670093
bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.75atr__tp3atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.75,3.0,4.0,36,195542,195458,99.95704247680806,42566,152892,0,21.777568582508774,-0.051630156420636765,0.02838119605778638,1.4996724970504436,0.8701002522853564,20.215596189462698,78.04489967154069,1.7395041389966133,4.9756878715632,0.007088892819688752,1.6949770173131078,0.42374425432827695,-27.007187327898443,206.76842045984057,-0.0005163015642063676
bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.75atr__tp3atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.75,3.0,4.0,72,195542,195417,99.9360751142977,41359,154058,0,21.164484154398032,-0.05361427618526499,0.02639628232766612,1.5058895833926087,0.8665458276165507,20.888152003152232,78.79764810635717,0.31419989049059194,5.26406095682566,0.0070871290686579025,1.6950718834305707,0.42376797085764256,-27.007187327898443,206.76842045984057,-0.00053614276185265
bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp1.5atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,1.5,3.0,12,184439,184439,100.0,49764,134675,0,26.981278363036015,-0.059397887690348455,0.02061035645223242,0.8473485108609736,0.7868689088774061,26.56921800703756,72.89673008420128,0.5340519087611623,1.7367259635977206,0.007243983303355881,0.8836803159434073,0.2945601053144691,-18.034790218598953,103.34421022992026,-0.0005939788769034846
bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp1.5atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,1.5,3.0,36,184439,184439,100.0,49508,134931,0,26.84247908522601,-0.059595046808908196,0.020413118438467187,0.8497689673870819,0.7869090135481961,26.827297914215542,73.15480999137927,0.017892094405196297,1.7681509875893926,0.007243983303355881,0.8836803159434073,0.2945601053144691,-18.034790218598953,103.34421022992026,-0.000595950468089082
bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp1.5atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,1.5,3.0,72,184439,184439,100.0,49496,134943,0,26.835972869078667,-0.059622233655458365,0.020385920712826775,0.8498839500740718,0.7868481249954512,26.833804130362882,73.16348494624239,0.002710923394726712,1.7707643177419092,0.007243983303355881,0.8836803159434073,0.2945601053144691,-18.034790218598953,103.34421022992026,-0.0005962223365545837
bear_range25_body08_vol15_cp20__all__slip1bps__sl0.5atr__tp2atr__h12,bear_range25_body08_vol15_cp20,all,1.0,0.5,2.0,4.0,12,265761,265760,99.99962372206606,59233,206527,0,22.288154726068633,-0.061749815255308316,0.018257487739787557,0.9736982720507108,0.7941136334658447,20.443633353401566,77.36152919927754,2.194837447320891,2.3114840457555688,0.006675152578202304,1.1947598290904895,0.2986899572726223,-33.2870813971212,137.81894697322699,-0.0006174981525530832
bear_range25_body08_vol15_cp20__all__slip1bps__sl0.5atr__tp2atr__h72,bear_range25_body08_vol15_cp20,all,1.0,0.5,2.0,4.0,72,265761,265760,99.99962372206606,57286,208474,0,21.555538832028898,-0.06184802162998287,0.018159242066843877,0.9852789178874221,0.7966325350668733,21.54048765803733,78.44257977122216,0.01693257074051776,2.4887341962673086,0.006675152578202304,1.1947598290904895,0.2986899572726223,-33.2870813971212,137.81894697322699,-0.0006184802162998287
bear_range25_body08_vol15_cp20__all__slip1bps__sl0.5atr__tp2atr__h36,bear_range25_body08_vol15_cp20,all,1.0,0.5,2.0,4.0,36,265761,265760,99.99962372206606,57394,208366,0,21.59617700180614,-0.06192679998425896,0.01808043218861651,0.983853549447928,0.7961731139552579,21.48592715231788,78.38914810355207,0.12492474413004215,2.4705636664659845,0.006675152578202304,1.1947598290904895,0.2986899572726223,-33.2870813971212,137.81894697322699,-0.0006192679998425895
bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h12,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.5,3.0,6.0,12,194869,194860,99.99538151270853,36878,157982,0,18.92538232577235,-0.03582908441083963,0.04418859102557053,1.2568560996594615,0.879886314965788,12.248280816996818,80.55373088371138,7.197988299291799,3.038817612644976,0.007942369925878032,1.701178452942063,0.2835297421570108,-18.034790218598953,156.70535081455185,-0.0003582908441083963
bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h36,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.5,3.0,6.0,36,194869,194834,99.98203921608876,32066,162768,0,16.458113060348808,-0.03778734972957887,0.04222954208725605,1.2854093828569466,0.8776822753405474,15.50140119281029,83.48080930433086,1.017789502858844,3.7693523717626287,0.00794323506131634,1.7012374221340085,0.2835395703556685,-18.034790218598953,156.70535081455185,-0.0003778734972957887
bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h72,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.5,3.0,6.0,72,194869,194820,99.97485490252426,31311,163509,0,16.07175854635048,-0.03873413186138913,0.041282381091047295,1.2916069143510587,0.8753872868182062,15.898778359511342,83.9138692126065,0.18735242788214762,3.9348321527563903,0.007942491321762397,1.7012545492355993,0.28354242487260023,-18.034790218598953,156.70535081455185,-0.0003873413186138913
bear_body20_range22_vol20_cp20__all__slip1bps__sl0.5atr__tp3atr__h12,bear_body20_range22_vol20_cp20,all,1.0,0.5,3.0,6.0,12,255412,255402,99.99608475717665,48069,207333,0,18.82091761223483,-0.04606609251421482,0.03394748648037735,1.2047580114512997,0.8501920026035892,11.947439722476723,80.56945521178378,7.483105065739501,3.1117454052826523,0.007671041321568238,1.764357024218421,0.29405950403640324,-33.2870813971212,156.70535081455185,-0.0004606609251421482
bear_body20_range22_vol20_cp20__all__slip1bps__sl0.5atr__tp3atr__h36,bear_body20_range22_vol20_cp20,all,1.0,0.5,3.0,6.0,36,255412,255355,99.97768311590684,41427,213928,0,16.223296978715908,-0.04776657778484848,0.032246320743448874,1.2394460765856352,0.8504441407968826,15.2454426190989,83.7116954827593,1.0428618981418025,3.868375398954397,0.007671378856250842,1.7644370479673745,0.2940728413278955,-33.2870813971212,156.70535081455185,-0.00047766577784848484
bear_body20_range22_vol20_cp20__all__slip1bps__sl0.5atr__tp3atr__h72,bear_body20_range22_vol20_cp20,all,1.0,0.5,3.0,6.0,72,255412,255336,99.97024415454247,40419,214917,0,15.829730237804304,-0.04851815244791163,0.031494445330220416,1.2466800054694236,0.8490552451350696,15.654275151173355,84.15538741109754,0.19033743772910988,4.0374408622364255,0.007671078027332168,1.7644670419013242,0.2940778403168872,-33.2870813971212,156.70535081455185,-0.00048518152447911634
bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h12,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.5,2.0,4.0,12,191754,191754,100.0,43112,148642,0,22.482972975791903,-0.05082979393610615,0.029181878815419993,0.96555725393268,0.8241568027238321,20.850673258445717,77.22394317719579,1.9253835643585009,2.228636690760036,0.00800152817863508,1.1483244622373778,0.28708111555934446,-18.034790218598953,104.4435672097012,-0.0005082979393610615
bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h72,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.5,2.0,4.0,72,191754,191753,99.99947849849285,41893,149860,0,21.847376572987123,-0.05112246850922417,0.028889087125626055,0.9749959334676226,0.8251894967352781,21.832252950410165,78.15105891433251,0.01668813525733626,2.3803747529373727,0.008001310710010935,1.148324785302814,0.2870811963257035,-18.034790218598953,104.4435672097012,-0.0005112246850922416
bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.5atr__tp2atr__h36,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.5,2.0,4.0,36,191754,191754,100.0,41951,149803,0,21.877509726003108,-0.05126175851971025,0.02874974137684049,0.973825436418991,0.8245958439257205,21.785725460746583,78.1094527363184,0.10482180293501049,2.36490503457555,0.00800152817863508,1.1483244622373778,0.28708111555934446,-18.034790218598953,104.4435672097012,-0.0005126175851971025
bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.75atr__tp3atr__h12,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.75,3.0,4.0,12,194869,194848,99.98922352965326,48513,146335,0,24.89786910822795,-0.04991023908321044,0.030101801637444532,1.3924185527605102,0.8680590390925172,15.253428313351947,73.81702660535392,10.929545081294137,3.823657415010675,0.00794200173477249,1.701197930858595,0.42529948271464857,-27.007187327898443,156.70535081455185,-0.0004991023908321044
bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.75atr__tp3atr__h36,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.75,3.0,4.0,36,194869,194797,99.96305210166831,42236,152561,0,21.682058758605113,-0.05167029331543154,0.02834104310180923,1.4355268448146328,0.8704204587241146,20.10451906343527,78.14186050093174,1.7536204356329923,4.993880809252709,0.00794301006506768,1.70124790360726,0.4253119759018151,-27.007187327898443,156.70535081455185,-0.0005167029331543154
bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.75atr__tp3atr__h72,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.75,3.0,4.0,72,194869,194763,99.94560448301166,41056,153707,0,21.079979256840364,-0.0534854270937497,0.026525182979442022,1.4432920062490897,0.8672756405439765,20.788856199586164,78.88202584679843,0.3291179536154198,5.283796203591031,0.007941617559333763,1.7013345062732457,0.42533362656831136,-27.007187327898443,156.70535081455185,-0.000534854270937497
bear_body20_range22_vol20_cp20__all__slip1bps__sl0.5atr__tp2atr__h12,bear_body20_range22_vol20_cp20,all,1.0,0.5,2.0,4.0,12,251284,251284,100.0,56144,195140,0,22.342847137103835,-0.058357391680254445,0.02165126882727647,0.947601603324354,0.804478937056437,20.487973766734054,77.30535967272091,2.206666560545041,2.3256912497413285,0.007720312471300995,1.1912997037977233,0.29782492594943083,-33.2870813971212,104.4435672097012,-0.0005835739168025445
bear_body20_range22_vol20_cp20__all__slip1bps__sl0.5atr__tp2atr__h72,bear_body20_range22_vol20_cp20,all,1.0,0.5,2.0,4.0,72,251284,251282,99.99920408780504,54320,196962,0,21.617147268805564,-0.05854047722683731,0.021468110017169525,0.9598543838174791,0.806610867948839,21.6004329796802,78.38165885339976,0.017908166920034066,2.5027817352615784,0.007720073796364616,1.1912991213747461,0.29782478034368653,-33.2870813971212,104.4435672097012,-0.0005854047722683731
bear_body20_range22_vol20_cp20__all__slip1bps__sl0.5atr__tp2atr__h36,bear_body20_range22_vol20_cp20,all,1.0,0.5,2.0,4.0,36,251284,251283,99.99960204390251,54413,196870,0,21.65407130605731,-0.05868602817478018,0.021322500825549966,0.9582663014814274,0.8059476769555167,21.5438370283704,78.33080630205784,0.12535666957175773,2.4845652113354264,0.007720240865826012,1.1912987038239142,0.29782467595597856,-33.2870813971212,104.4435672097012,-0.0005868602817478018
bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.5atr__tp1.5atr__h12,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.5,1.5,3.0,12,184360,184360,100.0,49378,134982,0,26.783467129529182,-0.060064944472299715,0.01994303274079662,0.8191944170714217,0.7850363180113157,26.394554133217618,73.09828596224777,0.5071599045346062,1.741321327836841,0.008090534957653439,0.8850827640121628,0.2950275880040541,-18.034790218598953,78.3126754072759,-0.0006006494447229971
bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.5atr__tp1.5atr__h36,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.5,1.5,3.0,36,184360,184360,100.0,49140,135220,0,26.65437188110219,-0.06023385243389061,0.01977405718898507,0.821676732456274,0.7851475365583165,26.642438706877847,73.34345845085703,0.014102842265133433,1.771409199392493,0.008090534957653439,0.8850827640121628,0.2950275880040541,-18.034790218598953,78.3126754072759,-0.0006023385243389061
bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.5atr__tp1.5atr__h72,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.5,1.5,3.0,72,184360,184360,100.0,49132,135228,0,26.650032545020615,-0.06024564540533108,0.019762259498468368,0.8217917482244359,0.7851316423503719,26.647320459969627,73.3494250379692,0.0032545020611846383,1.7734541115209372,0.008090534957653439,0.8850827640121628,0.2950275880040541,-18.034790218598953,78.3126754072759,-0.0006024564540533108
