candidate_id,profile,trend_state,slippage_bps,stop_atr,target_atr,rr,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,tp_exit_rate_pct,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_tp_distance_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct,eligible_symbols,positive_symbols,positive_symbol_pct,eligible_quarters,positive_quarter_pct,ex_q4_trades,ex_q4_avg_net_return_pct,ex_q4_profit_factor,ex_q4_win_rate_pct,q4_2025_trades,q4_2025_avg_net_return_pct,q4_2025_profit_factor,q4_2025_win_rate_pct,y2026_trades,y2026_avg_net_return_pct,y2026_profit_factor,y2026_win_rate_pct
bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,12,203523,203523,100.0,70051,133472,0,34.419205691740004,-0.0722570907469587,0.0077460076561036975,0.6930410965325428,0.7382175313558377,34.35729622696206,65.54541747124404,0.09728630179390045,1.3709703571586505,0.008136815056136898,0.6793467908237425,0.33967339541187136,-33.28372547820872,52.18700978321109,-0.000722570907469587,595,53,8.907563025210084,25,8.0,181807.0,-0.07326231996688386,0.7264944116091991,34.037193287387176,21716.0,-0.06384128172195735,0.8145754482049472,37.61742494013631,2853.0,-0.1130584737536096,0.5931762436896205,30.07360672975815
bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,36,203523,203523,100.0,70020,133503,0,34.403973998024796,-0.07229502013800827,0.007708063087226594,0.6937519905848788,0.7382921320661956,34.40102592827346,65.59553465701666,0.003439414709885369,1.3763997189506838,0.008136815056136898,0.6793467908237425,0.33967339541187136,-33.28372547820872,52.18700978321109,-0.0007229502013800827,595,55,9.243697478991598,25,8.0,181807.0,-0.07328223206411351,0.7266406481261949,34.02399247553725,21716.0,-0.064030052434499,0.8141816138947575,37.58519064284398,2853.0,-0.11355663522186081,0.5920269120307715,30.003505082369436
bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h72,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,72,203523,203523,100.0,70019,133504,0,34.403482653066234,-0.0722898031660988,0.0077132821467598735,0.6938092756177524,0.7383225127674741,34.40249996314913,65.59651734693375,0.0009826899171101054,1.3769844194513643,0.008136815056136898,0.6793467908237425,0.33967339541187136,-33.28372547820872,52.18700978321109,-0.000722898031660988,595,55,9.243697478991598,25,8.0,181807.0,-0.07327668651860506,0.7266751846477293,34.023442441710166,21716.0,-0.06402758629056472,0.8141887707667006,37.58519064284398,2853.0,-0.113450602790625,0.5924078530326923,30.003505082369436
bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1.5atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.5,3.0,12,241597,241597,100.0,66668,174929,0,27.594713510515444,-0.050276501980472094,0.029735392176398454,0.8138263659459778,0.8197017106316358,27.087670790614123,72.255036279424,0.6572929299618786,1.8464881600350997,0.0077989621173176985,0.918701217766878,0.3062337392556264,-33.28372547820872,78.32051467481664,-0.000502765019804721,595,103,17.310924369747898,26,7.6923076923076925,215717.0,-0.05403435447180056,0.8012638557257827,27.199525303986245,25880.0,-0.018953756003969095,0.9437375290728349,30.8887171561051,3618.0,-0.11632268980461107,0.5776813353549035,23.548922056384743
bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1.5atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.5,3.0,36,241597,241597,100.0,66268,175329,0,27.429148540751747,-0.05034389505523207,0.029667972133621337,0.817436000393789,0.8202711956124001,27.408039007106876,72.56712624742858,0.02483474546455461,1.8868156475452924,0.0077989621173176985,0.918701217766878,0.3062337392556264,-33.28372547820872,78.32051467481664,-0.0005034389505523207,595,101,16.974789915966387,26,7.6923076923076925,215717.0,-0.05416561625405592,0.8016655606100616,27.03449426795292,25880.0,-0.01848878563302646,0.9453839909216619,30.71870170015456,3618.0,-0.11567521215856909,0.5824769298831908,23.35544499723604
bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1.5atr__h72,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.5,3.0,72,241597,241597,100.0,66250,175347,0,27.42169811711238,-0.050339929186198736,0.029671939589637077,0.817912570951173,0.8203382030517198,27.417972905292697,72.5774740580388,0.004553036668501678,1.890602946228637,0.0077989621173176985,0.918701217766878,0.3062337392556264,-33.28372547820872,78.32051467481664,-0.0005033992918619873,595,101,16.974789915966387,26,7.6923076923076925,215717.0,-0.054138018168395786,0.8018236074219874,27.02846785371575,25880.0,-0.018681800864228198,0.9448324889267158,30.699381761978362,3618.0,-0.11517080742266808,0.5842975499623322,23.35544499723604
bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp2atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,2.0,4.0,12,251285,251285,100.0,58362,192923,0,23.225421334341483,-0.041541523774565395,0.03847386577174328,0.9486582311209963,0.8558827567522341,21.30847444137135,76.44069482858109,2.2508307300475554,2.360602503133892,0.007720264349148889,1.1914152863443979,0.29785382158609947,-33.28372547820872,104.45401956642218,-0.000415415237745654,596,121,20.302013422818792,26,11.538461538461538,224539.0,-0.04650940267852493,0.8345287473367463,22.900253408093917,26746.0,0.00016499537656605037,1.0004734581077883,25.955283032976894,3811.0,-0.10279481858740422,0.6283439775346357,20.62450800314878
bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp2atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,2.0,4.0,36,251285,251285,100.0,56557,194728,0,22.50711343693416,-0.04199943651962762,0.0380157697882877,0.9592180838947958,0.8562556919232195,22.391308673418628,77.47736633702768,0.131324989553694,2.5228803947708776,0.007720264349148889,1.1914152863443979,0.29785382158609947,-33.28372547820872,104.45401956642218,-0.0004199943651962762,596,123,20.63758389261745,26,11.538461538461538,224539.0,-0.04716069633787312,0.8344738489180628,22.18144732095538,26746.0,0.0013305611745704166,1.0037672081241853,25.241157556270092,3811.0,-0.10123888558815852,0.6397166963744311,19.81107320913146
bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp2atr__h72,bear_body20_range22_vol20_cp20,all,0.0,0.5,2.0,4.0,72,251285,251285,100.0,56457,194828,0,22.46731798555425,-0.04185430206385116,0.03816096232107723,0.9608013288571428,0.8568922001809934,22.45139980500229,77.53148815090435,0.01711204409336013,2.541249975127843,0.007720264349148889,1.1914152863443979,0.29785382158609947,-33.28372547820872,104.45401956642218,-0.00041854302063851163,596,125,20.973154362416107,26,11.538461538461538,224539.0,-0.04704488176665378,0.835042282213271,22.143146624862496,26746.0,0.0017218430003672818,1.0048704482612347,25.188813280490542,3811.0,-0.10176051592784129,0.6385058473885911,19.732353712936238
bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp3atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,3.0,6.0,12,255414,255414,100.0,50009,205405,0,19.579584517685014,-0.02845302829955721,0.05156759873993871,1.207225007145682,0.9043215148095105,12.452723813103432,79.83861495454438,7.70866123235218,3.181767639988411,0.007672610943146077,1.764509705013205,0.29408495083553415,-33.28372547820872,156.7210293496333,-0.0002845302829955721,596,163,27.348993288590606,26,26.923076923076923,228344.0,-0.036287304344649614,0.874854733531481,19.309024979854954,27070.0,0.037631564579666,1.1045398098423043,21.861839674916883,3883.0,-0.0855825514325308,0.6934855887201015,18.593870718516612
