rank,candidate_id,profile,trend_state,slippage_bps,stop_atr,target_atr,rr,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,tp_exit_rate_pct,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_tp_distance_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct,ex_q4_trades,ex_q4_avg_net_return_pct,ex_q4_profit_factor,ex_q4_win_rate_pct,q4_2025_trades,q4_2025_avg_net_return_pct,q4_2025_profit_factor,q4_2025_win_rate_pct,y2026_trades,y2026_avg_net_return_pct,y2026_profit_factor,y2026_win_rate_pct,eligible_symbols,positive_symbols,positive_symbol_pct,eligible_quarters,positive_quarter_pct,robust_pass
1,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,12,195542,195532,99.99488600914381,37301,158231,0,19.076672871959577,-0.03444555192810776,0.0455726771427493,1.3308805186573696,0.8840436473796714,12.382627907452488,80.4006505329051,7.216721559642411,3.03038377349999,0.007088735248380909,1.6948851292139497,0.28248085486899166,-18.034790218598953,206.76842045984057,-0.00034445551928107763,174205,-0.04559785789382476,0.8435502719789781,18.68775293476077,21327,0.05664965418422525,1.1652467403399704,22.253481502321,2627,-0.07671122498758935,0.6971911776332013,18.081461743433575,595,142,23.865546218487395,26,23.076923076923077,False
2,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h12,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.5,3.0,6.0,12,194869,194860,99.99538151270853,36878,157982,0,18.92538232577235,-0.03582908441083963,0.04418859102557053,1.2568560996594615,0.879886314965788,12.248280816996818,80.55373088371138,7.197988299291799,3.038817612644976,0.007942369925878032,1.701178452942063,0.2835297421570108,-18.034790218598953,156.70535081455185,-0.0003582908441083963,173989,-0.04628063876919865,0.8420344916081174,18.527033318198278,20871,0.051299251138799566,1.1497393307403463,22.24617890853337,2635,-0.08038358898200697,0.6884127269457223,18.59582542694497,596,150,25.16778523489933,26,23.076923076923077,False
3,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,36,195542,195503,99.98005543566089,32391,163112,0,16.5680322041094,-0.03684034725474727,0.043176923514658634,1.3583649185984432,0.8803153492064415,15.609990639529828,83.37058766361642,1.0194216968537566,3.766755497358097,0.007089439655048261,1.6949432686871475,0.28249054478119134,-18.034790218598953,206.76842045984057,-0.00036840347254747267,174179,-0.047139773227334245,0.8438376208004522,16.211483588721947,21324,0.04728757041919892,1.1326826309956237,19.480397673982367,2626,-0.06181783216662696,0.7625758840147855,16.146230007616147,595,144,24.201680672268907,26,23.076923076923077,False
4,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h36,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.5,3.0,6.0,36,194869,194834,99.98203921608876,32066,162768,0,16.458113060348808,-0.03778734972957887,0.04222954208725605,1.2854093828569466,0.8776822753405474,15.50140119281029,83.48080930433086,1.017789502858844,3.7693523717626287,0.00794323506131634,1.7012374221340085,0.2835395703556685,-18.034790218598953,156.70535081455185,-0.0003778734972957887,173964,-0.04737963899464272,0.8437613305446127,16.09183509231795,20870,0.04217014953767445,1.118375011108619,19.51126018207954,2634,-0.057063826375247866,0.7838171789861752,16.856492027334852,596,148,24.832214765100673,26,23.076923076923077,False
5,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,72,195542,195486,99.97136165120537,31589,163897,0,16.159213447510307,-0.03802544689030115,0.04199134964955863,1.36299961962843,0.8772626027881817,16.008819045865177,83.82697482172637,0.16420613240845894,3.9292020911983467,0.007088449207432798,1.6949811301838507,0.28249685503064187,-18.034790218598953,206.76842045984057,-0.0003802544689030115,174163,-0.04842537564600674,0.8406355863141138,15.794973674086918,21323,0.04691957922609655,1.1309230285207457,19.134268161140554,2625,-0.06106551875694778,0.7668846621437597,15.847619047619046,595,143,24.03361344537815,26,23.076923076923077,False
6,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h72,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.5,3.0,6.0,72,194869,194820,99.97485490252426,31311,163509,0,16.07175854635048,-0.03873413186138913,0.041282381091047295,1.2916069143510587,0.8753872868182062,15.898778359511342,83.9138692126065,0.18735242788214762,3.9348321527563903,0.007942491321762397,1.7012545492355993,0.28354242487260023,-18.034790218598953,156.70535081455185,-0.0003873413186138913,173952,-0.04852696227556506,0.8409896986855087,15.696284032376747,20868,0.04289719055603149,1.1198332207717867,19.201648456967607,2632,-0.05559800295725214,0.7906377020363488,16.60334346504559,596,152,25.503355704697988,26,23.076923076923077,False
7,bear_body20_range22_vol20_cp20__all__slip1bps__sl0.5atr__tp3atr__h12,bear_body20_range22_vol20_cp20,all,1.0,0.5,3.0,6.0,12,255412,255402,99.99608475717665,48069,207333,0,18.82091761223483,-0.04606609251421482,0.03394748648037735,1.2047580114512997,0.8501920026035892,11.947439722476723,80.56945521178378,7.483105065739501,3.1117454052826523,0.007671041321568238,1.764357024218421,0.29405950403640324,-33.2870813971212,156.70535081455185,-0.0004606609251421482,228332,-0.05387243858334774,0.8204881554547863,18.549743356165582,27070,0.019779441680733867,1.0534749230345388,21.108237901736242,3883,-0.10577562127634464,0.6351578990398029,17.58949266031419,596,119,19.966442953020135,26,11.538461538461538,False
8,bear_body20_range22_vol20_cp20__all__slip1bps__sl0.5atr__tp3atr__h36,bear_body20_range22_vol20_cp20,all,1.0,0.5,3.0,6.0,36,255412,255355,99.97768311590684,41427,213928,0,16.223296978715908,-0.04776657778484848,0.032246320743448874,1.2394460765856352,0.8504441407968826,15.2454426190989,83.7116954827593,1.0428618981418025,3.868375398954397,0.007671378856250842,1.7644370479673745,0.2940728413278955,-33.2870813971212,156.70535081455185,-0.00047766577784848484,228287,-0.054521188228911374,0.8249867070171998,15.984265420282364,27068,0.009200680765608853,1.023853912197945,18.239249298064134,3882,-0.09547174497785622,0.6817143679638159,15.430190623390006,596,121,20.302013422818792,26,15.384615384615385,False
9,bear_body20_range22_vol20_cp20__all__slip1bps__sl0.5atr__tp3atr__h72,bear_body20_range22_vol20_cp20,all,1.0,0.5,3.0,6.0,72,255412,255336,99.97024415454247,40419,214917,0,15.829730237804304,-0.04851815244791163,0.031494445330220416,1.2466800054694236,0.8490552451350696,15.654275151173355,84.15538741109754,0.19033743772910988,4.0374408622364255,0.007671078027332168,1.7644670419013242,0.2940778403168872,-33.2870813971212,156.70535081455185,-0.00048518152447911634,228270,-0.05528685937172632,0.8236556398616166,15.589433565514522,27066,0.0085679603688758,1.0220726902829704,17.856351141653732,3880,-0.09439441683759472,0.6866471509842806,15.206185567010309,596,123,20.63758389261745,26,15.384615384615385,False
10,bear_range25_body08_vol15_cp20__all__slip1bps__sl0.5atr__tp3atr__h12,bear_range25_body08_vol15_cp20,all,1.0,0.5,3.0,6.0,12,270420,270407,99.99519266326456,50735,219672,0,18.76245807246114,-0.048962424884247346,0.031049995113798107,1.2513337817686467,0.8414116581571152,12.045176345286919,80.62291286837988,7.331910786333194,3.080556346544283,0.006627411649236689,1.76796666746061,0.2946611112434348,-33.2870813971212,206.76842045984057,-0.0004896242488424735,240962,-0.05674210343005715,0.8113287134814116,18.532797702542307,29445,0.014702268671718262,1.0392949245904681,20.64187468160978,4073,-0.10389828907968476,0.6394259005383734,17.284556837711758,596,104,17.449664429530202,26,7.6923076923076925,False
