symbol,file,bars,first_ts,last_ts,raw_profile_events,eligible_scenario_events
42,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\42_5m.csv,15648,2025-11-18 22:40:00,2026-01-12 06:35:00,83,15444
4,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\4_5m.csv,25733,2025-10-08 20:30:00,2026-01-12 06:35:00,104,20196
A2Z,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\A2Z_5m.csv,45936,2025-07-30 17:00:00,2026-01-12 06:45:00,173,30564
A,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\A_5m.csv,64083,2025-05-28 17:00:00,2026-01-12 06:55:00,283,46143
AAVE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AAVE_5m.csv,551197,2020-10-16 16:00:00,2026-01-12 13:00:00,2255,392499
ACE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACE_5m.csv,215873,2023-12-18 19:00:00,2026-01-12 08:30:00,727,135918
ACH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACH_5m.csv,303679,2023-02-22 23:30:00,2026-01-12 10:00:00,1151,202932
ACT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACT_5m.csv,121070,2024-11-11 21:15:00,2026-01-12 07:35:00,377,65475
ACX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACX_5m.csv,113836,2024-12-07 00:00:00,2026-01-12 07:30:00,451,81162
ADA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ADA_5m.csv,625803,2020-01-31 17:00:00,2026-01-12 15:10:00,2702,463320
AERGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AERGO_5m.csv,76147,2025-04-16 20:00:00,2026-01-12 07:05:00,542,86076
AERO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AERO_5m.csv,114421,2024-12-04 23:15:00,2026-01-12 07:30:00,470,81972
AEVO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AEVO_5m.csv,191055,2024-03-13 22:30:00,2026-01-12 08:10:00,575,108594
AGIX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AGIX_5m.csv,305412,2023-02-16 23:15:00,2026-01-12 10:10:00,496,90423
AGLD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AGLD_5m.csv,256878,2023-07-29 11:30:00,2026-01-12 09:15:00,1101,189459
AGT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AGT_5m.csv,66357,2025-05-20 19:30:00,2026-01-12 06:55:00,273,50976
AI16Z,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AI16Z_5m.csv,106071,2025-01-02 22:45:00,2026-01-12 07:20:00,237,45576
AI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AI_5m.csv,209794,2024-01-08 21:30:00,2026-01-12 08:25:00,719,134163
AIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIA_5m.csv,31530,2025-09-18 17:30:00,2026-01-12 06:40:00,83,12312
AIN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIN_5m.csv,51665,2025-07-10 19:45:00,2026-01-12 06:50:00,317,57267
AIO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIO_5m.csv,41863,2025-08-13 20:30:00,2026-01-12 06:45:00,231,40554
AIOT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIOT_5m.csv,72094,2025-04-30 21:30:00,2026-01-12 07:00:00,315,57942
AIXBT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIXBT_5m.csv,109759,2024-12-21 03:30:00,2026-01-12 07:25:00,272,51327
AKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AKE_5m.csv,29178,2025-09-26 21:30:00,2026-01-12 06:40:00,179,32886
AKT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AKT_5m.csv,119062,2024-11-18 20:30:00,2026-01-12 07:30:00,673,112347
ALCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALCH_5m.csv,104655,2025-01-07 20:45:00,2026-01-12 07:20:00,533,92016
ALGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALGO_5m.csv,586326,2020-06-16 18:00:00,2026-01-12 14:25:00,2555,456246
ALICE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALICE_5m.csv,507747,2021-03-16 12:00:00,2026-01-12 12:10:00,1908,356346
ALL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALL_5m.csv,43903,2025-08-06 18:30:00,2026-01-12 06:45:00,307,45468
ALLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALLO_5m.csv,15649,2025-11-18 22:35:00,2026-01-12 06:35:00,35,6210
ALPACA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPACA_5m.csv,144428,2024-08-22 19:30:00,2026-01-12 07:55:00,347,65637
ALPHA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPHA_5m.csv,540251,2020-11-23 16:00:00,2026-01-12 12:50:00,2359,424845
ALPINE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPINE_5m.csv,70400,2025-05-06 18:45:00,2026-01-12 07:00:00,346,57321
ALT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALT_5m.csv,204879,2024-01-25 23:00:00,2026-01-12 08:25:00,691,128142
AMB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AMB_5m.csv,291624,2023-03-30 21:00:00,2026-01-12 09:45:00,817,147690
ANIME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ANIME_5m.csv,99982,2025-01-24 02:00:00,2026-01-12 07:15:00,324,57051
ANKR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ANKR_5m.csv,521815,2021-01-26 16:00:00,2026-01-12 12:30:00,2675,464805
APE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APE_5m.csv,402178,2022-03-18 00:00:00,2026-01-12 10:45:00,1436,266868
API3,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\API3_5m.csv,408941,2022-02-22 12:30:00,2026-01-12 10:50:00,1982,353475
APR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APR_5m.csv,21425,2025-10-23 19:30:00,2026-01-12 06:35:00,93,17496
APT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APT_5m.csv,340122,2022-10-19 11:00:00,2026-01-12 10:25:00,1109,198099
AR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AR_5m.csv,451281,2021-09-28 12:30:00,2026-01-12 11:10:00,2127,390501
ARB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARB_5m.csv,293607,2023-03-24 00:00:00,2026-01-12 09:50:00,1043,185463
ARC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARC_5m.csv,101758,2025-01-17 22:00:00,2026-01-12 07:15:00,362,67068
ARIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARIA_5m.csv,35819,2025-09-03 20:00:00,2026-01-12 06:40:00,243,42795
ARK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARK_5m.csv,241755,2023-09-19 23:30:00,2026-01-12 09:05:00,1296,216693
ARKM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARKM_5m.csv,257165,2023-07-28 11:45:00,2026-01-12 09:20:00,725,134622
ARPA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARPA_5m.csv,445232,2021-10-19 12:30:00,2026-01-12 11:05:00,2106,364680
