quarter,candidate_id,profile,trend_state,slippage_bps,stop_atr,target_atr,rr,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,tp_exit_rate_pct,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_tp_distance_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct
2025Q3,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,12,15585,15583,99.98716714789863,2668,12915,0,17.121221844317525,-0.0823657486552822,-0.0023666953334154878,0.7885951258829447,0.7063623787528667,9.869729833793237,82.06378746069434,8.066482705512417,3.136430725790926,0.0112319969504575,1.5390403553296925,0.2565067258882823,-11.70133139287057,22.31453423971951,-0.0008236574865528221
2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,12,21328,21327,99.99531132783196,4746,16581,0,22.253481502321,0.05664965418422525,0.1367043359185928,3.156042337036241,1.1652467403399704,15.327987996436443,77.21198480798988,7.460027195573686,3.24302527312796,0.01394959546482521,2.142561932746048,0.35709365545767463,-18.034790218598953,206.76842045984057,0.0005664965418422525
2026Q1,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,12,2627,2627,100.0,475,2152,0,18.081461743433575,-0.07671122498758935,0.003290091048830182,1.0327649979334528,0.6971911776332013,10.163684811572136,81.38561096307575,8.450704225352112,3.1903311762466693,0.01294350304108887,1.334378315532722,0.2223963859221207,-4.365428870331389,43.364726445592225,-0.0007671122498758935
2025Q3,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,36,15585,15581,99.97433429579723,2197,13384,0,14.100507027790258,-0.08296760971039277,-0.002968797229284521,0.8883366895274252,0.7178391725606412,13.343174379051408,85.82247609267698,0.8343495282716129,3.9148963481162955,0.011231358967459075,1.5389296162307053,0.2564882693717845,-11.70133139287057,30.120270743492927,-0.0008296760971039278
2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,36,21328,21324,99.98124531132783,4154,17170,0,19.480397673982367,0.04728757041919892,0.1273385058215276,3.1704707268918852,1.1326826309956237,18.575314199962484,80.47739636090789,0.9472894391296193,3.9526824235603075,0.013952003294537031,2.1426760972836822,0.3571126828806136,-18.034790218598953,206.76842045984057,0.0004728757041919892
2026Q1,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,36,2627,2626,99.96193376475067,424,2202,0,16.146230007616147,-0.06181783216662696,0.018189443610817316,1.0650416023685212,0.7625758840147855,15.346534653465346,83.81568926123381,0.8377760853008377,4.02018278750952,0.012913285984627473,1.3346742694778104,0.2224457115796354,-4.365428870331389,43.364726445592225,-0.0006181783216662696
2025Q3,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,72,15585,15580,99.96791786974654,2156,13424,0,13.838254172015404,-0.08345411831075328,-0.003455500510957659,0.8890812944947687,0.7176014639782703,13.664955070603337,86.15532734274711,0.1797175866495507,4.0520539152759945,0.011229325473635322,1.5389573592954018,0.2564928932159005,-11.70133139287057,30.120270743492927,-0.0008345411831075328
2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,72,21328,21323,99.97655663915978,4080,17243,0,19.134268161140554,0.04691957922609655,0.1269703673730458,3.1739590787713396,1.1309230285207457,18.979505698072504,80.85635229564319,0.16414200628429396,4.113445575200488,0.013951136440167296,2.1426896233685286,0.357114937228088,-18.034790218598953,206.76842045984057,0.0004691957922609655
2026Q1,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,72,2627,2625,99.92386752950134,416,2209,0,15.847619047619046,-0.06106551875694778,0.018942058066278692,1.1014596764575149,0.7668846621437597,15.695238095238096,84.15238095238095,0.1523809523809524,4.164571428571429,0.012902725755035661,1.3349208259542595,0.22248680432571027,-4.365428870331389,43.364726445592225,-0.0006106551875694778
2025Q3,bear_range25_body08_vol15_cp20__all__slip1bps__sl0.5atr__tp3atr__h12,bear_range25_body08_vol15_cp20,all,1.0,0.5,3.0,6.0,12,23887,23885,99.99162724494495,4125,19760,0,17.270253297048356,-0.08213925476421255,-0.002140110808535903,0.9409254372335633,0.7366269988811895,10.4291396273812,81.90914800083735,7.661712371781452,3.165626962528784,0.010043422169171156,1.7675302506284603,0.2945883751047434,-11.70133139287057,22.31453423971951,-0.0008213925476421255
