symbol,file,accepted_nonoverlap_trades
ARPA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARPA_5m.csv,31239
ASR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASR_5m.csv,4476
ASTER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASTER_5m.csv,1518
ASTR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASTR_5m.csv,19041
AT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AT_5m.csv,996
ATA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATA_5m.csv,26441
ATH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATH_5m.csv,5694
ATOM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATOM_5m.csv,43715
AUCTION,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AUCTION_5m.csv,13587
AVA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVA_5m.csv,6876
AVAAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVAAI_5m.csv,5172
AVAX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVAX_5m.csv,33144
AVNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVNT_5m.csv,2004
AWE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AWE_5m.csv,5601
AXL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AXL_5m.csv,10863
AXS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AXS_5m.csv,37509
B2,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B2_5m.csv,7182
B3,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B3_5m.csv,7383
B,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B_5m.csv,7137
BABY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BABY_5m.csv,4449
BADGER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BADGER_5m.csv,8805
BAKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAKE_5m.csv,32868
BAL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAL_5m.csv,38280
BAN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAN_5m.csv,9039
BANANA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANANA_5m.csv,8595
BANANAS31,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANANAS31_5m.csv,4833
BAND,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAND_5m.csv,39356
BANK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANK_5m.csv,6615
BARD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BARD_5m.csv,2058
BAS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAS_5m.csv,2304
BAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAT_5m.csv,47024
BB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BB_5m.csv,8858
BCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BCH_5m.csv,45300
BDXN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BDXN_5m.csv,4722
BEAMX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEAMX_5m.csv,12402
BEAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEAT_5m.csv,918
BEL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEL_5m.csv,36654
BERA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BERA_5m.csv,4578
BICO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BICO_5m.csv,12786
BID,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BID_5m.csv,5886
BIGTIME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BIGTIME_5m.csv,14512
BIO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BIO_5m.csv,4794
BLESS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLESS_5m.csv,1866
BLUAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLUAI_5m.csv,1410
