symbol,horizon,events,up_rate_pct,avg_ret_pct,med_ret_pct,avg_abs_ret_pct,med_abs_ret_pct,avg_mfe_pct,med_mfe_pct,avg_mae_pct,med_mae_pct,avg_max_abs_excursion_pct,med_max_abs_excursion_pct,avg_realized_vol_pct,p75_abs_ret_pct,p90_abs_ret_pct,p75_max_abs_excursion_pct,p90_max_abs_excursion_pct
0G,12,114,56.14035087719298,0.22979247542853973,0.1305119932411669,0.7975377495077252,0.629758024120447,0.8996058204935279,0.6749384992282392,-0.6391021331449769,-0.5642782247244571,1.2192559482328587,0.9608954317952945,0.8458007903470061,0.9917385110964405,1.500474589691948,1.3704628870012225,2.0384291278299043
0G,36,114,54.385964912280706,0.26504149970770985,0.11678855846506409,1.3615901196895401,1.0820857476985746,1.8915297040608023,1.347502059420802,-1.267839810169439,-1.01599941015999,2.4572163551455075,1.9310170005421234,1.897689639882026,1.6221896804203717,2.587782605942153,3.027382620315028,4.70402424753621
0G,72,114,44.73684210526316,0.3006862398763236,-0.2830617288779036,2.5897803382721096,1.4765512614614562,2.9816166691616943,1.8756667724544762,-2.1738103845581564,-1.6230753569737022,4.042430352281895,2.9837985657706567,2.994542546745242,2.905619526108927,5.965580974931616,4.272631704557867,8.108777147293646
0G,288,114,42.10526315789473,0.29009930395082556,-0.6457605442818148,5.834270443592443,3.2585032220379784,6.459739931863949,3.4229428828134734,-5.50551130386464,-4.024973337296323,9.1688342333641,6.41101554053915,7.153506882976448,7.397398268828967,10.28396189793277,10.130066145001804,14.390964998533486
1000000BOB,12,105,45.714285714285715,0.04091009865771589,-0.03920031360251652,1.0077706792058627,0.7429614181439059,1.1162112910404436,0.8327645051194432,-1.169025450610424,-0.8161044613710589,1.7588477896108494,1.4925373134328401,1.2573537347301105,1.5249714067861353,2.242457114948216,2.360060514372142,3.2262363298713823
1000000BOB,36,105,48.57142857142857,0.0448582370879151,-0.2356780275561965,1.9185266448008864,1.4054813773717534,2.18625635293305,1.626175548589326,-2.1898528763503173,-1.2837136929460424,3.4992912161458283,3.0445261956108083,2.5193500871471435,2.436459246275202,3.7846202718957023,4.187817258883253,6.433184844835892
1000000BOB,72,105,46.666666666666664,0.06588577645975909,-0.1591343093570785,2.7815751356377127,2.0487050637804316,3.2320861217321566,2.397564379043504,-2.9515770193203212,-1.9821126420111024,4.943856200415449,3.8461538461538547,3.743524972338749,3.3910937208869063,6.27399768884587,5.442176870748305,8.89399616958045
1000000BOB,288,105,42.857142857142854,-2.2845704039927917,-1.128349788434424,8.046700718882558,6.77506775067751,6.34024928909915,3.1913541004449986,-8.904896089184888,-5.2617003600110905,12.92823493753634,11.294333202460404,9.24661196730146,9.727225939269168,15.649702899036825,16.35540464063383,24.603596177440348
1000000MOG,12,218,48.62385321100918,0.09450370259274088,-0.014403405688484527,0.850019233840496,0.569456851435568,0.9293166237983563,0.6520212316336482,-0.7880736168866391,-0.5646147788302414,1.386072986083033,1.0925416951684364,0.9921410465556388,1.0902014757509793,2.0021449046991937,1.5966334745680433,2.5978063955325172
1000000MOG,36,218,49.08256880733945,0.10097023888801118,-0.026061181159664493,1.4408770764038505,1.02298577077381,1.5995344996287928,1.0879399361583997,-1.4603210768861177,-1.1518320857046849,2.4339476523993837,2.0304420891893713,1.8948503189413313,1.7491835662965443,3.401637434586801,3.067787145449352,4.682801890154664
1000000MOG,72,218,48.62385321100918,0.3014587315910656,-0.047030366165728976,2.1832600912947884,1.5127499756987905,2.4091861396604366,1.6360291146269357,-2.1745268999313287,-1.5724642578994696,3.680433731429873,2.9087622257753187,2.860309248548477,2.8876648891383585,5.009406909731223,4.479607717732478,7.0336118833836965
1000000MOG,288,218,52.293577981651374,1.0645579960655773,0.45438368547452423,5.255391991507567,4.065613736463342,6.393315259950224,4.451110492793231,-4.379345410899372,-3.166279292284652,8.84983191232366,7.958417134117946,6.771632647934668,7.870005847809924,10.938919821410183,11.039318871242372,15.20378658954125
1000BONK,12,658,47.56838905775076,-0.012709463752498661,-0.03558624251815412,0.7421865682851831,0.5057012312288445,0.7935586345809191,0.5382961169634326,-0.7790084600755157,-0.5790621261146822,1.2545896509274086,0.9780195418031212,0.9421896821956236,0.9905620199977483,1.6077825743320324,1.509526258939775,2.210643053562591
1000BONK,36,658,47.11246200607903,-5.65329967680977e-05,-0.09227666340604346,1.3679001103740052,0.867983082609658,1.5551756469964872,1.0335809745638747,-1.4891452959854201,-1.062245206332274,2.4008360956478287,1.8194049155266845,1.8783107167548263,1.704171974021479,3.259564905007878,2.870090630340552,4.509952436309508
1000BONK,72,658,48.48024316109423,0.08690380089652475,-0.03519462396853745,2.161392948541874,1.3281368519594439,2.4119176380725134,1.5309627674226722,-2.211361104017934,-1.5587274700041953,3.60073745491113,2.6701912097905236,2.8760579079029336,2.786955250297349,5.02293222711878,4.567328423125641,7.156777969485381
1000BONK,288,658,45.2887537993921,-0.08871118883245602,-0.5806367307738924,4.671315516371605,3.466040991935382,5.344256752434524,3.631805249476716,-5.110422468701633,-3.630939172431802,8.185510207121396,6.553576905080871,6.64507965951071,5.986747056771111,10.819759786907255,9.964791283830206,14.71617180850326
