run_bucket,horizon,events,up_rate_pct,avg_ret_pct,med_ret_pct,avg_abs_ret_pct,med_abs_ret_pct,avg_mfe_pct,med_mfe_pct,avg_mae_pct,med_mae_pct,avg_max_abs_excursion_pct,med_max_abs_excursion_pct,avg_realized_vol_pct,p75_abs_ret_pct,p90_abs_ret_pct,p75_max_abs_excursion_pct,p90_max_abs_excursion_pct
>=10,12,19492,48.189000615637184,-0.013750669470496742,-0.00624935406701721,0.707815921976923,0.478267116148523,0.739514526304917,0.4886843278093411,-0.7397807091262149,-0.5035115374228349,1.1803826328980025,0.9180358441920833,0.874559201225604,0.9312016711141791,1.5568919005578579,1.4539965071119072,2.2146280431107197
>=10,36,19492,47.46049661399548,-0.028016501718769796,-0.04737616702051306,1.3378869010198147,0.856794863429089,1.477453137924915,0.9514573625119538,-1.4573920088686865,-1.0046535661406064,2.327764307075292,1.7780630490645821,1.8065242007922582,1.7155762664132017,3.032156769457503,2.8587356770601287,4.461720408901581
>=10,72,19492,46.03427046993638,-0.07756112210211695,-0.13257589505047962,2.0457832524061446,1.3111372892180506,2.2746122921834475,1.422281210954901,-2.245739774071724,-1.5561028356703754,3.5803445948576185,2.730938654828763,2.7987124836786488,2.616826884633489,4.574078821620915,4.380285812733575,6.759982465015189
>=10,288,19492,45.59306382105479,-0.1611492321800209,-0.3690290219239112,4.485035949439846,2.9487937183897586,5.076104510327952,2.9919700396982996,-4.971326318813412,-3.630531451834784,7.968360950309458,6.029946022637105,6.337029050700887,5.764267361313571,9.80326998175732,9.553781106198642,14.560174568646275
>=20,12,1126,42.53996447602131,-0.019377631236421465,-0.0038205853136685786,0.8073945408481509,0.5110178228079187,0.8356621347639918,0.4600270656563987,-0.8456464645559499,-0.5784019314991784,1.3646462580311767,1.0468566534594936,0.9816909330513487,1.0686513606653902,1.8485391390213934,1.757258316873428,2.695877052805079
>=20,36,1126,43.3392539964476,-0.027510111894479834,0.0,1.5710736807663708,0.9284314279915995,1.6930059148881162,0.9906079358275366,-1.6649022463741214,-1.1478644996970766,2.6669078114001374,2.0386923631082574,2.0533931085420973,2.121029753694634,3.986732855476427,3.498270278700974,5.409253228554006
>=20,72,1126,42.36234458259325,-0.20637651120517986,-0.03418255568129469,2.372940024629942,1.3934404952265278,2.5767437248893152,1.4737255475308464,-2.66520698736914,-1.7327925857107296,4.160596132621791,3.2131701932308907,3.1915831526661402,3.1297158491859127,5.7420284049179315,5.550313615491162,8.258829440816829
>=20,288,1126,39.786856127886324,-0.27119527512261177,-0.28433410456584207,5.071275204087927,3.2659600090189866,5.69250432346682,3.1538622408223027,-5.724753207943551,-4.210952748007863,8.965041309402586,7.087936477922979,7.043647373880094,6.883011954484244,11.700758936702844,11.583598058478744,17.613817768547833
>=40,12,93,10.75268817204301,0.042465329557876345,0.0,0.24121799679987824,0.0,0.25619980312845975,0.0,-0.17823024609659302,0.0,0.3650732668485639,0.0,0.2690676110219869,0.0,0.8497600616013122,0.0,1.7834337185269722
>=40,36,93,13.978494623655912,0.1194315440916386,0.0,0.30601418574377603,0.0,0.49791518287891445,0.0,-0.2703069449387666,0.0,0.6187801009000194,0.0,0.5219694016422349,0.0,1.0226277244913708,0.0,3.220835373637322
>=40,72,93,9.67741935483871,0.3236967814375835,0.0,0.7823927404744425,0.0,1.0317164096777716,0.0,-0.4218422366469272,0.0,1.203080267098564,0.0,0.8646582209741918,0.0,1.5500509896519254,0.0,4.30440843271548
>=40,288,93,7.526881720430108,0.10571360923597516,0.0,1.0644043546300996,0.0,1.5634331179906085,0.0,-1.3497925126616166,0.0,2.2396571444288087,0.0,1.7493249738700098,0.0,4.27430590814882,0.0,9.528010346090225
>=5,12,186301,48.74369971175678,-0.0046634097030298334,0.0,0.6322005121318119,0.4231625835189323,0.6623964159232846,0.4432132963988922,-0.6685557474755862,-0.45604654819940693,1.0629808751003884,0.8203643382796555,0.7905440165635573,0.8209116439835795,1.3957619591422388,1.295169019557063,1.9924812030075234
>=5,36,186301,48.38084605020907,-0.02399033864568936,-0.024691358024697685,1.193765273720445,0.7759155803848561,1.2895386475336306,0.8482871125611746,-1.2998074706483507,-0.8845110061312611,2.0573569961235987,1.573033707865179,1.6040716211919033,1.520912547528508,2.657902257787925,2.4885635864592803,3.888914306629443
>=5,72,186301,47.46888100439611,-0.05919350545707279,-0.07576577551683394,1.8083322129292125,1.1607910576096447,1.9737280630702687,1.264298615291981,-1.988369899545775,-1.3620312762737563,3.147069228466658,2.384086587684653,2.4721846132752154,2.3204340996715755,4.057475629826557,3.814917717460986,5.98571152732188
>=5,288,186301,46.665342644430254,-0.16974128155801915,-0.26890756302521135,4.103600394757595,2.722177742193743,4.502226272606656,2.713987473903967,-4.4859594084310945,-3.1720675490643613,7.172095157342357,5.4674862504044075,5.673908229528929,5.297656205663703,8.946532556908416,8.548303771310483,13.127266104865809
>=80,12,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
>=80,36,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
>=80,72,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
>=80,288,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
