symbol,timeout,trades,win_rate_pct,avg_net_ret_pct,med_net_ret_pct,avg_mae_pct,p95_mae_pct,max_mae_pct,avg_mfe_pct,p95_mfe_pct
AIA_5m,24,1,100.0,9.821498929336183,9.821498929336183,2.4004364429896397,2.4004364429896397,2.4004364429896397,16.592457973648322,16.592457973648322
ALCH_5m,24,2,50.0,5.814334211320701,5.814334211320701,1.5843008479850318,1.8006355588167489,1.8246727489091619,6.997950004675313,12.649918568205122
CELR_5m,24,1,100.0,5.64323462414579,5.64323462414579,0.8079719903043125,0.8079719903043125,0.8079719903043125,7.623188405797099,7.623188405797099
ONE_5m,24,1,100.0,5.624772475027764,5.624772475027764,0.4199916001679904,0.4199916001679904,0.4199916001679904,7.228101778878648,7.228101778878648
RUNE_5m,24,1,100.0,5.570917743031947,5.570917743031947,2.453148877986,2.453148877986,2.453148877986,6.895365832688505,6.895365832688505
STRAX_5m,24,1,100.0,4.14932330827066,4.14932330827066,0.4688908926961277,0.4688908926961277,0.4688908926961277,6.276952563488258,6.276952563488258
BID_5m,24,1,100.0,4.062216085605788,4.062216085605788,0.07457739476302017,0.07457739476302017,0.07457739476302017,4.385433786004667,4.385433786004667
HIFI_5m,24,3,66.66666666666666,3.5021620092117316,3.153294644337592,2.6730363926801943,4.7416577338674815,4.929702794091484,10.111767789463974,18.113864805425926
1000X_5m,24,1,100.0,3.441208599651371,3.441208599651371,1.1674898967220404,1.1674898967220404,1.1674898967220404,3.5573122529644285,3.5573122529644285
B3_5m,24,1,100.0,3.273335686551362,3.273335686551362,0.30737704918033515,0.30737704918033515,0.30737704918033515,3.499469777306463,3.499469777306463
NKN_5m,24,1,100.0,3.1498136645962704,3.1498136645962704,0.5776173285198638,0.5776173285198638,0.5776173285198638,3.3582089552238736,3.3582089552238736
SAPIEN_5m,24,1,100.0,3.027235142118858,3.027235142118858,1.8043982206628728,1.8043982206628728,1.8043982206628728,4.224892255452528,4.224892255452528
EVAA_5m,24,2,100.0,2.9930240458056057,2.9930240458056057,1.7570427819215362,2.6744468594213986,2.7763806458102724,3.70083659760011,5.848344529325237
PERP_5m,24,1,100.0,2.8516802273020803,2.8516802273020803,2.6850690087829365,2.6850690087829365,2.6850690087829365,7.296715131933218,7.296715131933218
AI16Z_5m,24,1,100.0,2.455855331531911,2.455855331531911,0.601391985944999,0.601391985944999,0.601391985944999,4.402116402116407,4.402116402116407
MEME_5m,24,1,100.0,2.407562189054726,2.407562189054726,0.43689320388349273,0.43689320388349273,0.43689320388349273,2.6919242273180544,2.6919242273180544
PEOPLE_5m,24,4,75.0,2.3471620593314224,2.328914720344857,0.9099532308339098,1.4726887781029505,1.5821312238250451,4.012976706682419,5.970493557290527
HOT_5m,24,1,100.0,2.333970210580385,2.333970210580385,0.30090270812437314,0.30090270812437314,0.30090270812437314,4.6719160104987,4.6719160104987
