spec,scenario,period,bucket,start_equity,end_equity,return_pct,peak_equity,min_equity,max_drawdown_pct,marks
btc_rb_z4_gap0.5_cd144_h144_k1_short,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,BASE,2019Q4,99.99733988131779,99.97456118068673,-0.02277930658763916,100.0587048614721,99.91382250498243,-0.14479735340392486,3203
btc_rb_z4_gap0.5_cd144_h144_k1_short,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,BASE,2020Q1,100.00110607667777,103.82947769653751,3.8283292756024823,105.47445441998822,97.94834792232476,-3.7719044847126293,21931
btc_rb_z4_gap0.5_cd144_h144_k1_short,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,BASE,2020Q2,103.83483463009347,101.15374931505623,-2.5820673038951414,104.16101182987339,100.32423975980156,-3.6835011514082083,25508
btc_rb_z4_gap0.5_cd144_h144_k1_short,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,BASE,2020Q3,101.15156376248433,97.86577879449892,-3.248377826071791,101.21947139356612,92.58201736673539,-8.53339175547183,26274
btc_rb_z4_gap0.5_cd144_h144_k1_short,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,BASE,2020Q4,97.84424675258677,103.16427420327159,5.437240949012856,104.29915155937886,95.54000375369435,-5.642050549515664,26496
btc_rb_z4_gap0.5_cd144_h144_k1_short,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,BASE,2021Q1,103.06196219530506,79.02146870226598,-23.326252461098818,103.1777239312107,78.89225635403811,-23.537510474028178,25920
btc_rb_z4_gap0.5_cd144_h144_k1_short,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,BASE,2021Q2,78.99151109479426,100.00318879625438,26.599918662455924,104.52115249412073,73.57685039510099,-15.668212444435692,26208
btc_rb_z4_gap0.5_cd144_h144_k1_short,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,BASE,2021Q3,100.1850076441002,100.28993358024073,0.10473217361350873,105.25535072003045,90.11874196265961,-14.380844920305124,26496
btc_rb_z4_gap0.5_cd144_h144_k1_short,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,BASE,2021Q4,100.32204746685488,120.13122354646916,19.74558592034217,123.35948270889513,96.16572616441248,-7.242328062846148,26496
btc_rb_z4_gap0.5_cd144_h144_k1_short,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,BASE,2022Q1,120.13389231770947,147.63716989044605,22.893853717817315,160.6242416019084,119.2999747341847,-9.069089515961437,25920
btc_rb_z4_gap0.5_cd144_h144_k1_short,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,BASE,2022Q2,148.108036621246,214.9859016464433,45.15478467669034,218.6510450511532,147.58314425721187,-5.572011607081839,26208
btc_rb_z4_gap0.5_cd144_h144_k1_short,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,BASE,2022Q3,215.01616115768246,241.01011483300587,12.089302280985613,242.3745302542228,201.11524056462804,-7.835359023220734,26496
btc_rb_z4_gap0.5_cd144_h144_k1_short,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,BASE,2022Q4,240.8956514325616,288.59826225815823,19.802188433837674,288.9133529301272,231.0116960629077,-7.311035658780085,26496
btc_rb_z4_gap0.5_cd144_h144_k1_short,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,BASE,2023Q1,288.5356564712714,290.43302937441524,0.6575869777580623,297.22278318546097,263.5040856794917,-9.035889360655691,25920
btc_rb_z4_gap0.5_cd144_h144_k1_short,btc_rb_z4_gap0.5_cd144_h144_k1_short_capnone,BASE,2023Q2,290.18763280706776,334.2374578108082,15.17977336857328,346.5902196641683,281.5218718313702,-6.201806488518002,26208
