events,reason,symbol,usable_bars
721,,DYM,200999
466,,D,103881
125,,EDEN,27826
1116,,EDU,282475
1927,,EGLD,560202
496,,EIGEN,132737
733,,ENA,185089
2017,,ENJ,555878
142,,ENSO,23817
1788,,ENS,432918
396,,EPIC,85758
370,,EPT,74463
232,,ERA,49374
239,,ESPORTS,45983
2924,,ETC,629908
692,,ETHFI,189373
922,,ETHW,221388
2802,,ETH,644314
107,,EUL,24039
132,,EVAA,26968
418,,FARTCOIN,109537
1121,,FET,313978
149,,FF,28085
396,,FHE,77032
527,,FIDA,136118
2313,,FIL,550992
488,,FIO,135842
346,,FIS,73377
1685,,FLM,555878
179,,FLOCK,33925
1063,,FLOW,412180
142,,FLUID,29563
481,,FLUX,140794
77,,FOLKS,15432
464,,FORM,84030
258,,FORTH,78262
1814,,FTM,557319
260,,FTT,393746
340,,FUN,80567
1184,,FXS,312191
287,,F,57759
1686,,GALA,453945
1004,,GAS,231305
503,,GHST,134959
122,,GIGGLE,25248
229,,GLMR,67410
844,,GLM,196642
1536,,GMT,402669
992,,GMX,304903
406,,GOAT,126024
420,,GPS,92563
474,,GRASS,121678
354,,GRIFFAIN,105856
2027,,GRT,532544
1598,,GTC,482461
330,,GUN,80513
503,,G,146203
261,,HAEDAL,71699
128,,HANA,28972
1818,,HBAR,507193
405,,HEI,93811
192,,HEMI,37120
1025,,HFT,289389
972,,HIFI,215862
1124,,HIGH,307929
504,,HIPPO,120273
416,,HIVE,108760
474,,HMSTR,134101
147,,HOLO,33286
339,,HOME,60078
1176,,HOOK,312243
1888,,HOT,503446
234,,HUMA,64382
295,,HYPER,74175
168,,HYPE,63259
329,,H,55782
252,,ICNT,53436
1078,,ICP,346235
2062,,ICX,559914
414,,IDEX,281611
274,,IDOL,53193
1047,,ID,293394
710,,ILV,226526
1460,,IMX,411892
279,,INIT,75982
1321,,INJ,358042
228,,IN,43385
2304,,IOST,619529
2110,,IOTA,622125
1900,,IOTX,464604
624,,IO,164907
464,,IP,93716
70,,IRYS,13099
1594,,JASMY,392306
67,,JCT,15432
441,,JELLYJELLY,81916
988,,JOE,291694
256,,JST,72489
789,,JTO,218538
677,,JUP,202878
372,,KAIA,114206
317,,KAITO,91746
804,,KAS,224684
2399,,KAVA,574032
458,,KDA,136394
292,,KERNEL,76492
726,,KEY,161459
99,,KGEN,25768
83,,KITE,15432
915,,KLAY,319097
441,,KMNO,109535
2321,,KNC,584382
525,,KOMA,112497
2007,,KSM,551557
112,,LAB,22887
319,,LAYER,94306
229,,LA,61548
1326,,LDO,347561
1073,,LEVER,256208
172,,LIGHT,28685
1576,,LINA,506616
131,,LINEA,36208
2285,,LINK,629620
712,,LISTA,162332
1570,,LIT,510868
246,,LOKA,134689
520,,LOOM,122837
1735,,LPT,438390
1162,,LQTY,297170
2248,,LRC,550114
748,,LSK,204658
2567,,LTC,631924
381,,LUMIA,110201
1713,,LUNA2,351126
121,,LYN,26140
1273,,MAGIC,311667
2003,,MANA,507770
691,,MANTA,206677
1917,,MASK,460283
362,,MAVIA,81904
1080,,MAV,265190
