factor,valid_bars,first_valid,last_valid,mean_universe_count,median_universe_count,btc_symbol
market_mom,581714,2020-07-02 18:05:00,2026-01-12 14:10:00,192.03305870560897,137.0,BTC
btc,667449,2019-09-09 03:00:00,2026-01-12 15:40:00,,,BTC
