factor,side,horizon,market_shock_bucket,reversion_net_n,reversion_net_avg_pct,reversion_net_std_pct,reversion_net_win_rate_pct,reversion_net_profit_factor,reversion_net_min_pct,reversion_net_max_pct,continuation_net_n,continuation_net_avg_pct,continuation_net_std_pct,continuation_net_win_rate_pct,continuation_net_profit_factor,continuation_net_min_pct,continuation_net_max_pct,relative_reversion_n,relative_reversion_avg_pct,relative_reversion_std_pct,relative_reversion_win_rate_pct,relative_reversion_profit_factor,relative_reversion_min_pct,relative_reversion_max_pct,dominant_hypothesis,dominant_net_edge_pct,reversion_minus_continuation_pct,relative_hypothesis,relative_edge_abs_pct
market_mom,negative_residual,12,calm_lt025|market_opposite_or_flat,199120,-0.10245963652817552,1.9885081980332375,45.188328646042585,0.8264994219796041,-82.091677860474,104.80882499130519,199120,-0.05529763958344599,2.332851806345104,45.719164323021296,0.9029009924144236,-51.271533410574065,457.2839212994269,199120,0.03140418926842373,1.7561850557185608,50.766372036962636,1.0798399475369362,-73.26307188105015,104.21243668611768,continuation,-0.05529763958344599,-0.047161996944729535,mean_reversion,0.03140418926842373
market_mom,negative_residual,12,calm_lt025|market_same_direction,212199,-0.09080717381592628,2.103669436058296,46.242442235825806,0.8453699262708624,-85.99375087133095,234.49646690475063,212199,-0.06207791299858614,2.6829248361797067,44.8470539446463,0.8927583192361254,-70.16404962910937,612.5405163171439,212199,0.03666658549936366,1.9008210771462957,51.740583131871496,1.0944702952241083,-85.70955504324176,233.8216174293416,continuation,-0.06207791299858614,-0.028729260817340133,mean_reversion,0.03666658549936366
market_mom,negative_residual,12,moderate_025_075|market_opposite_or_flat,61282,-0.0444780763900342,2.095465602838197,47.108449463137624,0.9304608967330967,-73.24203020998219,119.32079937920257,61282,-0.11058296473173987,2.314018794707217,45.515812147123135,0.8360983921192688,-54.49578875301706,272.9737369511305,61282,0.04299115761476704,1.7065272388848514,50.84037727228224,1.1103705005041749,-73.19359290277478,117.14781327353604,mean_reversion,-0.0444780763900342,0.06610488834170566,mean_reversion,0.04299115761476704
market_mom,negative_residual,12,moderate_025_075|market_same_direction,87410,-0.05881773712245221,2.1815175714174635,50.328337718796476,0.9132873620858826,-54.065031515101666,129.99541848224655,87410,-0.0935854316527253,2.2220000651499228,43.07859512641574,0.8673269977596336,-56.60774439914,117.26410869508813,87410,0.03857465062002207,1.6783626928543705,53.05113831369408,1.1004313811113746,-54.73437357258617,128.98662950840523,mean_reversion,-0.05881773712245221,0.03476769453027309,mean_reversion,0.03857465062002207
market_mom,negative_residual,12,severe_ge075|market_opposite_or_flat,14816,0.2597234613604768,3.7849159472379164,54.23191144708424,1.3164164826591458,-43.934342675939476,93.17182771660053,14816,-0.31290971953485597,4.021106171524503,39.916306695464364,0.7222302159145642,-48.336048254148466,78.00593914602125,14816,0.05094764218642998,2.004670425223135,51.586123110151185,1.116892701900509,-34.654498691409884,71.47537465983172,mean_reversion,0.2597234613604768,0.5726331808953328,mean_reversion,0.05094764218642998
market_mom,negative_residual,12,severe_ge075|market_same_direction,31363,0.6027864808328349,6.0208035952777585,58.99945796001658,1.6350892302197206,-54.7315176949236,369.69813414500214,31363,-0.5281924933839202,5.072757687717982,36.53349488250486,0.6494519457772174,-78.75226819034494,120.46288007957449,31363,0.2468845949619126,2.8076100487092677,57.51044224085706,1.6007570970636753,-51.40610046415085,202.87385499204177,mean_reversion,0.6027864808328349,1.130978974216755,mean_reversion,0.2468845949619126
market_mom,negative_residual,72,calm_lt025|market_opposite_or_flat,199069,-0.11455753495470129,4.109415411725315,46.26737462889752,0.9071793447647302,-76.35372377483638,203.54197508437107,199069,0.07541914113655558,4.146653990553472,49.73551884020114,1.0663850242986062,-67.12145006292985,322.0546140448099,199069,0.14028993938698575,3.5265983896054487,48.88505995408627,1.1835279233477873,-76.28695275889052,203.29316899632354,continuation,0.07541914113655558,-0.18997667609125687,mean_reversion,0.14028993938698575
market_mom,negative_residual,72,calm_lt025|market_same_direction,212156,-0.09541035988838936,4.3685601458702505,46.838647033315105,0.9226245527563924,-83.38630009954495,431.92723241007644,212156,0.0726046870341672,4.796715865567399,49.178906087973004,1.062988567154025,-81.23799764755316,500.71025994246145,212156,0.1433778076923934,3.7906427845171367,49.45841739097645,1.188870299422798,-83.36660222649172,436.44566800648363,continuation,0.0726046870341672,-0.16801504692255656,mean_reversion,0.1433778076923934
market_mom,negative_residual,72,moderate_025_075|market_opposite_or_flat,61266,-0.006223483346811689,4.219492838695515,48.66483857278099,0.995272977113509,-63.088700879690585,124.43432280859126,61266,-0.01608769394779624,4.34115892212872,47.866679724480136,0.9878529390660108,-55.53255909828081,170.3784538517414,61266,0.1710438793038947,3.1908905815377158,49.94123983938889,1.231040211994121,-63.28614547149225,114.7195067690908,mean_reversion,-0.006223483346811689,0.009864210600984552,mean_reversion,0.1710438793038947
market_mom,negative_residual,72,moderate_025_075|market_same_direction,87408,-0.018294191805358566,4.846173667190116,50.41987003477943,0.9865315375834053,-80.92382690700968,634.0210748197492,87408,0.023697584433628967,4.950289038035363,46.249771187991946,1.017520583293212,-86.40363290896089,423.16677654155023,87408,0.15681970143692633,3.9180525276030087,51.071984257733845,1.2120968301861363,-68.1473641038666,650.7593779122416,continuation,0.023697584433628967,-0.04199177623898753,mean_reversion,0.15681970143692633
