factor,residual_mode,profile,side,horizon,quarter,reversion_net_n,reversion_net_avg_pct,reversion_net_std_pct,reversion_net_win_rate_pct,reversion_net_profit_factor,reversion_net_min_pct,reversion_net_max_pct,continuation_net_n,continuation_net_avg_pct,continuation_net_std_pct,continuation_net_win_rate_pct,continuation_net_profit_factor,continuation_net_min_pct,continuation_net_max_pct,relative_reversion_n,relative_reversion_avg_pct,relative_reversion_std_pct,relative_reversion_win_rate_pct,relative_reversion_profit_factor,relative_reversion_min_pct,relative_reversion_max_pct,dominant_hypothesis,dominant_net_edge_pct,reversion_minus_continuation_pct,relative_hypothesis,relative_edge_abs_pct
btc,rolling_beta,z2,negative_residual,6,2019Q4,187,-0.0742528978873791,0.594161516571317,41.711229946524064,0.6722838666305865,-2.2419221470441952,2.846164053456479,187,-0.12212344461879888,0.5915749554174976,31.016042780748663,0.5348522721332656,-2.9616702026818653,2.088954744179672,187,0.0574677133407525,0.33938052201087177,59.35828877005348,1.6686008980787972,-1.1490287759783229,1.7963391204387231,mean_reversion,-0.0742528978873791,0.047870546731419786,mean_reversion,0.0574677133407525
btc,rolling_beta,z2,negative_residual,6,2020Q1,6247,-0.07332171859126693,1.7703689612143714,47.943012646070116,0.8531396467675505,-28.914595184467718,36.62800953011458,6247,-0.09534582848390369,1.7837086052534719,41.25180086441492,0.8160868277791355,-26.95480216588625,40.39478303185724,6247,0.10712493237949426,1.0208738195337275,57.46758444053145,1.4493160204893667,-21.024241817576183,11.74250105265013,mean_reversion,-0.07332171859126693,0.022024109892636756,mean_reversion,0.10712493237949426
btc,rolling_beta,z2,negative_residual,6,2020Q2,9896,-0.03614000937168327,0.837716804396276,48.231608730800325,0.869703064104945,-13.37328332054798,7.13918403545839,9896,-0.15657112615275665,0.8539858510320424,35.11519805982215,0.5546117259214706,-6.849953397951514,15.207182822567633,9896,0.04582729883677225,0.6380685522328146,57.4373484236055,1.2732838829025663,-8.490380275076468,6.313849305768625,mean_reversion,-0.03614000937168327,0.12043111678107338,mean_reversion,0.04582729883677225
btc,rolling_beta,z2,negative_residual,6,2020Q3,16960,-0.036688509816892693,1.30222367994635,48.39622641509434,0.9123196508230652,-14.515117660565014,19.321851603058505,16960,-0.14605088047349146,1.316226633146517,39.20990566037736,0.6976163291712424,-16.36050017889107,16.74602236896945,16960,0.06452333875805366,1.1154608915556088,55.16509433962264,1.21242986386194,-15.942263354691272,15.964903182901589,mean_reversion,-0.036688509816892693,0.10936237065659876,mean_reversion,0.06452333875805366
btc,rolling_beta,z2,negative_residual,6,2020Q4,29696,-0.09530691111453328,1.2721629280560824,46.410290948275865,0.7862616163527355,-44.76084640479665,12.912639479910016,29696,-0.08759753678909349,1.3516203511016405,41.67227909482759,0.8047685384017419,-11.612906829761126,80.66931399678442,29696,-0.02670655032366065,1.108696760101765,51.48168103448276,0.9237308982199292,-42.74903058596249,12.959207903142936,continuation,-0.08759753678909349,-0.007709374325439791,continuation,0.02670655032366065
btc,rolling_beta,z2,negative_residual,6,2021Q1,33046,0.027059194602199788,1.9306312487238442,49.50674816921867,1.0447252833524237,-25.801808782431756,43.42773870235772,33046,-0.1901789355796729,1.9050034187501101,43.32445681776917,0.7349206867058552,-30.41778336532929,34.50489590163195,33046,0.05824701315620422,1.7113816726844544,52.39363311747261,1.1187007216210219,-24.756292492241048,44.02426178804971,mean_reversion,0.027059194602199788,0.21723813018187269,mean_reversion,0.05824701315620422
btc,rolling_beta,z2,negative_residual,6,2021Q2,40269,-0.08123179128849115,2.6654285920006426,47.94506940822966,0.8865580003267532,-47.76628255163226,77.61881062468619,40269,-0.03788800826312269,3.1364420767663974,45.15880702277186,0.9467599634866212,-43.81214494845101,91.06470826384316,40269,0.08590199080845146,1.929421737652004,52.8744195286697,1.1976799849123254,-40.80514523742803,83.08139956823355,continuation,-0.03788800826312269,-0.043343783025368454,mean_reversion,0.08590199080845146
btc,rolling_beta,z2,negative_residual,6,2021Q3,42692,-0.052953657475502854,1.4188033366055635,48.72809894125363,0.8856697637745462,-25.955276379195002,33.491094168234255,42692,-0.12613326053051843,1.4717436258482137,41.80876979293544,0.7519763717100068,-25.238308607831772,34.78367529491631,42692,0.03351702578880704,1.0244759712656335,51.892626253162184,1.1129935080070013,-18.42196134938831,33.847342429241635,mean_reversion,-0.052953657475502854,0.07317960305501559,mean_reversion,0.03351702578880704
btc,rolling_beta,z2,negative_residual,6,2021Q4,47506,-0.012556029655613792,1.3991487900407038,49.637940470677385,0.9709141314051737,-23.511359001558773,31.93655066179455,47506,-0.1674935130160268,1.418447111699327,40.10019786974277,0.6771485637655175,-24.357428356671782,30.47715131991673,47506,0.05215195855000294,1.1407331009573314,53.03540605397213,1.1682432647159076,-19.39184068626024,32.76642628550639,mean_reversion,-0.012556029655613792,0.15493748336041302,mean_reversion,0.05215195855000294
btc,rolling_beta,z2,negative_residual,6,2022Q1,52180,-0.08707313574736794,1.130005816195738,47.16174779609046,0.7928740455503948,-12.996965582552756,18.75075506200399,52180,-0.10007037686411689,1.1287358606560478,41.61556151782292,0.7687761970024839,-15.958260807710467,14.708872542577067,52180,0.02853901489022763,0.8049553255348145,53.18704484476811,1.115161567604384,-9.413462509672184,19.592795226271594,mean_reversion,-0.08707313574736794,0.01299724111674895,mean_reversion,0.02853901489022763
