rank,factor,residual_mode,profile,side,horizon,reversion_net_n,reversion_net_avg_pct,reversion_net_std_pct,reversion_net_win_rate_pct,reversion_net_profit_factor,reversion_net_min_pct,reversion_net_max_pct,continuation_net_n,continuation_net_avg_pct,continuation_net_std_pct,continuation_net_win_rate_pct,continuation_net_profit_factor,continuation_net_min_pct,continuation_net_max_pct,relative_reversion_n,relative_reversion_avg_pct,relative_reversion_std_pct,relative_reversion_win_rate_pct,relative_reversion_profit_factor,relative_reversion_min_pct,relative_reversion_max_pct,dominant_hypothesis,dominant_net_edge_pct,reversion_minus_continuation_pct,relative_hypothesis,relative_edge_abs_pct,eligible_symbols,positive_reversion_symbols,positive_reversion_symbol_pct,positive_continuation_symbols,positive_continuation_symbol_pct,positive_relative_reversion_symbols,positive_relative_reversion_symbol_pct,mean_symbol_reversion_avg_pct,mean_symbol_continuation_avg_pct,mean_symbol_relative_reversion_avg_pct,ex_2025q4_reversion_net_n,ex_2025q4_reversion_net_avg_pct,ex_2025q4_reversion_net_profit_factor,ex_2025q4_continuation_net_avg_pct,ex_2025q4_continuation_net_profit_factor,ex_2025q4_relative_reversion_avg_pct,2025q4_reversion_net_n,2025q4_reversion_net_avg_pct,2025q4_reversion_net_profit_factor,2025q4_continuation_net_avg_pct,2025q4_continuation_net_profit_factor,2025q4_relative_reversion_avg_pct,2026_reversion_net_n,2026_reversion_net_avg_pct,2026_reversion_net_profit_factor,2026_continuation_net_avg_pct,2026_continuation_net_profit_factor,2026_relative_reversion_avg_pct,pre_2025q4_reversion_net_n,pre_2025q4_reversion_net_avg_pct,pre_2025q4_reversion_net_profit_factor,pre_2025q4_continuation_net_avg_pct,pre_2025q4_continuation_net_profit_factor,pre_2025q4_relative_reversion_avg_pct,eligible_quarters,positive_reversion_quarter_pct,positive_continuation_quarter_pct,preferred_direction,robust_pass
1,btc,rolling_beta,z4,positive_residual,72,297232,0.06721122651628934,5.2404745170103055,51.64215158529364,1.0465692982201567,-84.24340675127833,425.8924830656983,297232,0.0019161890433998798,5.722798174617027,44.42523012327071,1.0012746192918724,-81.0226989219741,533.3869148153632,297232,0.22938309475238522,4.741019427821614,57.3104510954406,1.1987216437950328,-84.164728521157,425.85575958470906,mean_reversion,0.06721122651628934,0.06529503747288946,mean_reversion,0.22938309475238522,596,371,62.24832214765101,275,46.14093959731544,486,81.54362416107382,0.23762655112072842,0.008298704669823432,0.37912067727265747,262987,0.012102410387687825,1.0086046584053536,0.005165189605379353,1.003609045753492,0.18865226653967926,34245,0.49042343931268395,1.2842164972790913,-0.023034750094964855,0.9888046436733336,0.542178490260486,4309,0.03852175779125966,1.0300626450803119,-0.02259102885124462,0.9826673800590984,0.21259002886104988,258678,0.011662322834969817,1.0082794935568256,0.005627546455709083,1.0039262658014585,0.18825351667365736,26,57.692307692307686,30.76923076923077,mean_reversion,True
2,market_mom,rolling_beta,z4,positive_residual,72,355446,0.11680748380378306,5.044276479597768,52.428498281032844,1.085769496098637,-84.24340675127833,425.8924830656983,355446,-0.06953586160103659,5.441310945484386,43.61872126849085,0.9529854238500898,-81.0226989219741,533.3869148153632,355446,0.07550696510836948,4.142946787273014,58.07464424975946,1.0753319517365223,-84.3926351603208,424.3684546020096,mean_reversion,0.11680748380378306,0.18634334540481964,mean_reversion,0.07550696510836948,597,425,71.1892797319933,205,34.33835845896147,399,66.83417085427136,0.260995271528738,-0.04008846943056039,0.24301020376750454,316936,0.05270936121893961,1.0393778657675228,-0.05139439404952745,0.9635954791190061,0.03274091781513189,38510,0.6443328688868767,1.4146738790061355,-0.2188395271399911,0.892337856708529,0.42747009065834524,5040,0.023277762997974176,1.0190872994436653,-0.050980872912854795,0.9596584222970872,0.26821903137458525,311896,0.05318495325934305,1.0396761652942625,-0.05140107623374537,0.9636523318255947,0.028935772214227645,23,69.56521739130434,30.434782608695656,mean_reversion,True
3,btc,unit_beta,z3_abs050,negative_residual,288,564136,0.1251898354331234,8.526698829855729,47.3607427996086,1.0516362080628114,-91.96308328826662,1156.4051941980565,564136,0.2974347678068286,8.542705495268129,48.237481741991296,1.1272920226352445,-92.05668678234136,1141.7722297953158,564136,0.038733199534046366,7.736616421701214,46.508820568089966,1.0187405224449808,-91.96227142729376,1156.754849410815,continuation,0.2974347678068286,-0.1722449323737052,mean_reversion,0.038733199534046366,596,302,50.671140939597315,482,80.87248322147651,258,43.288590604026844,-0.032749002867959946,0.7275176561234412,-0.05517259802761037,497723,0.23963491057218475,1.1028219650078015,0.12716956664632006,1.0535830076862607,0.09381796558762769,66413,-0.7325028773405661,0.7658246061098547,1.5734636584940724,1.7631885398227205,-0.37409192528318336,8497,0.7729063366204769,1.5368314441046975,-0.6310194909473492,0.7033020179033733,0.5300090050716931,489226,0.2303729185539105,1.0981959567168897,0.14033798456027666,1.059025050723154,0.08624209009757589,26,73.07692307692307,46.15384615384615,mean_reversion,True
4,btc,rolling_beta,z4,negative_residual,288,261877,0.12330710287277091,9.117977874634173,48.822538825479135,1.0501428255296998,-91.96308328826662,1156.4051941980565,261877,0.3468442014727307,9.1258787466141,48.65528473290896,1.1474368136878226,-92.05668678234136,1141.7722297953158,261877,0.037294177991608085,8.301016869199119,46.51229393952123,1.0183422609096815,-91.9554288357207,1157.6622278588036,continuation,0.3468442014727307,-0.2235370985999598,mean_reversion,0.037294177991608085,596,301,50.50335570469799,459,77.01342281879195,269,45.13422818791946,-0.051890669596174804,0.8863518599688845,-0.04231358583675452,232213,0.2709738605602507,1.1178238356864614,0.11257036907332604,1.04750812859607,0.0986005437951245,29664,-1.032644245660222,0.7213663078518735,2.1807650969339947,1.9825959725980207,-0.4426186834678033,3677,0.6639385092325301,1.4014944989121128,-0.4667011176619595,0.7897200778810859,0.5466507932286955,228536,0.2646513073818982,1.1145568391774094,0.12189048168895616,1.0513891347969595,0.09139169806768004,26,57.692307692307686,53.84615384615385,mean_reversion,True
5,market_mom,rolling_beta,z3_abs050,negative_residual,288,418945,0.1156190322219106,9.555170405886114,47.11477640263042,1.0428342730892306,-91.96308328826662,1156.4051941980565,418945,0.4330466521537753,9.296791340300066,51.32368210624306,1.171583680971616,-92.05668678234136,1141.7722297953158,418945,0.6378381273455646,7.9457672954247816,49.028870138084955,1.4063588931776303,-91.92942865005062,1154.970107370261,continuation,0.4330466521537753,-0.3174276199318647,mean_reversion,0.6378381273455646,596,284,47.651006711409394,486,81.54362416107382,434,72.81879194630872,-0.03475751436938718,0.8151625014220606,0.46640146589695197,367317,0.214574991487198,1.0830037942805004,0.25545859885743977,1.1005232437419756,0.6750452683337373,51628,-0.5884215288970072,0.8324047909238576,1.696529858411045,1.7070199976126368,0.3731210086047125,6260,0.7184718348010601,1.4122787798104923,-0.48911630243670595,0.7895643925946161,-0.032281326348958195,361057,0.20583843676275063,1.079176886357051,0.26836802557427764,1.1054470155682379,0.6873088845569753,23,69.56521739130434,69.56521739130434,mean_reversion,False
6,btc,rolling_beta,z4,positive_residual,288,297128,0.44346692706106927,8.704966739696326,51.98500309630866,1.1840958359237732,-90.40110189782104,1035.8792241676304,297128,0.07140096857179458,9.471013185273364,45.659782989149456,1.0271133454131343,-91.21383702292668,939.7047535636324,297128,0.6093420835313241,7.737470109355983,57.823564255135835,1.3192466671771284,-89.88999533520507,1037.5352718342822,mean_reversion,0.44346692706106927,0.3720659584892747,mean_reversion,0.6093420835313241,596,498,83.55704697986577,245,41.10738255033557,543,91.10738255033557,0.9104024025960253,-0.05588809609602394,0.9836445351848875,262987,0.2784925153375658,1.1153738809693647,0.16146846408308882,1.0642688702533598,0.5344552010779823,34141,1.7142593940634692,1.7230477359824183,-0.6223859867613434,0.825454699163321,1.186193275814999,4309,-0.4385446244726475,0.8102669683974242,0.7055097884995988,1.399130334348111,-0.02205645002834289,258678,0.2904367588969031,1.1202371347089715,0.15240594594505322,1.0603636624352835,0.54372544711598,26,65.38461538461539,57.692307692307686,mean_reversion,False
7,btc,rolling_beta,z3_abs050,positive_residual,288,602265,0.42292141004538175,8.4802074449953,51.67708566826895,1.1733084179218551,-93.33188153795577,1035.8792241676304,602265,0.06169205984131578,9.302673965555545,46.71996546370784,1.0233152678639914,-91.21383702292668,1396.6770675440025,602265,0.580189745665408,7.380037011393897,57.20604717192598,1.3048133015476033,-93.32521008403361,1037.5352718342822,mean_reversion,0.42292141004538175,0.361229350204066,mean_reversion,0.580189745665408,595,521,87.56302521008404,249,41.84873949579832,556,93.4453781512605,0.8233472454601288,-0.051492928965606144,0.8929929100649889,533985,0.25410888048735536,1.103019352186919,0.17151475552168147,1.067527485260726,0.5090895325211754,68280,1.7431229126236338,1.7801444244454145,-0.7971783583320879,0.7706296911897093,1.136230274602474,8308,-0.5410996253833336,0.7593025038791668,0.7355299176249772,1.447205443950355,-0.16770244947521118,525677,0.26667665930737927,1.1079633150401569,0.1626008445711278,1.0636633455604694,0.5197858113890466,26,61.53846153846154,61.53846153846154,mean_reversion,False
8,market_mom,unit_beta,z3_abs050,negative_residual,288,459916,0.10082970943923532,9.150121710667445,44.53400186120944,1.0399606518411562,-91.96308328826662,1156.4051941980565,459916,0.394057052848172,9.048724765620472,48.09660894598144,1.1666312337635665,-92.05668678234136,1141.7722297953158,459916,0.5702518684576885,7.77057060029528,48.76564416110768,1.3555221582283317,-91.63033863411363,1155.6165677180024,continuation,0.394057052848172,-0.2932273434089367,mean_reversion,0.5702518684576885,597,280,46.901172529313236,479,80.23450586264657,431,72.19430485762145,-0.04291765103591765,0.7637894175773448,0.4096839202925895,398304,0.20749583071365035,1.0850107945955187,0.22406752341891312,1.0929373815389958,0.6243048650078812,61612,-0.5887363291260521,0.8073484796063071,1.492990856811547,1.72237534078845,0.22081466891981158,6905,0.6326084379454963,1.3901267147875986,-0.4406988565692796,0.7939498353877987,0.06338169532687617,391399,0.1999960605227812,1.081455801905697,0.23579522802167993,1.0976073453779291,0.6342005839204157,23,69.56521739130434,65.21739130434783,mean_reversion,False
9,btc,rolling_beta,z3_abs025,positive_residual,288,686806,0.3970968970389099,8.248852232966355,51.40345308573309,1.172452839658911,-93.33188153795577,1035.8792241676304,686806,0.027811262218190233,8.832158949288706,46.84001013386604,1.011096914467688,-91.21383702292668,1396.6770675440025,686806,0.5593843226476936,7.195774514964868,57.19708331027976,1.3160146699715747,-93.32521008403361,1037.5352718342822,mean_reversion,0.3970968970389099,0.36928563482071963,mean_reversion,0.5593843226476936,596,523,87.75167785234899,232,38.92617449664429,563,94.46308724832215,0.8016243199402266,-0.06534595957673113,0.8785074197995625,610144,0.23609813331107388,1.1013859163458228,0.1362113329125093,1.056670188075897,0.4920795753072065,76662,1.6784674547592524,1.8011099868206195,-0.8349323752255862,0.7487475731570961,1.0950550299252806,9279,-0.6240705464298378,0.7195656683080065,0.8014794048107317,1.5201227543530935,-0.21200093203682202,600865,0.24938149176815821,1.107016757803584,0.12593777322914707,1.0521071182230917,0.5029525052126674,26,65.38461538461539,61.53846153846154,mean_reversion,False
10,btc,rolling_beta,z3_abs025_vol15,positive_residual,288,593201,0.40072526696938476,8.33224208713174,51.67219879939515,1.1723400290411619,-93.33188153795577,1035.8792241676304,593201,0.04168302145999655,9.034941781234995,46.594156112346404,1.0164782684111076,-91.21383702292668,1396.6770675440025,593201,0.5573353107516837,7.3323644071377645,57.21955964335866,1.3079354021896803,-93.32521008403361,1037.5352718342822,mean_reversion,0.40072526696938476,0.35904224550938824,mean_reversion,0.5573353107516837,596,519,87.08053691275168,242,40.604026845637584,559,93.79194630872483,0.8192222014956436,-0.05946185246324607,0.8932769083303483,526503,0.2418057939828456,1.1030205489232703,0.14415457190825895,1.0594142665680875,0.4858859328758388,66698,1.655209348738434,1.7692004324518291,-0.7672104794794853,0.7706474695328831,1.1213449032397091,8195,-0.537484770754924,0.7585041513431015,0.7354445472616941,1.4553143785769285,-0.14540148578721626,518308,0.25412720553355683,1.108181494169422,0.13480564936023473,1.0552689441717449,0.49586725748580707,26,69.23076923076923,61.53846153846154,mean_reversion,False
