factor,residual_mode,profile,side,horizon,period,reversion_net_n,reversion_net_avg_pct,reversion_net_std_pct,reversion_net_win_rate_pct,reversion_net_profit_factor,reversion_net_min_pct,reversion_net_max_pct,continuation_net_n,continuation_net_avg_pct,continuation_net_std_pct,continuation_net_win_rate_pct,continuation_net_profit_factor,continuation_net_min_pct,continuation_net_max_pct,relative_reversion_n,relative_reversion_avg_pct,relative_reversion_std_pct,relative_reversion_win_rate_pct,relative_reversion_profit_factor,relative_reversion_min_pct,relative_reversion_max_pct,dominant_hypothesis,dominant_net_edge_pct,reversion_minus_continuation_pct,relative_hypothesis,relative_edge_abs_pct
btc,rolling_beta,z2,negative_residual,6,2025Q4,211076,-0.14940818419564664,2.769964330730997,44.8833595482196,0.7202542929160337,-87.33724627380145,193.97900170034222,211076,0.09770997628068753,6.264574357102318,41.99387898197806,1.2061969176210259,-66.05192912389978,688.1397839365923,211076,-0.04850423340155623,2.546266841925109,51.56578673084576,0.8814902927461075,-86.64700135588996,194.15030519059582,continuation,0.09770997628068753,-0.24711816047633417,continuation,0.04850423340155623
btc,rolling_beta,z2,negative_residual,6,2026,26006,-0.061614448867177374,1.2474921081131716,46.08936399292471,0.8270987569170972,-72.61735635848589,15.973828512364484,26006,-0.11357309701561713,2.364673054173885,39.52933938321926,0.7129096472901828,-13.94592975134572,264.46517423459994,26006,0.03168466971584112,1.1956536644692581,52.98008151964931,1.1170029786791618,-72.60347667639196,16.087678509294424,mean_reversion,-0.061614448867177374,0.05195864814843976,mean_reversion,0.03168466971584112
btc,rolling_beta,z2,negative_residual,6,ALL,1956454,-0.08405153864596064,1.5153509362259274,45.82898447906263,0.8019148894268041,-87.33724627380145,193.97900170034222,1956454,-0.08460248549951009,2.4272278516611174,41.31709715638599,0.8062768247626103,-66.05192912389978,688.1397839365923,1956454,0.015257377869851789,1.318026360902708,52.36923536152651,1.0512374691304773,-86.64700135588996,194.15030519059582,mean_reversion,-0.08405153864596064,0.0005509468535494499,mean_reversion,0.015257377869851789
btc,rolling_beta,z2,negative_residual,6,EX_2025Q4,1745378,-0.076147680962384,1.2827769755937122,45.94334293201816,0.8147465395817797,-72.61735635848589,84.57604442453324,1745378,-0.10665030848267866,1.3613793240359326,41.235251045905244,0.7532533055322939,-45.9300364956684,264.46517423459994,1745378,0.0229683412604318,1.078264501495558,52.46639982857582,1.080791173069902,-72.60347667639196,85.48671818455465,mean_reversion,-0.076147680962384,0.03050262752029466,mean_reversion,0.0229683412604318
btc,rolling_beta,z2,negative_residual,6,PRE_2025Q4,1719372,-0.07636750031146491,1.2833019579031741,45.941134321135856,0.814584891844959,-60.016348641235325,84.57604442453324,1719372,-0.10654559929898394,1.3404512966717708,41.261053454400795,0.7538110930839881,-45.9300364956684,149.6025161949276,1719372,0.022836504265406028,1.07639013575756,52.45863024406586,1.0802698237160855,-60.100866335863046,85.48671818455465,mean_reversion,-0.07636750031146491,0.030178098987519025,mean_reversion,0.022836504265406028
btc,rolling_beta,z2,negative_residual,12,2025Q4,211045,-0.1096080848926368,2.552303736032675,45.61681158046862,0.8280153885757634,-82.091677860474,234.49646690475063,211045,-0.018337757786216106,3.1575926698066383,44.62365846146557,0.9696750968569467,-70.16404962910937,457.2839212994269,211045,-0.006798415846464395,2.3851752215783875,49.90357506692885,0.9861263529256636,-80.70953029779369,234.46356806859936,continuation,-0.018337757786216106,-0.0912703271064207,continuation,0.006798415846464395
btc,rolling_beta,z2,negative_residual,12,2026,26006,-0.053622708911332216,1.5857865437290797,46.62770129970007,0.8836425524047292,-70.25040715122375,29.535826887279406,26006,-0.11358402382284327,2.3862751097072143,42.182573252326385,0.7730384739019763,-22.955523382014665,235.4674477912703,26006,0.024830375551185536,1.5178337907896855,50.55371837268323,1.0661849649432908,-70.36882451720481,29.704101973808587,mean_reversion,-0.053622708911332216,0.059961314911511056,mean_reversion,0.024830375551185536
btc,rolling_beta,z2,negative_residual,12,ALL,1956423,-0.07574888831765744,1.8044922672374593,46.87795021833213,0.8620176209795086,-85.99375087133095,234.49646690475063,1956423,-0.09001425938764676,2.0175381016398943,43.566140860130965,0.8398254241814219,-70.16404962910937,612.5405163171439,1956423,0.018845205877475305,1.5636579384944445,51.16296424648453,1.0473105440923864,-85.91562381410591,234.46356806859936,mean_reversion,-0.07574888831765744,0.014265371069989319,mean_reversion,0.018845205877475305
btc,rolling_beta,z2,negative_residual,12,EX_2025Q4,1745378,-0.07165475275437748,1.6917693395954319,47.03044268920543,0.8668853549813024,-85.99375087133095,104.80882499130519,1745378,-0.0986811311371898,1.832038372371713,43.43826953244512,0.8227737438165178,-51.271533410574065,612.5405163171439,1745378,0.02194594287927597,1.4327175916662724,51.315245178981286,1.0566723298837606,-85.91562381410591,105.43608967431912,mean_reversion,-0.07165475275437748,0.027026378382812327,mean_reversion,0.02194594287927597
btc,rolling_beta,z2,negative_residual,12,PRE_2025Q4,1719372,-0.07192749264556,1.693319962461672,47.036534269489096,0.8666688357839962,-85.99375087133095,104.80882499130519,1719372,-0.09845572056450214,1.8223608595339127,43.45726230274775,0.8234488356051618,-51.271533410574065,612.5405163171439,1719372,0.02190231499882564,1.431391284262224,51.326763492717106,1.0565330012077365,-85.91562381410591,105.43608967431912,mean_reversion,-0.07192749264556,0.026528227918942132,mean_reversion,0.02190231499882564
