experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover
short_hybrid_baseline_ddbrake,28017,411.54561794071856,3.115456179407186,411.8121500140241,3.1181215001402407,0.15062283613520364,1.4456819511935943,-0.047588861718357967,286,286,3341,0
short_hybrid_ddbrake_dense30,27373,351.396316522962,2.51396316522962,351.623893697185,2.51623893697185,0.14580060643699996,1.4012582517975627,-0.03680490546466375,55,55,3341,0
short_hybrid_ddbrake_reentry48,8357,153.11003678247803,0.5311003678247803,153.1376526560611,0.531376526560611,0.16620796936699772,1.4743643596430207,-0.01707502744910372,151,151,3341,0
short_hybrid_ddbrake_quiet48,7346,147.4925260057643,0.4749252600576428,147.51912867034605,0.47519128670346045,0.16811870405662946,1.489746242841088,-0.01690218627673834,130,130,3341,0
short_hybrid_lossbrake_dense30,17494,208.59064761802864,1.0859064761802864,208.8274147253894,1.0882741472538937,0.14536412484280326,1.342820171869643,-0.0309445818199251,46,46,3341,0
short_hybrid_max80_lossbrake_dense30,17494,208.59064761802864,1.0859064761802864,208.8274147253894,1.0882741472538937,0.14536412484280326,1.342820171869643,-0.0309445818199251,46,46,3341,0
short_hybrid_conservative_reentry48,7412,136.83900944949227,0.36839009449492277,136.87842584370352,0.36878425843703533,0.15461413923367512,1.3787123506768268,-0.023192198754989013,60,60,3341,0
short_hybrid_conservative_dense30,15657,241.42213005411566,1.4142213005411564,241.5784839018061,1.4157848390180607,0.14798492686977072,1.4816700643804774,-0.025182406198484664,32,32,3341,0
short_hybrid_symbol1_reentry48_dd,8357,153.11003678247803,0.5311003678247803,153.1376526560611,0.531376526560611,0.16620796936699772,1.4743643596430207,-0.01707502744910372,151,151,3341,0
short_hybrid_quiet48_reentry48_dd,7346,147.4925260057643,0.4749252600576428,147.51912867034605,0.47519128670346045,0.16811870405662946,1.489746242841088,-0.01690218627673834,130,130,3341,0
short_hybrid_dense30_confirm24_dd,20525,273.83915382909083,1.7383915382909083,273.96708672011016,1.7396708672011014,0.14289890377588307,1.3931569722920287,-0.04090181025970663,38,38,3341,0
