timestamp,equity,event,active_positions,peak,drawdown_pct
2020-12-26 15:35:00+00:00,100000.0,start,0,100000.0,0.0
2020-12-26 15:40:00+00:00,99964.2119042623,exit,0,100000.0,-0.03578809573770991
2020-12-26 17:50:00+00:00,100056.34027293492,exit,0,100056.34027293492,0.0
2020-12-27 17:20:00+00:00,100139.86185841587,exit,0,100139.86185841587,0.0
2020-12-28 15:45:00+00:00,100109.55434268454,exit,0,100139.86185841587,-0.030265186279343492
2020-12-28 16:45:00+00:00,100070.54853661572,exit,0,100139.86185841587,-0.06921651429692144
2020-12-28 19:35:00+00:00,100019.34315182173,exit,0,100139.86185841587,-0.12035038231282824
2020-12-29 16:10:00+00:00,100064.5194237532,exit,0,100139.86185841587,-0.07523720650742804
2020-12-29 18:45:00+00:00,100024.74579003474,exit,0,100139.86185841587,-0.11495528977650826
2020-12-29 22:10:00+00:00,100101.66387939648,exit,0,100139.86185841587,-0.038144629232061966
2020-12-30 16:15:00+00:00,100071.61535834607,exit,0,100139.86185841587,-0.0681511825593395
2020-12-30 18:05:00+00:00,100036.6091233155,exit,0,100139.86185841587,-0.10310852560028172
2020-12-30 22:15:00+00:00,100102.51563668037,exit,0,100139.86185841587,-0.03729406156790516
2020-12-31 17:15:00+00:00,100064.80930918072,exit,0,100139.86185841587,-0.07494772595278976
2020-12-31 18:15:00+00:00,100013.03583510286,exit,0,100139.86185841587,-0.12664888982204525
2020-12-31 22:00:00+00:00,99976.43144980863,exit,0,100139.86185841587,-0.16320215104580482
2021-01-01 19:50:00+00:00,100037.98537733949,exit,0,100139.86185841587,-0.10173419374236436
2021-01-02 18:50:00+00:00,100068.2039754792,exit,0,100139.86185841587,-0.07155780086652852
2021-01-03 21:00:00+00:00,100007.87461365123,exit,0,100139.86185841587,-0.13180290277536866
2021-01-04 17:35:00+00:00,100058.21445362129,exit,0,100139.86185841587,-0.08153337070707645
2021-01-05 19:15:00+00:00,100112.87470184283,exit,0,100139.86185841587,-0.026949464551084823
2021-01-06 17:55:00+00:00,100153.81282806437,exit,0,100153.81282806437,0.0
2021-01-07 16:25:00+00:00,100136.52304118832,exit,0,100153.81282806437,-0.017263233807918166
2021-01-08 15:10:00+00:00,100106.05796215625,exit,0,100153.81282806437,-0.04768152560512551
2021-01-09 16:05:00+00:00,100084.64985783759,exit,0,100153.81282806437,-0.06905675208342954
2021-01-10 17:45:00+00:00,100063.53404952503,exit,0,100153.81282806437,-0.09014013145393074
2021-01-10 18:55:00+00:00,100042.85355937823,exit,0,100153.81282806437,-0.11078886120554632
2021-01-11 15:30:00+00:00,100015.05655780417,exit,0,100153.81282806437,-0.13854317308757969
2021-01-11 17:05:00+00:00,99986.39382254746,exit,0,100153.81282806437,-0.16716188908786345
2021-01-11 21:40:00+00:00,99958.24226734624,exit,0,100153.81282806437,-0.19527021008562961
2021-01-12 16:15:00+00:00,99930.68657026815,exit,0,100153.81282806437,-0.22278358805896126
2021-01-12 17:00:00+00:00,99915.62259829314,exit,0,100153.81282806437,-0.23782442529686199
2021-01-12 17:20:00+00:00,99897.87833248236,exit,0,100153.81282806437,-0.25554144006616486
2021-01-14 19:00:00+00:00,99884.79258104989,exit,0,100153.81282806437,-0.2686070948455188
2021-01-14 21:50:00+00:00,99905.60863317236,exit,0,100153.81282806437,-0.2478230113097224
2021-01-15 15:25:00+00:00,99886.92878276958,exit,0,100153.81282806437,-0.26647417383195426
2021-01-15 17:35:00+00:00,99919.6233786016,exit,0,100153.81282806437,-0.23382978925107212
2021-01-16 16:00:00+00:00,99905.99964216,exit,0,100153.81282806437,-0.2474326028204299
2021-01-16 17:00:00+00:00,99948.23281870235,exit,0,100153.81282806437,-0.20526428655786022
2021-01-17 19:30:00+00:00,99902.17498541776,exit,0,100153.81282806437,-0.25125138578458994
2021-01-18 00:55:00+00:00,99962.68734660164,exit,0,100153.81282806437,-0.1908319574321582
2021-01-18 15:45:00+00:00,99942.15622005059,exit,0,100153.81282806437,-0.21133155297555772
2021-01-18 17:30:00+00:00,99906.52477514962,exit,0,100153.81282806437,-0.2469082763122299
2021-01-20 16:15:00+00:00,99884.82465141514,exit,0,100153.81282806437,-0.2685750737328463
2021-01-20 19:00:00+00:00,99933.01366401555,exit,0,100153.81282806437,-0.22046006818319253
2021-01-21 18:15:00+00:00,99973.62979462104,exit,0,100153.81282806437,-0.17990631445320426
2021-01-22 18:55:00+00:00,99944.20059595979,exit,0,100153.81282806437,-0.20929031674952192
2021-01-23 16:50:00+00:00,100060.39276602729,exit,0,100153.81282806437,-0.0932765906750399
2021-01-23 22:25:00+00:00,100088.24002901254,exit,0,100153.81282806437,-0.06547209457158365
2021-01-24 18:45:00+00:00,100125.98767747292,exit,0,100153.81282806437,-0.027782417669131032
2021-01-25 15:20:00+00:00,100103.20148368501,exit,0,100153.81282806437,-0.05053361719362659
2021-01-26 21:25:00+00:00,100150.93657661174,exit,0,100153.81282806437,-0.0028718342032219013
2021-01-27 17:35:00+00:00,100131.02861504331,exit,0,100153.81282806437,-0.022749221799645003
2021-01-27 20:10:00+00:00,100110.11130494818,exit,0,100153.81282806437,-0.043634407799542085
2021-01-27 23:35:00+00:00,100182.43341746753,exit,0,100182.43341746753,0.0
2021-01-28 15:30:00+00:00,100242.88454349214,exit,0,100242.88454349214,0.0
