quarter,start_equity,end_equity,return_pct,mdd_pct,trades,wins,losses,win_rate_pct,profit_factor
2020Q4,100000.0,99976.43144980863,-0.023568550191366278,0.16320215104580482,15,5,10,33.33333333333333,0.939133856750563
2021Q1,100037.98537733949,100468.43739827524,0.4302885741972018,0.2686070948455188,132,51,81,38.63636363636363,1.2969336433045144
2021Q2,100431.56311237573,101414.3568351719,0.978570573173787,0.2822464462701957,186,73,113,39.247311827956985,1.4969048334342452
2021Q3,101398.87910280013,101568.6181793409,0.16739738944124838,0.4468126845521003,290,107,183,36.896551724137936,1.0649488622276524
2021Q4,101560.1613906612,100616.86967212388,-0.9288009251076867,1.0203902208076654,413,130,283,31.476997578692494,0.7571030552606394
2022Q1,100596.73643266776,99962.2873322505,-0.630685569846412,0.7569827328405387,378,118,260,31.216931216931215,0.7580931985423697
2022Q2,99953.90777450404,99100.4652935218,-0.8538360330119343,0.9736229533354068,418,127,291,30.38277511961722,0.7538713189808343
2022Q3,99089.54272612496,98790.74590897381,-0.3015422303209059,0.4006639395284006,434,149,285,34.331797235023046,0.8892612064415254
2022Q4,98784.91088774653,98933.90365403082,0.15082542965856316,0.22415166630511685,537,178,359,33.14711359404097,1.0627049225160217
2023Q1,98937.0085913389,98779.10542309558,-0.15959969933551088,0.39683457684212,465,163,302,35.053763440860216,0.9358236117360338
2023Q2,98784.89488925709,98662.17858459495,-0.12422577844488636,0.49770801337426507,700,230,470,32.857142857142854,0.9642106867329657
2023Q3,98673.91095209554,97956.76917055718,-0.7267795252247744,0.8655539111651622,738,250,488,33.87533875338754,0.7785640521314343
2023Q4,97960.3164939141,97436.87805011158,-0.5343372321944595,0.934608243406676,969,330,639,34.05572755417957,0.9240867448124377
2024Q1,97415.03107978926,97704.96488994182,0.29762738556751156,1.2456037744209447,1308,451,857,34.48012232415903,1.0258695312114217
2024Q2,97689.61623792378,96773.85192426475,-0.9374223678273896,1.8465512850931676,1165,392,773,33.648068669527895,0.8871175371844605
2024Q3,96747.86214154652,96652.50130099073,-0.09856635427899496,1.0225975964065603,1260,456,804,36.19047619047619,0.9850943879580544
2024Q4,96674.85910134694,95050.6695301859,-1.6800537246797087,2.5979035782479842,1844,615,1229,33.35140997830803,0.8940747243878516
2025Q1,95042.90452231417,94540.54263326286,-0.5285632752662472,2.404354050409263,2051,750,1301,36.56752803510483,0.963498180434701
2025Q2,94543.78904395284,93370.76846465301,-1.2407166998082753,1.643494655454969,2182,753,1429,34.5096241979835,0.9184377560947843
2025Q3,93377.22137498342,90981.32021381246,-2.5658304304746027,2.913478544696002,2172,713,1459,32.826887661141804,0.8217264610660152
2025Q4,91004.06633517552,88441.2638534192,-2.8161406242192655,4.463340360375623,2419,741,1678,30.632492765605623,0.8537387806670023
2026Q1,88447.429807083,87726.77410085071,-0.8147842258436899,1.0179803509302365,341,96,245,28.152492668621704,0.7024962075370057
