file,selected,reason,mapping
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_SINGLE_TOP_RETEST_DEV_V12\single_top_retest_aggregate_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_SINGLE_TOP_RETEST_DEV_V12\single_top_retest_symbol_strategy_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_SINGLE_TOP_RETEST_DEV_V12\single_top_retest_trades_compact.csv,False,missing_time_col,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V2_BASELINE_ENTRY_DEV_V13\v13_dev_aggregate_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V2_BASELINE_ENTRY_DEV_V13\v13_dev_symbol_strategy_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V3_BASELINE_ENTRY_DEV_V14\v14_axis_winner_comparison.csv,False,missing_time_col,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V3_BASELINE_ENTRY_DEV_V14\v14_dev_aggregate_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V3_BASELINE_ENTRY_DEV_V14\v14_dev_symbol_strategy_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V3_SINGLE_TOP_RETEST_DEV_V15\v15_axis_update_judgement.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V3_SINGLE_TOP_RETEST_DEV_V15\v15_single_retest_aggregate_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V3_SINGLE_TOP_RETEST_DEV_V15\v15_single_retest_symbol_strategy_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V3_SINGLE_TOP_RETEST_DEV_V15\v15_single_top_retest_diff.csv,False,missing_time_col,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V4_BASELINE_ENTRY_DEV_V16\v16_axis_winner_comparison.csv,False,missing_time_col,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V4_BASELINE_ENTRY_DEV_V16\v16_dev_aggregate_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V4_BASELINE_ENTRY_DEV_V16\v16_dev_symbol_strategy_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V4_SINGLE_TOP_RETEST_DEV_V17\v17_axis_update_judgement.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V4_SINGLE_TOP_RETEST_DEV_V17\v17_single_retest_aggregate_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V4_SINGLE_TOP_RETEST_DEV_V17\v17_single_retest_symbol_strategy_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V4_SINGLE_TOP_RETEST_DEV_V17\v17_single_top_retest_diff.csv,False,missing_time_col,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V5_2025_BASELINE_ENTRY_DEV_V19\v19_axis_winner_comparison.csv,False,missing_time_col,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V5_2025_BASELINE_ENTRY_DEV_V19\v19_dev_aggregate_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V5_2025_BASELINE_ENTRY_DEV_V19\v19_dev_symbol_strategy_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V5_2025_SINGLE_TOP_RETEST_DEV_V20\v20_axis_update_judgement.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V5_2025_SINGLE_TOP_RETEST_DEV_V20\v20_single_retest_aggregate_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V5_2025_SINGLE_TOP_RETEST_DEV_V20\v20_single_retest_symbol_strategy_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V5_2025_SINGLE_TOP_RETEST_DEV_V20\v20_single_top_retest_diff.csv,False,missing_time_col,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V6_2025_BASELINE_ENTRY_DEV_V21\v21_axis_winner_comparison.csv,False,missing_time_col,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V6_2025_BASELINE_ENTRY_DEV_V21\v21_dev_aggregate_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_result\long_max\LONG_MAX_V6_2025_BASELINE_ENTRY_DEV_V21\v21_dev_symbol_strategy_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\1V2\1V2_L01_mirror_exact\trades.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\1V2\1V2_L02_mirror_capped\trades.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\1V2\1V2_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\1V2\FAST\1V2_L01_mirror_exact\trades.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\1V2\FAST\1V2_L02_mirror_capped\trades.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\1V2\FAST\1V2_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\1V2\FAST\1V2_S01_ddbrake_cap\trades.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\1V2\FAST\1V2_S02_fast_harvest\trades.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\1V2\FAST\_staging\1V2_L01_mirror_exact\candidates.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\1V2\FAST\_staging\1V2_L02_mirror_capped\candidates.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\1V2\FAST\_staging\1V2_S01_ddbrake_cap\candidates.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\1V2\FAST\_staging\1V2_S02_fast_harvest\candidates.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\2V2\FAST\2V2_L01_squeeze_breakout\trades.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\2V2\FAST\2V2_L02_trend_pullback_reclaim\trades.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\2V2\FAST\2V2_L03_expansion_followthrough\trades.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\2V2\FAST\2V2_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\2V2\FAST\2V2_S01_failed_breakout_trap\trades.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\2V2\FAST\2V2_S02_trend_pullback_fail\trades.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\2V2\FAST\2V2_S03_squeeze_breakdown\trades.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\2V2\FAST\_staging\2V2_L01_squeeze_breakout\candidates.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\2V2\FAST\_staging\2V2_L02_trend_pullback_reclaim\candidates.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\2V2\FAST\_staging\2V2_L03_expansion_followthrough\candidates.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\2V2\FAST\_staging\2V2_S01_failed_breakout_trap\candidates.csv,False,excluded_path_or_result_file,{}
