axis,path,is_trade_ledger,symbol_col,pnl_col,strategy_col,entry_ts_col,exit_ts_col,path_score
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\7V4_LONG40_REVIEWED\7V4_LONG40_REVIEWED_registry.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\7V5_LONG40_REVIEWED\7V5_LONG40_REVIEWED_registry.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V10_LONG_DUAL_LEADERS_400_NEW_NO_TRADE_CAP\8V10_LONG_DUAL_LEADERS_400_NEW_NO_TRADE_CAP_registry.csv,False,,,strategy_name,,,30.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V11_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP\8V11_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP_registry.csv,False,,,strategy_name,,,30.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP\8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP_registry.csv,False,,,strategy_name,,,30.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\all_results.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\errors.csv,False,symbol,,,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\long_main_all_results.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\long_main_top_any_mdd.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\long_max_all_results.csv,False,,,strategy_name,,,20.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\long_max_top_any_mdd.csv,False,,,strategy_name,,,20.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\short_main_all_results.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\short_main_top_any_mdd.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\short_main_top_under_mdd5.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\short_max_all_results.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V13_MAINMAX_4AXIS_400_DIFFERENT_FLOW_NO_TRADE_CAP_20260429_153955\short_max_top_any_mdd.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_4AXIS_50_EACH_STREAMSAFE\8V14_4AXIS_50_EACH_STREAMSAFE_registry.csv,False,,,strategy,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\all_results.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\errors.csv,False,symbol,,,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\long_main_all_results.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\long_main_top_any_mdd.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\long_max_all_results.csv,False,,,strategy_name,,,20.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\long_max_top_any_mdd.csv,False,,,strategy_name,,,20.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\short_main_all_results.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\short_main_top_any_mdd.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\short_max_all_results.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\short_max_top_any_mdd.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V15_4AXIS_PARENT_PRESERVE_50_EACH_STREAMSAFE\8V15_4AXIS_PARENT_PRESERVE_50_EACH_STREAMSAFE_registry.csv,False,,,strategy,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V16B_SELF_CONTAINED_BASELINE_GATE_4AXIS_50_EACH\8V16B_SELF_CONTAINED_BASELINE_GATE_4AXIS_50_EACH_registry.csv,False,,,strategy,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V16C_EXACT_BASELINE_GATE_PARENT_PRESERVE_4AXIS_50_EACH\8V16C_EXACT_BASELINE_GATE_PARENT_PRESERVE_4AXIS_50_EACH_registry.csv,False,,,strategy,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V18_SELF_CONTAINED_EXACT_PARENT_GATE_4AXIS_50_EACH\8V18_SELF_CONTAINED_EXACT_PARENT_GATE_4AXIS_50_EACH_registry.csv,False,,,strategy,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V1_LONG50_REVIEWED\8V1_LONG50_REVIEWED_registry.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V25_TP03_FAST1H_FORCE_LOCAL_RESULTS_KEEP_DATA_CWD_NO_BASELINE_TOUCH\8V25_TP03_FAST1H_FORCE_LOCAL_RESULTS_KEEP_DATA_CWD_NO_BASELINE_TOUCH_registry.csv,False,,,strategy,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V27_TP03_NO_CANDLE_LIMIT_FAST1H_NO_BASELINE_TOUCH\8V27_TP03_NO_CANDLE_LIMIT_FAST1H_NO_BASELINE_TOUCH_registry.csv,False,,,strategy,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V28_LOCAL_MUTATION_NO_CANDLE_LIMIT_1H_NO_BASELINE_TOUCH\8V28_LOCAL_MUTATION_NO_CANDLE_LIMIT_1H_NO_BASELINE_TOUCH_registry.csv,False,,,strategy,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V29_LONG_QUALITY_SHORT_NO_TP03_LOCAL_1H\8V29_LONG_QUALITY_SHORT_NO_TP03_LOCAL_1H_registry.csv,False,,,strategy,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V2_LONG100_REVIEWED\8V2_LONG100_REVIEWED_registry.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V30_TP03_PROBE_LONG_LOOSEN_SHORT_TRIM_1H\8V30_TP03_PROBE_LONG_LOOSEN_SHORT_TRIM_1H_registry.csv,False,,,strategy,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V3_LONG100_REVIEWED\8V3_LONG100_REVIEWED_registry.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V4_LONG400_REVIEWED\8V4_LONG400_REVIEWED_registry.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V5_LONG300_REVIEWED\8V5_LONG300_REVIEWED_registry.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V6_TOP3_300_FROM_8V5_STANDALONE_FIXED\8V6_TOP3_300_FROM_8V5_STANDALONE_FIXED_registry.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V6_TOP3_300_FROM_8V5_WINDOWS_SAFE_V3\8V6_TOP3_300_FROM_8V5_WINDOWS_SAFE_V3_registry.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V7_AB_BEST_200_FROM_8V6_CANDIDATE\8V7_AB_BEST_200_FROM_8V6_CANDIDATE_registry.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V8_LONG_DUAL_BEST_200_UNTRIED\8V8_LONG_DUAL_BEST_200_UNTRIED_registry.csv,False,,,strategy_name,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP\8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP_registry.csv,False,,,strategy_name,,,30.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP\failed_symbols.csv,False,symbol,,,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP_FIXED\8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP_FIXED_registry.csv,False,,,strategy_name,,,30.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\BASELINE_RESULT_COMPARE_ONLY\baseline_compare_registry.csv,False,,,strategy,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\event_research\RESEARCH3_2_BEARISH_DISPLACEMENT_FADE_CONFIRMATION_V1\research3_2_file_stats.csv,False,symbol,,,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\event_research\RESEARCH3_2_BEARISH_DISPLACEMENT_FADE_CONFIRMATION_V1\research3_2_summary_by_profile_confirm_horizon.csv,False,,,,,,-35.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\event_research\RESEARCH3_2_BEARISH_DISPLACEMENT_FADE_CONFIRMATION_V1\research3_2_summary_by_profile_confirm_horizon_trend.csv,False,,,,,,-35.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\event_research\RESEARCH3_2_BEARISH_DISPLACEMENT_FADE_CONFIRMATION_V1\research3_2_summary_by_quarter_profile_confirm_horizon.csv,False,,,,,,-35.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\event_research\RESEARCH3_2_BEARISH_DISPLACEMENT_FADE_CONFIRMATION_V1\research3_2_summary_by_symbol_profile_confirm_horizon.csv,False,symbol,,,,,-35.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\event_research\RESEARCH3_3_BEARISH_DISPLACEMENT_FADE_PAYOFF_V1\research3_3_pass1_file_stats.csv,False,symbol,,,,,0.0
long_max2,C:\Users\user\Desktop\LCD\파이썬\local_results\event_research\RESEARCH3_3_BEARISH_DISPLACEMENT_FADE_PAYOFF_V1\research3_3_pass1_official_ranking.csv,False,,,,,,0.0
