all2026_active_months,all2026_avg_month_pnl,all2026_final_asset,all2026_final_return_pct,all2026_losses,all2026_max_conc,all2026_max_conc_unique_symbols,all2026_max_drawdown_pct,all2026_max_month_pnl,all2026_max_return_pct,all2026_median_month_pnl,all2026_min_month_pnl,all2026_negative_months,all2026_official_cd_value,all2026_peak_asset,all2026_positive_month_ratio_pct,all2026_positive_months,all2026_profit_factor,all2026_same_bar_trades,all2026_trades,all2026_win_rate_pct,all2026_wins,atr_pct_max,atr_pct_min,atr_stop_mult,balance_dev_component_min,balance_rsi_component_min,balance_wick_component_min,candidate_index,close_position_max,close_position_min,dd_brake_freeze_steps,dd_brake_trigger_pct,ema50_dev_max,ema50_dev_min,entry_cooldown_bars,fail_fast_bars,fail_fast_min_progress_r,full2025_exit_active_months,full2025_exit_avg_month_pnl,full2025_exit_final_asset,full2025_exit_final_return_pct,full2025_exit_losses,full2025_exit_max_conc,full2025_exit_max_conc_unique_symbols,full2025_exit_max_drawdown_pct,full2025_exit_max_month_pnl,full2025_exit_max_return_pct,full2025_exit_median_month_pnl,full2025_exit_min_month_pnl,full2025_exit_negative_months,full2025_exit_official_cd_value,full2025_exit_peak_asset,full2025_exit_positive_month_ratio_pct,full2025_exit_positive_months,full2025_exit_profit_factor,full2025_exit_same_bar_trades,full2025_exit_trades,full2025_exit_win_rate_pct,full2025_exit_wins,late_ret3_penalty_start,late_ret5_penalty_start,late_ret_penalty,loss_cooldown_bars,over_ema50_penalty,over_ema50_penalty_start,period_calc_mode,preq4_exit_active_months,preq4_exit_avg_month_pnl,preq4_exit_final_asset,preq4_exit_final_return_pct,preq4_exit_losses,preq4_exit_max_conc,preq4_exit_max_conc_unique_symbols,preq4_exit_max_drawdown_pct,preq4_exit_max_month_pnl,preq4_exit_max_return_pct,preq4_exit_median_month_pnl,preq4_exit_min_month_pnl,preq4_exit_negative_months,preq4_exit_official_cd_value,preq4_exit_peak_asset,preq4_exit_positive_month_ratio_pct,preq4_exit_positive_months,preq4_exit_profit_factor,preq4_exit_same_bar_trades,preq4_exit_trades,preq4_exit_win_rate_pct,preq4_exit_wins,range20_pct_max,range_atr_ratio_max,range_atr_ratio_min,require_ema_reject,require_red_candle,require_upper_sweep,ret10_ceil,ret20_ceil,ret3_ceil,ret5_ceil,rr_mult,rsi_delta1_max,rsi_rising_penalty,rsi_rising_penalty_start,score_all_cd,score_dev_cap,score_dev_weight,score_full2025_cd,score_min_short,score_preq4_cd,score_rsi_cap,score_rsi_weight,score_wick_cap,score_wick_weight,short_dev,short_rsi_min,short_wick_mult,signal_cooldown_bars,soft_ema_reject_bonus,soft_range_atr_bonus,soft_range_atr_min,soft_red_candle_bonus,soft_rsi_falling_bonus,soft_upper_range_bonus,soft_upper_range_ratio_min,soft_upper_sweep_bonus,soft_volr_bonus,soft_volr_min,strategy,tag,time_reduce_bars,time_reduce_to_risk_frac,timeout_bars,upper_body_ratio_max,upper_body_ratio_min,upper_range_ratio_max,upper_range_ratio_min,volr_max,volr_min,y2023_exit_active_months,y2023_exit_avg_month_pnl,y2023_exit_final_asset,y2023_exit_final_return_pct,y2023_exit_losses,y2023_exit_max_conc,y2023_exit_max_conc_unique_symbols,y2023_exit_max_drawdown_pct,y2023_exit_max_month_pnl,y2023_exit_max_return_pct,y2023_exit_median_month_pnl,y2023_exit_min_month_pnl,y2023_exit_negative_months,y2023_exit_official_cd_value,y2023_exit_peak_asset,y2023_exit_positive_month_ratio_pct,y2023_exit_positive_months,y2023_exit_profit_factor,y2023_exit_same_bar_trades,y2023_exit_trades,y2023_exit_win_rate_pct,y2023_exit_wins,y2024_exit_active_months,y2024_exit_avg_month_pnl,y2024_exit_final_asset,y2024_exit_final_return_pct,y2024_exit_losses,y2024_exit_max_conc,y2024_exit_max_conc_unique_symbols,y2024_exit_max_drawdown_pct,y2024_exit_max_month_pnl,y2024_exit_max_return_pct,y2024_exit_median_month_pnl,y2024_exit_min_month_pnl,y2024_exit_negative_months,y2024_exit_official_cd_value,y2024_exit_peak_asset,y2024_exit_positive_month_ratio_pct,y2024_exit_positive_months,y2024_exit_profit_factor,y2024_exit_same_bar_trades,y2024_exit_trades,y2024_exit_win_rate_pct,y2024_exit_wins,y2025_exit_active_months,y2025_exit_avg_month_pnl,y2025_exit_final_asset,y2025_exit_final_return_pct,y2025_exit_losses,y2025_exit_max_conc,y2025_exit_max_conc_unique_symbols,y2025_exit_max_drawdown_pct,y2025_exit_max_month_pnl,y2025_exit_max_return_pct,y2025_exit_median_month_pnl,y2025_exit_min_month_pnl,y2025_exit_negative_months,y2025_exit_official_cd_value,y2025_exit_peak_asset,y2025_exit_positive_month_ratio_pct,y2025_exit_positive_months,y2025_exit_profit_factor,y2025_exit_same_bar_trades,y2025_exit_trades,y2025_exit_win_rate_pct,y2025_exit_wins,y2026_exit_active_months,y2026_exit_avg_month_pnl,y2026_exit_final_asset,y2026_exit_final_return_pct,y2026_exit_losses,y2026_exit_max_conc,y2026_exit_max_conc_unique_symbols,y2026_exit_max_drawdown_pct,y2026_exit_max_month_pnl,y2026_exit_max_return_pct,y2026_exit_median_month_pnl,y2026_exit_min_month_pnl,y2026_exit_negative_months,y2026_exit_official_cd_value,y2026_exit_peak_asset,y2026_exit_positive_month_ratio_pct,y2026_exit_positive_months,y2026_exit_profit_factor,y2026_exit_same_bar_trades,y2026_exit_trades,y2026_exit_win_rate_pct,y2026_exit_wins
76,340.63365872208175,25988.158062878214,25888.158062878218,106985,326,326,5.703235000480511,7126.1787858662865,25894.92500620183,14.130755852726324,-0.2903800887941941,5,24505.99233625595,25994.92500620183,93.42105263157895,71,1.9848071041189899,49173,115610,7.460427298676585,8625,999.0,0.0,2.57,0.0,0.0,0.0,1,999.0,-999.0,4,0.035,999.0,-999.0,0,12,0.1,75,319.5132090426269,24063.490678197017,23963.490678197017,105429,326,326,5.703235000480511,7126.1787858662865,23963.490678197017,13.954863959897551,-0.2903800887941941,5,22691.09325550072,24063.490678197017,93.33333333333333,70,1.987686470447645,48345,113888,7.427472604664231,8459,999.0,999.0,0.0,0,0.0,999.0,exit_ts_filter_from_all_through_2026_single_run,72,96.08719836901507,7018.278282569085,6918.278282569085,89842,326,326,5.703235000480511,1717.1819169697774,6920.544039603436,11.851545885735959,-0.2903800887941941,5,6618.009379126483,7020.544039603436,93.05555555555556,67,1.9329509938402882,38696,96936,7.318230585128332,7094,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,0.0,999.0,24505.99233625595,2.0,1.3,22691.09325550072,2.35,6618.009379126483,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0,0.0,0.0,999.0,0.0,0.0,0.07,0.2,0.07,0.14,1.1,RETEST_SMX2V3_B04_M01_S02D_plus_upper020,anchor_M01_v4_current,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0,12,5.115849524687749,161.390194296253,61.390194296252986,11070,150,150,1.9771055940383087,11.921598479722462,62.185529021207685,4.703303380781485,0.4697663033791457,0,158.19933973659246,162.18552902120769,100.0,12,1.808360711363227,3537,12046,8.102274613979745,976,12,12.11878023708664,245.42536284503967,145.42536284503967,22329,197,197,1.8269160985862842,34.38228634366902,145.62716361014716,8.400110067856438,3.2101317805082488,0,240.94164738120983,245.62716361014716,100.0,12,1.8904940587276715,10562,24041,7.121168004658708,1712,12,135.61677927619849,1727.4013513143818,1627.4013513143818,43454,326,326,5.703235000480278,511.5538318622532,1627.4013513143818,46.220751892350236,11.007702857999377,0,1628.8835928474507,1727.4013513143818,100.0,12,2.073767395439081,24907,47132,7.803615378087074,3678,1,7.998288404703629,107.99828840470363,7.998288404703624,1556,42,42,2.010267680394462,7.998288404703629,8.026409608788754,7.998288404703629,7.998288404703629,0,105.82723371752466,108.02640960878875,100.0,1,1.8152253181026134,828,1722,9.639953542392567,166
76,340.63365872208175,25988.158062878214,25888.158062878218,106985,326,326,5.703235000480511,7126.1787858662865,25894.92500620183,14.130755852726324,-0.2903800887941941,5,24505.99233625595,25994.92500620183,93.42105263157895,71,1.9848071041189899,49173,115610,7.460427298676585,8625,999.0,0.0,2.57,0.0,0.0,0.0,13,999.0,-999.0,4,0.035,999.0,-999.0,0,12,0.1,75,319.5132090426269,24063.490678197017,23963.490678197017,105429,326,326,5.703235000480511,7126.1787858662865,23963.490678197017,13.954863959897551,-0.2903800887941941,5,22691.09325550072,24063.490678197017,93.33333333333333,70,1.987686470447645,48345,113888,7.427472604664231,8459,0.07,0.12,0.1,0,0.0,999.0,exit_ts_filter_from_all_through_2026_single_run,72,96.08719836901507,7018.278282569085,6918.278282569085,89842,326,326,5.703235000480511,1717.1819169697774,6920.544039603436,11.851545885735959,-0.2903800887941941,5,6618.009379126483,7020.544039603436,93.05555555555556,67,1.9329509938402882,38696,96936,7.318230585128332,7094,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,0.0,999.0,24505.99233625595,2.0,1.3,22691.09325550072,2.35,6618.009379126483,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0,0.0,0.0,999.0,0.0,0.0,0.07,0.2,0.07,0.14,1.1,SMX2V4_B05_S02_late_runup_penalty,score_late_runup_penalty,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0,12,5.115849524687749,161.390194296253,61.390194296252986,11070,150,150,1.9771055940383087,11.921598479722462,62.185529021207685,4.703303380781485,0.4697663033791457,0,158.19933973659246,162.18552902120769,100.0,12,1.808360711363227,3537,12046,8.102274613979745,976,12,12.11878023708664,245.42536284503967,145.42536284503967,22329,197,197,1.8269160985862842,34.38228634366902,145.62716361014716,8.400110067856438,3.2101317805082488,0,240.94164738120983,245.62716361014716,100.0,12,1.8904940587276715,10562,24041,7.121168004658708,1712,12,135.61677927619849,1727.4013513143818,1627.4013513143818,43454,326,326,5.703235000480278,511.5538318622532,1627.4013513143818,46.220751892350236,11.007702857999377,0,1628.8835928474507,1727.4013513143818,100.0,12,2.073767395439081,24907,47132,7.803615378087074,3678,1,7.998288404703629,107.99828840470363,7.998288404703624,1556,42,42,2.010267680394462,7.998288404703629,8.026409608788754,7.998288404703629,7.998288404703629,0,105.82723371752466,108.02640960878875,100.0,1,1.8152253181026134,828,1722,9.639953542392567,166
76,340.63365872208175,25988.158062878214,25888.158062878218,106985,326,326,5.703235000480511,7126.1787858662865,25894.92500620183,14.130755852726324,-0.2903800887941941,5,24505.99233625595,25994.92500620183,93.42105263157895,71,1.9848071041189899,49173,115610,7.460427298676585,8625,999.0,0.0,2.57,0.0,0.0,0.0,14,999.0,-999.0,4,0.035,999.0,-999.0,0,12,0.1,75,319.5132090426269,24063.490678197017,23963.490678197017,105429,326,326,5.703235000480511,7126.1787858662865,23963.490678197017,13.954863959897551,-0.2903800887941941,5,22691.09325550072,24063.490678197017,93.33333333333333,70,1.987686470447645,48345,113888,7.427472604664231,8459,999.0,999.0,0.0,0,0.08,0.24,exit_ts_filter_from_all_through_2026_single_run,72,96.08719836901507,7018.278282569085,6918.278282569085,89842,326,326,5.703235000480511,1717.1819169697774,6920.544039603436,11.851545885735959,-0.2903800887941941,5,6618.009379126483,7020.544039603436,93.05555555555556,67,1.9329509938402882,38696,96936,7.318230585128332,7094,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,0.0,999.0,24505.99233625595,2.0,1.3,22691.09325550072,2.35,6618.009379126483,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0,0.0,0.0,999.0,0.0,0.0,0.07,0.2,0.07,0.14,1.1,SMX2V4_B05_S03_over_ema50_penalty,score_over_ema50_penalty,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0,12,5.115849524687749,161.390194296253,61.390194296252986,11070,150,150,1.9771055940383087,11.921598479722462,62.185529021207685,4.703303380781485,0.4697663033791457,0,158.19933973659246,162.18552902120769,100.0,12,1.808360711363227,3537,12046,8.102274613979745,976,12,12.11878023708664,245.42536284503967,145.42536284503967,22329,197,197,1.8269160985862842,34.38228634366902,145.62716361014716,8.400110067856438,3.2101317805082488,0,240.94164738120983,245.62716361014716,100.0,12,1.8904940587276715,10562,24041,7.121168004658708,1712,12,135.61677927619849,1727.4013513143818,1627.4013513143818,43454,326,326,5.703235000480278,511.5538318622532,1627.4013513143818,46.220751892350236,11.007702857999377,0,1628.8835928474507,1727.4013513143818,100.0,12,2.073767395439081,24907,47132,7.803615378087074,3678,1,7.998288404703629,107.99828840470363,7.998288404703624,1556,42,42,2.010267680394462,7.998288404703629,8.026409608788754,7.998288404703629,7.998288404703629,0,105.82723371752466,108.02640960878875,100.0,1,1.8152253181026134,828,1722,9.639953542392567,166
76,332.9918346551112,25407.37943378845,25307.37943378845,105738,326,326,5.7489793869977435,6911.494591670176,25313.995150693594,14.497466512401566,-0.2959385771186618,5,23946.714427363648,25413.995150693594,93.42105263157895,71,1.987979630015115,48304,114291,7.483528886788986,8553,999.0,0.0,2.57,0.0,0.0,0.0,15,999.0,-999.0,4,0.035,999.0,-999.0,0,12,0.1,75,312.83979584738535,23562.9846885539,23462.9846885539,104193,326,326,5.7489793869977435,6911.494591670176,23462.9846885539,14.039691423572052,-0.2959385771186618,5,22208.3535558475,23562.9846885539,93.33333333333333,70,1.9911300990949299,47478,112583,7.452279651457147,8390,999.0,999.0,0.0,0,0.0,999.0,exit_ts_filter_from_all_through_2026_single_run,72,94.82529802873782,6927.421458069123,6827.421458069123,88753,326,326,5.7489793869977435,1689.1590178646775,6829.657883195999,11.85171967300758,-0.2959385771186618,5,6529.165426394271,6929.657883195999,93.05555555555556,67,1.9372987837234164,37947,95793,7.349180002714186,7040,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,0.08,4.0,23946.714427363648,2.0,1.3,22208.3535558475,2.35,6529.165426394271,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0,0.0,0.0,999.0,0.0,0.0,0.07,0.2,0.07,0.14,1.1,SMX2V4_B05_S04_rsi_rising_penalty,score_rsi_rising_penalty,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0,12,5.112115146566964,161.34538175880357,61.345381758803576,10938,150,150,1.9755372089071521,11.67305017083686,62.13660430574075,4.683601713064313,0.4719275971715433,0,158.15794370730512,162.13660430574075,100.0,12,1.8137971466184524,3453,11908,8.145784346657708,970,12,12.073760663960622,244.88512796752747,144.8851279675275,22051,197,197,1.8055647385405993,34.61615404711932,145.0845238331579,8.52988516926412,3.3595751582904256,0,240.46356844701583,245.0845238331579,100.0,12,1.8959548841772627,10370,23751,7.157593364489916,1700,12,133.89191777475332,1706.70301329704,1606.70301329704,42990,326,326,5.7489793869976875,500.6101222702828,1606.70301329704,45.954769610781725,10.981537340350144,0,1608.5850088653247,1706.70301329704,100.0,12,2.075171709718798,24541,46636,7.817994682219745,3646,1,7.827508991806312,107.82750899180631,7.827508991806309,1545,42,42,2.0417952745178103,7.827508991806312,7.855585727383674,7.827508991806312,7.827508991806312,0,105.62589200858135,107.85558572738368,100.0,1,1.8027898579200263,826,1708,9.543325526932083,163
76,227.31150856822876,17375.674651185385,17275.674651185385,106657,326,326,5.7032350004804115,4224.9799485649055,17280.199027452825,12.811230416958317,-0.285844601302756,6,16384.69909290938,17380.199027452825,92.10526315789474,70,1.930683360739229,48917,115218,7.430262632574772,8561,999.0,0.0,2.57,0.0,0.0,0.0,5,999.0,-999.0,4,0.035,999.0,-999.0,0,12,0.1,75,213.45319797235754,16108.989847926816,16008.989847926816,105107,326,326,5.7032350004804115,4224.9799485649055,16008.989847926816,11.673038433800059,-0.285844601302756,6,15190.256300696019,16108.989847926816,92.0,69,1.9321432898841062,48094,113503,7.39716130851167,8396,999.0,999.0,0.0,0,0.0,999.0,exit_ts_filter_from_all_through_2026_single_run,72,78.25551841479529,5734.39732586526,5634.39732586526,89627,326,326,5.7032350004804115,1048.2456549261506,5636.248599148498,11.568647614858307,-0.285844601302756,6,5407.351170509901,5736.248599148498,91.66666666666666,66,1.8982202413594707,38566,96685,7.299994828566995,7058,0.4,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,0.0,999.0,16384.69909290938,2.0,1.3,15190.256300696019,2.35,5407.351170509901,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0,0.0,0.0,999.0,0.0,0.0,0.07,0.2,0.07,0.14,1.1,SMX2V4_B05_L04_block_wide_range20,loss_context_block_wide_range20,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0,12,4.862214480868464,158.34657377042157,58.346573770421564,11062,150,150,1.9265124038125525,11.733555926226927,59.12690946086641,4.460699460065868,0.5813293645055637,0,155.2960073857222,159.12690946086641,100.0,12,1.7787504198023245,3530,12035,8.08475280432073,973,12,11.804527253332518,241.65432703999022,141.65432703999022,22310,197,197,1.826916098586262,33.95618213612187,141.85302707458683,7.589093513386004,3.16908774061811,0,237.23950523636634,241.85302707458686,100.0,12,1.8778838328584113,10552,24020,7.119067443796837,1710,12,93.0347172510889,1216.4166070130668,1116.4166070130668,43213,326,326,5.703235000480278,319.0352605748825,1116.4166070130668,39.23515982692099,11.018364290698301,0,1147.0415093302431,1216.4166070130668,100.0,12,1.973277976291786,24695,46840,7.743381725021349,3627,1,7.8632168448574475,107.86321684485745,7.863216844857446,1550,41,41,1.5682819609878274,7.8632168448574475,7.891302878247197,7.8632168448574475,7.8632168448574475,0,106.17161747253836,107.8913028782472,100.0,1,1.8420895914703794,823,1715,9.620991253644315,165
76,275.8524637197848,21064.787242703645,20964.787242703645,98284,325,325,5.655961392725716,5644.852881522234,20970.272210936124,13.085974936278937,-0.45140028877325733,5,19873.371008796516,21070.272210936124,93.42105263157895,71,2.0010696725618833,43108,106337,7.573093090833859,8053,999.0,0.0,2.57,0.0,0.0,0.0,0,999.0,-999.0,4,0.035,999.0,-999.0,0,12,0.1,75,256.92846035733015,19369.63452679976,19269.63452679976,96843,325,325,5.655961392725716,5644.852881522234,19269.63452679976,12.992945222159108,-0.45140028877325733,5,18274.095476051894,19369.63452679976,93.33333333333333,70,2.002195594712407,42379,104735,7.535207905666683,7892,999.0,999.0,0.0,0,0.0,999.0,exit_ts_filter_from_all_through_2026_single_run,72,77.54197514196474,5683.022210221461,5583.022210221461,82299,325,325,5.655961392725716,1339.2922618945095,5584.85689773751,10.411488882855139,-0.45140028877325733,5,5361.592668071308,5684.85689773751,93.05555555555556,67,1.938861328172264,33632,88881,7.405407229891653,6582,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,0.0,999.0,19873.371008796516,2.0,1.3,18274.095476051894,2.35,5361.592668071308,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,999.0,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075,gate_retest_N02_parent,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0,12,4.780795797526349,157.3695495703162,57.369549570316195,10256,150,150,1.9196538272639452,10.96666045671111,58.29246731921967,4.439856929381492,0.4667619614367453,0,154.3485989890416,158.29246731921967,100.0,12,1.8104104100927836,3100,11167,8.157965433867647,911,12,11.278697830407266,235.34437396488718,135.34437396488718,20056,183,183,1.8229859178414132,30.573574088771522,135.48015765982697,8.146324459091772,3.268387832723647,0,231.05407916907527,235.48015765982697,100.0,12,1.9165598413737563,8925,21637,7.306927947497342,1581,12,126.80315327528704,1621.6378393034445,1521.6378393034447,40297,325,325,5.655961392725562,472.590591077612,1521.6378393034447,43.90901993886459,10.19102886421868,0,1529.918629182613,1621.6378393034445,100.0,12,2.0961320716803242,22314,43779,7.953585052193975,3482,1,8.751598867591213,108.75159886759121,8.751598867591204,1441,43,43,1.9026002459188396,8.751598867591213,8.77991622290779,8.751598867591213,8.751598867591213,0,106.68249068009575,108.77991622290779,100.0,1,1.935034433075917,729,1602,10.049937578027466,161
76,205.96808662760387,15753.574583697893,15653.574583697891,106434,326,326,5.701726234135085,3727.313398946717,15657.676588391505,12.406091330289463,-0.2715760253263966,5,14855.348888845152,15757.676588391505,93.42105263157895,71,1.9221029736549984,48704,114969,7.423740312606007,8535,999.0,0.0,2.57,0.0,0.0,0.0,4,999.0,-999.0,4,0.035,0.3,-999.0,0,12,0.1,75,193.06026699996787,14579.52002499759,14479.52002499759,104888,326,326,5.701726234135085,3727.313398946717,14479.52002499759,11.311258418746093,-0.2715760253263966,5,13748.235706921325,14579.52002499759,93.33333333333333,70,1.9228111238543173,47882,113258,7.39020643133377,8370,999.0,999.0,0.0,0,0.0,999.0,exit_ts_filter_from_all_through_2026_single_run,72,74.1592386627853,5439.465183720543,5339.465183720543,89490,326,326,5.701726234135085,965.1615467756519,5341.2212421164795,10.870244050394575,-0.2715760253263966,5,5129.321770343705,5441.2212421164795,93.05555555555556,67,1.8948991058990163,38433,96530,7.2930695120687865,7040,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,0.0,999.0,14855.348888845152,2.0,1.3,13748.235706921325,2.35,5129.321770343705,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0,0.0,0.0,999.0,0.0,0.0,0.07,0.2,0.07,0.14,1.1,SMX2V4_B05_L03_block_extreme_ema50_dev,loss_context_block_extreme_ema50_dev,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0,12,4.5755425784924855,154.90651094190983,54.906510941909836,11065,150,150,1.9771055940383753,11.5513530667709,55.66989392072639,4.207944616289346,0.45924138670913806,0,151.84384564854767,155.6698939207264,100.0,12,1.7391344360297596,3530,12034,8.052185474488947,969,12,11.785009130775636,241.42010956930764,141.42010956930764,22286,197,197,1.8269160985863175,33.46845428412303,141.61861701881767,7.651725786560746,3.320262774409045,0,237.00956672236123,241.61861701881764,100.0,12,1.8820961602880664,10521,23994,7.1184462782362266,1708,12,87.2776994618137,1147.3323935417643,1047.3323935417643,43020,326,326,5.701726234135018,293.32017763009264,1047.3323935417643,40.3415151311371,12.17097459050673,0,1081.9146414664642,1147.3323935417643,100.0,12,1.965145229544556,24522,46631,7.743775599922797,3611,1,8.052765500423533,108.05276550042353,8.052765500423531,1546,41,41,1.4873584234000092,8.052765500423533,8.080900889562393,8.052765500423533,8.052765500423533,0,106.44563359103633,108.0809008895624,100.0,1,1.8787044396169965,822,1711,9.643483343074227,165
76,189.8971098072027,14532.180345347404,14432.180345347404,106084,326,326,5.703235000480145,3487.634262688229,14435.964316513331,12.462315956019339,-0.2715760253263966,6,13703.375949558655,14535.964316513331,92.10526315789474,70,1.9158226882102294,48427,114590,7.4229862989789686,8506,999.0,0.0,2.57,0.0,0.0,0.0,9,999.0,-999.0,4,0.035,0.26,0.015,0,12,0.1,75,177.75707675715398,13431.78075678655,13331.78075678655,104542,326,326,5.703235000480145,3487.634262688229,13331.78075678655,11.302753462779691,-0.2715760253263966,6,12665.734735477741,13431.78075678655,92.0,69,1.915972289422082,47611,112883,7.389066555637252,8341,999.0,999.0,0.0,0,0.0,999.0,exit_ts_filter_from_all_through_2026_single_run,72,70.0478177348124,5143.4428769064925,5043.4428769064925,89264,326,326,5.703235000480145,855.6880160034534,5045.103368470084,10.774507420357224,-0.2715760253263966,6,4850.100242521058,5145.103368470084,91.66666666666666,66,1.8883351891442572,38270,96281,7.288042292871906,7017,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,0.0,999.0,13703.375949558655,2.0,1.3,12665.734735477741,2.35,4850.100242521058,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0,0.0,0.0,999.0,0.0,0.0,0.07,0.2,0.07,0.14,1.1,SMX2V4_B05_R01_ema50_dev_band,regime_ema50_dev_band,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0,12,4.530131591396682,154.36157909676018,54.36157909676018,11051,150,150,2.0706932009836754,11.513161329750972,55.12227663845297,4.2520401708699325,0.3369671874921494,0,151.16522437347254,155.12227663845297,100.0,12,1.7347989183475243,3514,12018,8.046263937427192,967,12,11.778597231196464,241.34316677435757,141.34316677435757,22249,197,197,1.8269160985863175,33.825625890105044,141.54161095772952,7.640058560804064,3.2300137372095463,0,236.9340296077188,241.54161095772952,100.0,12,1.884203579950738,10507,23955,7.121686495512419,1706,12,80.55533463229754,1066.6640155875705,966.6640155875705,42770,326,326,5.703235000480278,276.9650603223357,966.6640155875705,38.08804391137248,11.434876671632239,0,1005.8296601130518,1066.6640155875705,100.0,12,1.9510775202913966,24310,46360,7.74374460742019,3590,1,8.192507073232562,108.19250707323256,8.192507073232559,1542,41,41,1.4873584234000092,8.192507073232562,8.220678849071117,8.192507073232562,8.192507073232562,0,106.58329670579118,108.22067884907112,100.0,1,1.9066040351587434,816,1707,9.666080843585236,165
76,170.97637300432208,13094.204348328478,12994.204348328478,105950,326,326,5.703235000480378,3056.9515318282174,12997.613891185596,11.703327641054614,-0.2715760253263966,5,12347.411102900185,13097.613891185598,93.42105263157895,71,1.8955280327753044,48401,114432,7.412262304250559,8482,999.0,0.0,2.57,0.0,0.0,0.0,10,999.0,-999.0,4,0.035,999.0,-999.0,0,12,0.1,75,160.14893158234926,12111.169868676194,12011.169868676194,104412,326,326,5.703235000480378,3056.9515318282174,12011.169868676194,11.324234900659746,-0.2715760253263966,5,11420.44138975822,12111.169868676194,93.33333333333333,70,1.8955855713609944,47590,112729,7.3778708229470675,8317,999.0,999.0,0.0,0,0.0,999.0,exit_ts_filter_from_all_through_2026_single_run,72,65.06805211961027,4784.899752611939,4684.899752611939,89144,326,326,5.703235000480378,773.6224063728432,4686.444493335612,10.494952619128782,-0.2715760253263966,5,4512.005675183076,4786.444493335612,93.05555555555556,67,1.8706630857721818,38259,96147,7.283638595067969,7003,0.3,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,0.0,999.0,12347.411102900185,2.0,1.3,11420.44138975822,2.35,4512.005675183076,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0,0.0,0.0,999.0,0.0,0.0,0.07,0.2,0.07,0.14,1.1,SMX2V4_B05_R02_range20_not_too_wide,regime_range20_not_too_wide,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0,12,4.563345429674816,154.7601451560978,54.76014515609779,11043,150,150,1.957479944898588,11.485352876791524,55.522806840832686,3.9588254330513166,0.5710575534214399,0,151.73074635197122,155.5228068408327,100.0,12,1.7428022483925298,3519,12009,8.043967024731453,966,12,11.721717407488002,240.66060888985604,140.66060888985606,22231,197,197,1.8269160985862287,33.34904087932003,140.85849184067345,7.5191996657834395,3.1735912280088314,0,236.26394148309166,240.85849184067345,100.0,12,1.8790284428911426,10505,23936,7.123161764705882,1705,12,74.5645050271881,994.7740603262573,894.7740603262573,42711,326,326,5.7032350004804115,251.0885505290787,894.7740603262573,36.345990288180985,11.241789679234472,0,938.0397579420302,994.7740603262573,100.0,12,1.9204161367960502,24293,46286,7.723717754828674,3575,1,8.116759077046098,108.1167590770461,8.116759077046098,1538,41,41,1.4865703159625432,8.116759077046098,8.144911129193755,8.116759077046098,8.116759077046098,0,106.509527430026,108.14491112919374,100.0,1,1.892004385459844,811,1703,9.688784497944804,165
