axis,strategy,parent,side,kind,tag,verdict,trades,baseline_trades,parent_trade_ratio,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,note
long_main,6V2_L01_doubleflush_core,6V2_L01_doubleflush_core,long,baseline,embedded_exact_reference,baseline,592,592,1.0,,,,,23.91906,1.751183,121.7490287208,embedded_reference_pass_no_repo_path_dependency
long_max,8V4_V51_V002_core_rare22_c1,8V4_V51_V002_core_rare22_c1,long,baseline,embedded_exact_reference,baseline,2276,2276,1.0,,,,,44.266371,6.758722,134.5158668232,embedded_reference_pass_no_repo_path_dependency
short_main,short_beh_dd_brake,short_beh_dd_brake,short,baseline,embedded_exact_reference,baseline,28017,28017,1.0,,,,,311.81215,4.758886,392.2144692142,embedded_reference_pass_no_repo_path_dependency
short_max,short_only_reference_1x,short_only_reference_1x,short,baseline,embedded_exact_reference,baseline,36505,36505,1.0,,,,,394.614496,7.77924,456.137448816,embedded_reference_pass_no_repo_path_dependency
long_main,8V30_long_main_001_tp03_only_probe,6V2_L01_doubleflush_core,long,improve,tp03_only_probe_on_baseline_spec,invalid_trade_explosion,13116,592,22.155405405405407,4536,8580,34.58371454711802,-11.588721929059309,0.0,72.28211639775348,27.717883602246516,parent_trade_ratio=22.155
long_main,8V30_long_main_002_loosen_reclaim_wick_close_range,6V2_L01_doubleflush_core,long,improve,long_loosen_same_family_wick_close_range_no_tp03,invalid_trade_explosion,24794,592,41.88175675675676,8597,16197,34.673711381785914,-16.591494313332067,0.0,92.37155849734572,7.628441502654281,parent_trade_ratio=41.882
long_max,8V30_long_max_001_tp03_only_probe,8V4_V51_V002_core_rare22_c1,long,improve,tp03_only_probe_on_baseline_spec,invalid_trade_explosion,433571,2276,190.4969244288225,144447,289124,33.31565072387222,-98.94244170569291,0.0,99.99999999729363,2.7063684626682516e-09,parent_trade_ratio=190.497
long_max,8V30_long_max_002_loosen_rare22_range_vol_upper,8V4_V51_V002_core_rare22_c1,long,improve,long_rare22_loosen_range_vol_upper_no_tp03,invalid_trade_explosion,538228,2276,236.47978910369068,179154,359074,33.285893710472145,-100.0,0.0,100.0,0.0,parent_trade_ratio=236.480
short_main,8V30_short_main_001_tp03_only_probe,short_beh_dd_brake,short,improve,tp03_only_probe_on_baseline_spec,invalid_trade_starvation,1032,28017,0.036834778884248846,294,738,28.488372093023255,14.8502914489272,14.8502914489272,27.998116839189535,82.69437265890686,parent_trade_ratio=0.037
short_main,8V30_short_main_002_no_tp03_profit_keep_loss_trim,short_beh_dd_brake,short,improve,short_keep_dev_rsi_add_soft_loss_trim_no_tp03,invalid_trade_starvation,891,28017,0.03180212014134275,261,630,29.292929292929294,13.43981473955873,13.43981473955873,24.149455984886934,86.0447166096917,parent_trade_ratio=0.032
short_max,8V30_short_max_001_tp03_only_probe,short_only_reference_1x,short,improve,tp03_only_probe_on_baseline_spec,invalid_trade_starvation,3197,36505,0.087577044240515,891,2306,27.86987801063497,46.43352220640815,46.43352220640815,63.89065978010774,52.87617872948341,parent_trade_ratio=0.088
short_max,8V30_short_max_002_no_tp03_blowoff_loss_trim,short_only_reference_1x,short,improve,short_blowoff_keep_edge_add_soft_loss_trim_no_tp03,invalid_trade_starvation,2676,36505,0.07330502670867005,753,1923,28.139013452914796,37.07425623541787,37.07425623541787,56.496386456915616,59.632254699713435,parent_trade_ratio=0.073
